"Time","success","fail"
2021-03-03 10:31:30,,
2021-03-03 10:31:35,,
2021-03-03 10:31:40,,
2021-03-03 10:31:45,,
2021-03-03 10:31:50,,
2021-03-03 10:31:55,,
2021-03-03 10:32:00,,
2021-03-03 10:32:05,,
2021-03-03 10:32:10,,
2021-03-03 10:32:15,,
2021-03-03 10:32:20,,
2021-03-03 10:32:25,,
2021-03-03 10:32:30,,
2021-03-03 10:32:35,0,0
2021-03-03 10:32:40,0,0
2021-03-03 10:32:45,0,0
2021-03-03 10:32:50,0,0
2021-03-03 10:32:55,0,0
2021-03-03 10:33:00,0,0
2021-03-03 10:33:05,0,0
2021-03-03 10:33:10,0,0
2021-03-03 10:33:15,1.7,0
2021-03-03 10:33:20,2.6,0
2021-03-03 10:33:25,3.4,0
2021-03-03 10:33:30,4.6,0
2021-03-03 10:33:35,5.9,0
2021-03-03 10:33:40,7.9,0
2021-03-03 10:33:45,8.3,0
2021-03-03 10:33:50,8.4,0
2021-03-03 10:33:55,8.9,0
2021-03-03 10:34:00,11,0
2021-03-03 10:34:05,12,0
2021-03-03 10:34:10,13,0
2021-03-03 10:34:15,14,0
2021-03-03 10:34:20,16,0
2021-03-03 10:34:25,18,0
2021-03-03 10:34:30,18,0
2021-03-03 10:34:35,19,0
2021-03-03 10:34:40,21,0
2021-03-03 10:34:45,21,0
2021-03-03 10:34:50,23,0
2021-03-03 10:34:55,25,0
2021-03-03 10:35:00,24,0
2021-03-03 10:35:05,26,0
2021-03-03 10:35:10,26,0
2021-03-03 10:35:15,25,0
2021-03-03 10:35:20,26,0
2021-03-03 10:35:25,29,0
2021-03-03 10:35:30,32,0
2021-03-03 10:35:35,33,0
2021-03-03 10:35:40,33,0
2021-03-03 10:35:45,34,0
2021-03-03 10:35:50,34,0
2021-03-03 10:35:55,35,0
2021-03-03 10:36:00,34,0
2021-03-03 10:36:05,35,0
2021-03-03 10:36:10,36,0
2021-03-03 10:36:15,40,0
2021-03-03 10:36:20,44,0
2021-03-03 10:36:25,42,0
2021-03-03 10:36:30,41,0
2021-03-03 10:36:35,42,0
2021-03-03 10:36:40,46,0
2021-03-03 10:36:45,47,0
2021-03-03 10:36:50,47,0
2021-03-03 10:36:55,47,0
2021-03-03 10:37:00,50,0
2021-03-03 10:37:05,47,0
2021-03-03 10:37:10,48,0
2021-03-03 10:37:15,51,0
2021-03-03 10:37:20,52,0
2021-03-03 10:37:25,54,0
2021-03-03 10:37:30,54,0
2021-03-03 10:37:35,54,0
2021-03-03 10:37:40,55,0
2021-03-03 10:37:45,60,0
2021-03-03 10:37:50,59,0
2021-03-03 10:37:55,57,0
2021-03-03 10:38:00,50,0
2021-03-03 10:38:05,54,0
2021-03-03 10:38:10,55,0
2021-03-03 10:38:15,63,0
2021-03-03 10:38:20,61,0
2021-03-03 10:38:25,64,0
2021-03-03 10:38:30,61,0
2021-03-03 10:38:35,60,0
2021-03-03 10:38:40,64,0
2021-03-03 10:38:45,67,0
2021-03-03 10:38:50,67,0
2021-03-03 10:38:55,65,0
2021-03-03 10:39:00,66,0
2021-03-03 10:39:05,65,0
