"Time","limits","requests","usage"
2021-03-08 14:59:55,1.2,0.66,0.043
2021-03-08 15:00:00,1.2,0.66,0.043
2021-03-08 15:00:05,1.2,0.66,0.043
2021-03-08 15:00:10,1.2,0.66,0.043
2021-03-08 15:00:15,1.2,0.66,0.041
2021-03-08 15:00:20,1.2,0.66,0.041
2021-03-08 15:00:25,1.2,0.66,0.041
2021-03-08 15:00:30,1.2,0.66,0.041
2021-03-08 15:00:35,1.2,0.66,0.041
2021-03-08 15:00:40,1.2,0.66,0.041
2021-03-08 15:00:45,1.2,0.66,0.055
2021-03-08 15:00:50,1.2,0.66,0.055
2021-03-08 15:00:55,1.2,0.66,0.055
2021-03-08 15:01:00,1.2,0.66,0.055
2021-03-08 15:01:05,1.2,0.66,0.055
2021-03-08 15:01:10,1.2,0.66,0.055
2021-03-08 15:01:15,1.2,0.66,0.086
2021-03-08 15:01:20,1.2,0.66,0.086
2021-03-08 15:01:25,1.2,0.66,0.086
2021-03-08 15:01:30,1.2,0.66,0.086
2021-03-08 15:01:35,1.2,0.66,0.086
2021-03-08 15:01:40,1.2,0.66,0.086
2021-03-08 15:01:45,1.2,0.66,0.12
2021-03-08 15:01:50,1.2,0.66,0.12
2021-03-08 15:01:55,1.2,0.66,0.12
2021-03-08 15:02:00,1.2,0.66,0.12
2021-03-08 15:02:05,1.2,0.66,0.12
2021-03-08 15:02:10,1.2,0.66,0.12
2021-03-08 15:02:15,1.2,0.66,0.16
2021-03-08 15:02:20,1.2,0.66,0.16
2021-03-08 15:02:25,1.2,0.66,0.16
2021-03-08 15:02:30,1.2,0.66,0.16
2021-03-08 15:02:35,1.2,0.66,0.16
2021-03-08 15:02:40,1.2,0.66,0.16
2021-03-08 15:02:45,1.2,0.66,0.20
2021-03-08 15:02:50,1.2,0.66,0.20
2021-03-08 15:02:55,1.2,0.66,0.20
2021-03-08 15:03:00,1.2,0.66,0.20
2021-03-08 15:03:05,1.2,0.66,0.20
2021-03-08 15:03:10,1.2,0.66,0.20
2021-03-08 15:03:15,1.2,0.66,0.24
2021-03-08 15:03:20,1.2,0.66,0.24
2021-03-08 15:03:25,1.2,0.66,0.24
2021-03-08 15:03:30,1.2,0.66,0.24
2021-03-08 15:03:35,1.2,0.66,0.24
2021-03-08 15:03:40,1.2,0.66,0.24
2021-03-08 15:03:45,1.2,0.66,0.27
2021-03-08 15:03:50,1.2,0.66,0.27
2021-03-08 15:03:55,1.2,0.66,0.27
2021-03-08 15:04:00,1.2,0.66,0.27
2021-03-08 15:04:05,1.2,0.66,0.27
2021-03-08 15:04:10,1.2,0.66,0.27
2021-03-08 15:04:15,1.2,0.66,0.30
2021-03-08 15:04:20,1.2,0.66,0.30
2021-03-08 15:04:25,1.2,0.66,0.30
2021-03-08 15:04:30,1.2,0.66,0.30
2021-03-08 15:04:35,1.2,0.66,0.30
2021-03-08 15:04:40,1.2,0.66,0.30
2021-03-08 15:04:45,1.2,0.66,0.34
2021-03-08 15:04:50,1.2,0.66,0.34
2021-03-08 15:04:55,1.2,0.66,0.34
2021-03-08 15:05:00,1.2,0.66,0.34
2021-03-08 15:05:05,1.2,0.66,0.34
2021-03-08 15:05:10,1.4,0.79,0.34
2021-03-08 15:05:15,1.4,0.79,0.37
2021-03-08 15:05:20,1.4,0.79,0.37
2021-03-08 15:05:25,1.4,0.79,0.37
2021-03-08 15:05:30,1.4,0.79,0.37
2021-03-08 15:05:35,1.4,0.79,0.37
2021-03-08 15:05:40,1.3,0.74,0.37
2021-03-08 15:05:45,1.3,0.74,0.29
2021-03-08 15:05:50,1.3,0.74,0.29
2021-03-08 15:05:55,1.3,0.74,0.29
2021-03-08 15:06:00,1.3,0.74,0.29
2021-03-08 15:06:05,1.3,0.74,0.29
2021-03-08 15:06:10,1.3,0.74,0.29
2021-03-08 15:06:15,1.3,0.74,0.33
2021-03-08 15:06:20,1.3,0.74,0.33
2021-03-08 15:06:25,1.3,0.74,0.33
2021-03-08 15:06:30,1.3,0.74,0.33
2021-03-08 15:06:35,1.3,0.74,0.33
2021-03-08 15:06:40,1.3,0.74,0.33
2021-03-08 15:06:45,1.3,0.74,0.36
2021-03-08 15:06:50,1.3,0.74,0.36
2021-03-08 15:06:55,1.3,0.74,0.36
2021-03-08 15:07:00,1.3,0.74,0.36
2021-03-08 15:07:05,1.3,0.74,0.36
2021-03-08 15:07:10,1.3,0.74,0.36
2021-03-08 15:07:15,1.3,0.74,0.40
2021-03-08 15:07:20,1.3,0.74,0.40
2021-03-08 15:07:25,1.3,0.74,0.40
2021-03-08 15:07:30,1.3,0.74,0.40
2021-03-08 15:07:35,1.3,0.74,0.40
2021-03-08 15:07:40,1.3,0.74,0.40
2021-03-08 15:07:45,1.3,0.74,0.44
2021-03-08 15:07:50,1.3,0.74,0.44
2021-03-08 15:07:55,1.3,0.74,0.44
2021-03-08 15:08:00,1.3,0.74,0.44
2021-03-08 15:08:05,1.3,0.74,0.44
2021-03-08 15:08:10,1.3,0.74,0.44
2021-03-08 15:08:15,1.3,0.74,0.47
2021-03-08 15:08:20,1.3,0.74,0.47
2021-03-08 15:08:25,1.3,0.74,0.47
2021-03-08 15:08:30,1.3,0.74,0.47
2021-03-08 15:08:35,1.3,0.74,0.47
2021-03-08 15:08:40,1.3,0.74,0.47
2021-03-08 15:08:45,1.3,0.74,0.49
2021-03-08 15:08:50,1.3,0.74,0.49
2021-03-08 15:08:55,1.3,0.74,0.49
2021-03-08 15:09:00,1.3,0.74,0.49
2021-03-08 15:09:05,1.3,0.74,0.49
2021-03-08 15:09:10,1.8,0.97,0.49
2021-03-08 15:09:15,1.8,0.97,0.53
2021-03-08 15:09:20,1.8,0.97,0.53
2021-03-08 15:09:25,1.8,0.97,0.53
2021-03-08 15:09:30,1.8,0.97,0.53
2021-03-08 15:09:35,1.8,0.97,0.53
2021-03-08 15:09:40,1.6,0.87,0.53
2021-03-08 15:09:45,1.6,0.87,0.39
2021-03-08 15:09:50,1.6,0.87,0.39
2021-03-08 15:09:55,1.6,0.87,0.39
2021-03-08 15:10:00,1.6,0.87,0.39
2021-03-08 15:10:05,1.6,0.87,0.39
2021-03-08 15:10:10,1.6,0.87,0.39
2021-03-08 15:10:15,1.6,0.87,0.49
2021-03-08 15:10:20,1.6,0.87,0.49
2021-03-08 15:10:25,1.6,0.87,0.49
2021-03-08 15:10:30,1.6,0.87,0.49
2021-03-08 15:10:35,1.6,0.87,0.49
2021-03-08 15:10:40,1.6,0.87,0.49
2021-03-08 15:10:45,1.6,0.87,0.54
2021-03-08 15:10:50,1.6,0.87,0.54
2021-03-08 15:10:55,1.6,0.87,0.54
2021-03-08 15:11:00,1.6,0.87,0.54
2021-03-08 15:11:05,1.6,0.87,0.54
2021-03-08 15:11:10,1.6,0.87,0.54
2021-03-08 15:11:15,1.6,0.87,0.60
2021-03-08 15:11:20,1.6,0.87,0.60
2021-03-08 15:11:25,1.6,0.87,0.60
2021-03-08 15:11:30,1.6,0.87,0.60
