"Time","success","fail"
2021-03-03 11:47:25,0,0
2021-03-03 11:47:30,0,0
2021-03-03 11:47:35,0,0
2021-03-03 11:47:40,0,0
2021-03-03 11:47:45,1.8,0
2021-03-03 11:47:50,2.3,0
2021-03-03 11:47:55,4.1,0
2021-03-03 11:48:00,4.4,0
2021-03-03 11:48:05,4.9,0
2021-03-03 11:48:10,6.8,0
2021-03-03 11:48:15,8.1,0
2021-03-03 11:48:20,8.5,0
2021-03-03 11:48:25,10,0
2021-03-03 11:48:30,11,0
2021-03-03 11:48:35,11,0
2021-03-03 11:48:40,13,0
2021-03-03 11:48:45,15,0
2021-03-03 11:48:50,17,0
2021-03-03 11:48:55,16,0
2021-03-03 11:49:00,17,0
2021-03-03 11:49:05,19,0
2021-03-03 11:49:10,20,0
2021-03-03 11:49:15,23,0
2021-03-03 11:49:20,22,0
2021-03-03 11:49:25,22,0
2021-03-03 11:49:30,23,0
2021-03-03 11:49:35,25,0
2021-03-03 11:49:40,25,0
2021-03-03 11:49:45,27,0
2021-03-03 11:49:50,28,0
2021-03-03 11:49:55,30,0
2021-03-03 11:50:00,32,0
2021-03-03 11:50:05,31,0
2021-03-03 11:50:10,29,0
2021-03-03 11:50:15,32,0
2021-03-03 11:50:20,36,0
2021-03-03 11:50:25,34,0
2021-03-03 11:50:30,28,0
2021-03-03 11:50:35,32,0
2021-03-03 11:50:40,39,0
2021-03-03 11:50:45,39,0
2021-03-03 11:50:50,40,0
2021-03-03 11:50:55,39,0
2021-03-03 11:51:00,41,0
2021-03-03 11:51:05,43,0
2021-03-03 11:51:10,44,0
2021-03-03 11:51:15,44,0
2021-03-03 11:51:20,45,0
2021-03-03 11:51:25,45,0
2021-03-03 11:51:30,46,0
2021-03-03 11:51:35,47,0
2021-03-03 11:51:40,45,0
2021-03-03 11:51:45,49,0
2021-03-03 11:51:50,50,0
2021-03-03 11:51:55,50,0
2021-03-03 11:52:00,51,0
2021-03-03 11:52:05,49,0
2021-03-03 11:52:10,48,0
2021-03-03 11:52:15,54,0
2021-03-03 11:52:20,52,0
2021-03-03 11:52:25,53,0
2021-03-03 11:52:30,52,0
2021-03-03 11:52:35,52,0
2021-03-03 11:52:40,54,0
2021-03-03 11:52:45,59,0
2021-03-03 11:52:50,60,0
2021-03-03 11:52:55,49,0
2021-03-03 11:53:00,53,0
2021-03-03 11:53:05,55,0
2021-03-03 11:53:10,56,0
2021-03-03 11:53:15,61,0
2021-03-03 11:53:20,62,0
2021-03-03 11:53:25,55,0
2021-03-03 11:53:30,57,0
2021-03-03 11:53:35,58,0
2021-03-03 11:53:40,57,0
2021-03-03 11:53:45,58,0
2021-03-03 11:53:50,51,0
2021-03-03 11:53:55,42,0
2021-03-03 11:54:00,60,0
2021-03-03 11:54:05,57,0
2021-03-03 11:54:10,59,0
2021-03-03 11:54:15,65,0
2021-03-03 11:54:20,64,0
2021-03-03 11:54:25,54,0
2021-03-03 11:54:30,57,0
2021-03-03 11:54:35,58,0
2021-03-03 11:54:40,58,0
2021-03-03 11:54:45,66,0
2021-03-03 11:54:50,65,0
2021-03-03 11:54:55,59,0
2021-03-03 11:55:00,59,0
2021-03-03 11:55:05,60,0
2021-03-03 11:55:10,58,0
2021-03-03 11:55:15,67,0
2021-03-03 11:55:20,63,0
2021-03-03 11:55:25,58,0
2021-03-03 11:55:30,59,0
2021-03-03 11:55:35,62,0
2021-03-03 11:55:40,64,0
2021-03-03 11:55:45,68,0
2021-03-03 11:55:50,60,0
2021-03-03 11:55:55,73,29
2021-03-03 11:56:00,45,30
2021-03-03 11:56:05,9.8,1.1
2021-03-03 11:56:10,24,0.60
2021-03-03 11:56:15,51,0.10
2021-03-03 11:56:20,56,0
2021-03-03 11:56:25,58,0
2021-03-03 11:56:30,65,0
2021-03-03 11:56:35,61,0
2021-03-03 11:56:40,55,0
2021-03-03 11:56:45,61,0
2021-03-03 11:56:50,65,0.40
2021-03-03 11:56:55,66,1.3
2021-03-03 11:57:00,66,1.2
2021-03-03 11:57:05,64,1.1
2021-03-03 11:57:10,60,1.2
2021-03-03 11:57:15,76,1.2
2021-03-03 11:57:20,72,0.90
2021-03-03 11:57:25,62,0.20
2021-03-03 11:57:30,65,0
2021-03-03 11:57:35,60,0
2021-03-03 11:57:40,62,0
2021-03-03 11:57:45,64,0
2021-03-03 11:57:50,68,0.80
2021-03-03 11:57:55,71,1.4
2021-03-03 11:58:00,63,1
2021-03-03 11:58:05,69,1
2021-03-03 11:58:10,62,1
2021-03-03 11:58:15,60,1
2021-03-03 11:58:20,70,1
2021-03-03 11:58:25,81,33
2021-03-03 11:58:30,41,33
2021-03-03 11:58:35,1.1,1.1
2021-03-03 11:58:40,15,0.60
2021-03-03 11:58:45,33,0
2021-03-03 11:58:50,62,0
2021-03-03 11:58:55,73,0
2021-03-03 11:59:00,60,0
2021-03-03 11:59:05,108,53
2021-03-03 11:59:10,77,54
2021-03-03 11:59:15,13,1.1
2021-03-03 11:59:20,23,0.70
2021-03-03 11:59:25,41,0
2021-03-03 11:59:30,54,0
2021-03-03 11:59:35,65,0
2021-03-03 11:59:40,66,0
2021-03-03 11:59:45,106,58
2021-03-03 11:59:50,84,59
2021-03-03 11:59:55,11,1.2
2021-03-03 12:00:00,21,0.50
2021-03-03 12:00:05,25,0.10
2021-03-03 12:00:10,65,0.20
2021-03-03 12:00:15,80,0.60
2021-03-03 12:00:20,59,0.60
2021-03-03 12:00:25,68,0
2021-03-03 12:00:30,67,0.90
2021-03-03 12:00:35,67,1.3
2021-03-03 12:00:40,71,1.2
2021-03-03 12:00:45,102,44
2021-03-03 12:00:50,62,44
2021-03-03 12:00:55,1.2,1.2
2021-03-03 12:01:00,12,0.50
2021-03-03 12:01:05,24,0.10
2021-03-03 12:01:10,49,0
2021-03-03 12:01:15,74,0
2021-03-03 12:01:20,76,0
2021-03-03 12:01:25,111,68
2021-03-03 12:01:30,80,69
2021-03-03 12:01:35,1,1
2021-03-03 12:01:40,1.1,1.1
2021-03-03 12:01:45,1.2,1.2
2021-03-03 12:01:50,1.1,1.1
2021-03-03 12:01:55,1.1,1.1
2021-03-03 12:02:00,1.1,1.1
2021-03-03 12:02:05,1.3,1.3
2021-03-03 12:02:10,1.3,1.3
2021-03-03 12:02:15,1,1
2021-03-03 12:02:20,1.1,1.1
2021-03-03 12:02:25,1.3,1.3
2021-03-03 12:02:30,1.4,1.4
2021-03-03 12:02:35,1.3,1.3
2021-03-03 12:02:40,1.4,1.4
2021-03-03 12:02:45,1.5,1.5
2021-03-03 12:02:50,1.3,1.3
2021-03-03 12:02:55,1.5,1.5
2021-03-03 12:03:00,1.6,1.6
2021-03-03 12:03:05,1.4,1.4
2021-03-03 12:03:10,7.5,0.70
2021-03-03 12:03:15,18,0
2021-03-03 12:03:20,20,0
2021-03-03 12:03:25,21,0
2021-03-03 12:03:30,24,0
2021-03-03 12:03:35,48,23
2021-03-03 12:03:40,92,60
2021-03-03 12:03:45,104,57
2021-03-03 12:03:50,72,21
2021-03-03 12:03:55,64,1.3
2021-03-03 12:04:00,70,1.3
2021-03-03 12:04:05,130,85
2021-03-03 12:04:10,106,86
2021-03-03 12:04:15,5,1.6
2021-03-03 12:04:20,12,0.60
2021-03-03 12:04:25,30,0.10
2021-03-03 12:04:30,48,0
2021-03-03 12:04:35,65,0
2021-03-03 12:04:40,72,0
2021-03-03 12:04:45,133,83
2021-03-03 12:04:50,102,83
2021-03-03 12:04:55,1.2,1.2
2021-03-03 12:05:00,1.5,1.5
2021-03-03 12:05:05,1.1,1.1
2021-03-03 12:05:10,1.2,1.2
2021-03-03 12:05:15,1.2,1.2
2021-03-03 12:05:20,1.1,1.1
2021-03-03 12:05:25,1.2,1.2
2021-03-03 12:05:30,1.1,1.1
2021-03-03 12:05:35,1,1
2021-03-03 12:05:40,0.90,0.90
2021-03-03 12:05:45,1,1
2021-03-03 12:05:50,1,1
2021-03-03 12:05:55,1,1
2021-03-03 12:06:00,1,1
2021-03-03 12:06:05,1,1
