"Time","requests","fail"
2021-04-06 10:18:15,0,0
2021-04-06 10:18:30,0,0
2021-04-06 10:18:45,2.25,0
2021-04-06 10:19:00,5.80,0
2021-04-06 10:19:15,10.1,0
2021-04-06 10:19:30,11.9,0
2021-04-06 10:19:45,16.4,0
2021-04-06 10:20:00,18.7,0
2021-04-06 10:20:15,21.8,0
2021-04-06 10:20:30,25.1,0
2021-04-06 10:20:45,28.4,0
2021-04-06 10:21:00,35.1,0
2021-04-06 10:21:15,33.9,0
2021-04-06 10:21:30,41.2,0
2021-04-06 10:21:45,40.9,0
2021-04-06 10:22:00,45.1,0
2021-04-06 10:22:15,46.3,0
2021-04-06 10:22:30,50.5,0
2021-04-06 10:22:45,53.1,0
2021-04-06 10:23:00,57.2,0
2021-04-06 10:23:15,58.4,0
2021-04-06 10:23:30,64,0
2021-04-06 10:23:45,69,0
2021-04-06 10:24:00,76.5,0
2021-04-06 10:24:15,73,0
2021-04-06 10:24:30,80.7,0
2021-04-06 10:24:45,83.1,0
2021-04-06 10:25:00,86.9,0
2021-04-06 10:25:15,91.3,0
2021-04-06 10:25:30,90.4,0
2021-04-06 10:25:45,97.1,0
2021-04-06 10:26:00,100,0
2021-04-06 10:26:15,102,0
2021-04-06 10:26:30,106,0
2021-04-06 10:26:45,106,0
2021-04-06 10:27:00,114,0
2021-04-06 10:27:15,111,0
2021-04-06 10:27:30,118,0
2021-04-06 10:27:45,124,0
2021-04-06 10:28:00,119,0
2021-04-06 10:28:15,127,0
2021-04-06 10:28:30,131,0
2021-04-06 10:28:45,132,0
2021-04-06 10:29:00,136,0
2021-04-06 10:29:15,136,0
2021-04-06 10:29:30,144,0
2021-04-06 10:29:45,147,0
2021-04-06 10:30:00,151,0
2021-04-06 10:30:15,148,0
2021-04-06 10:30:30,158,0
2021-04-06 10:30:45,164,0
2021-04-06 10:31:00,165,0
2021-04-06 10:31:15,167,0
2021-04-06 10:31:30,171,0
2021-04-06 10:31:45,169,0
2021-04-06 10:32:00,181,0
2021-04-06 10:32:15,185,0
2021-04-06 10:32:30,183,0
2021-04-06 10:32:45,193,0
2021-04-06 10:33:00,192,0
2021-04-06 10:33:15,193,0
2021-04-06 10:33:30,199,0
2021-04-06 10:33:45,203,0
2021-04-06 10:34:00,205,0
2021-04-06 10:34:15,208,0
2021-04-06 10:34:30,212,0
2021-04-06 10:34:45,217,0
2021-04-06 10:35:00,217,0
2021-04-06 10:35:15,212,0
2021-04-06 10:35:30,221,0
2021-04-06 10:35:45,215,0
2021-04-06 10:36:00,224,0
2021-04-06 10:36:15,215,0
2021-04-06 10:36:30,216,0
2021-04-06 10:36:45,217,0
2021-04-06 10:37:00,219,0
2021-04-06 10:37:15,220,0
2021-04-06 10:37:30,217,0
2021-04-06 10:37:45,222,0
2021-04-06 10:38:00,220,0
2021-04-06 10:38:15,216,0
2021-04-06 10:38:30,220,0
2021-04-06 10:38:45,215,0
2021-04-06 10:39:00,219,0
2021-04-06 10:39:15,221,0
2021-04-06 10:39:30,221,0
2021-04-06 10:39:45,215,0
2021-04-06 10:40:00,226,0
2021-04-06 10:40:15,215,0
2021-04-06 10:40:30,220,0
2021-04-06 10:40:45,221,0
2021-04-06 10:41:00,221,0
2021-04-06 10:41:15,210,0
2021-04-06 10:41:30,221,0
2021-04-06 10:41:45,220,0
2021-04-06 10:42:00,223,0
2021-04-06 10:42:15,222,0
2021-04-06 10:42:30,220,0
2021-04-06 10:42:45,223,0
2021-04-06 10:43:00,214,0
2021-04-06 10:43:15,220,0
2021-04-06 10:43:30,219,0
2021-04-06 10:43:45,221,0
2021-04-06 10:44:00,223,0
2021-04-06 10:44:15,223,0
2021-04-06 10:44:30,214,0
2021-04-06 10:44:45,222,0
2021-04-06 10:45:00,221,0
2021-04-06 10:45:15,224,0
2021-04-06 10:45:30,218,0
2021-04-06 10:45:45,215,0
2021-04-06 10:46:00,210,0
2021-04-06 10:46:15,212,0
2021-04-06 10:46:30,207,0
2021-04-06 10:46:45,204,0
2021-04-06 10:47:00,194,0
2021-04-06 10:47:15,197,0
2021-04-06 10:47:30,197,0
2021-04-06 10:47:45,193,0
2021-04-06 10:48:00,182,0
2021-04-06 10:48:15,183,0
2021-04-06 10:48:30,168,0
2021-04-06 10:48:45,174,0
2021-04-06 10:49:00,172,0
2021-04-06 10:49:15,172,0
2021-04-06 10:49:30,168,0
2021-04-06 10:49:45,165,0
2021-04-06 10:50:00,152,0
2021-04-06 10:50:15,156,0
2021-04-06 10:50:30,152,0
2021-04-06 10:50:45,146,0
2021-04-06 10:51:00,143,0
2021-04-06 10:51:15,138,0
2021-04-06 10:51:30,139,0
2021-04-06 10:51:45,132,0
2021-04-06 10:52:00,132,0
2021-04-06 10:52:15,126,0
2021-04-06 10:52:30,125,0
2021-04-06 10:52:45,121,0
2021-04-06 10:53:00,118,0
2021-04-06 10:53:15,116,0
2021-04-06 10:53:30,116,0
2021-04-06 10:53:45,110,0
2021-04-06 10:54:00,106,0
2021-04-06 10:54:15,99.3,0
2021-04-06 10:54:30,97.3,0
2021-04-06 10:54:45,96.1,0
2021-04-06 10:55:00,92.4,0
2021-04-06 10:55:15,89,0
2021-04-06 10:55:30,81.4,0
2021-04-06 10:55:45,82.1,0
2021-04-06 10:56:00,77.7,0
2021-04-06 10:56:15,74.8,0
2021-04-06 10:56:30,72.4,0
2021-04-06 10:56:45,66.9,0
2021-04-06 10:57:00,65.7,0
2021-04-06 10:57:15,62.2,0
2021-04-06 10:57:30,56.8,0
2021-04-06 10:57:45,57.6,0
2021-04-06 10:58:00,52.7,0
2021-04-06 10:58:15,50.5,0
2021-04-06 10:58:30,47.1,0
2021-04-06 10:58:45,42.3,0
2021-04-06 10:59:00,41.5,0
2021-04-06 10:59:15,34.7,0
2021-04-06 10:59:30,32.3,0
2021-04-06 10:59:45,27.6,0
2021-04-06 11:00:00,26.8,0
2021-04-06 11:00:15,24.3,0
2021-04-06 11:00:30,21.2,0
2021-04-06 11:00:45,16.2,0
2021-04-06 11:01:00,14,0
2021-04-06 11:01:15,9,0
2021-04-06 11:01:30,6.10,0
2021-04-06 11:01:45,4.10,0
2021-04-06 11:02:00,3.60,0
2021-04-06 11:02:15,2.70,0
2021-04-06 11:02:30,3.40,0
2021-04-06 11:02:45,3.50,0
2021-04-06 11:03:00,3.30,0
2021-04-06 11:03:15,3.40,0
2021-04-06 11:03:30,3.60,0
2021-04-06 11:03:45,2.90,0
2021-04-06 11:04:00,3.40,0
2021-04-06 11:04:15,3.60,0
2021-04-06 11:04:30,3.70,0
2021-04-06 11:04:45,3.70,0
2021-04-06 11:05:00,3.10,0
2021-04-06 11:05:15,3.20,0
2021-04-06 11:05:30,3,0
2021-04-06 11:05:45,2.80,0
2021-04-06 11:06:00,3.40,0
2021-04-06 11:06:15,3.20,0
2021-04-06 11:06:30,2.70,0
2021-04-06 11:06:45,3.10,0
2021-04-06 11:07:00,3.40,0
2021-04-06 11:07:15,3.30,0
2021-04-06 11:07:30,3.10,0
2021-04-06 11:07:45,3.10,0
2021-04-06 11:08:00,2.90,0
2021-04-06 11:08:15,4,0
2021-04-06 11:08:30,3.20,0
2021-04-06 11:08:45,3.60,0
2021-04-06 11:09:00,2.80,0
2021-04-06 11:09:15,3.80,0
2021-04-06 11:09:30,3.60,0
2021-04-06 11:09:45,3.10,0
2021-04-06 11:10:00,3.10,0
2021-04-06 11:10:15,2.60,0
2021-04-06 11:10:30,3.10,0
2021-04-06 11:10:45,3.20,0
2021-04-06 11:11:00,2.80,0
2021-04-06 11:11:15,3.40,0
2021-04-06 11:11:30,3.50,0
2021-04-06 11:11:45,3.20,0
2021-04-06 11:12:00,2.80,0
2021-04-06 11:12:15,3.90,0
2021-04-06 11:12:30,4.30,0
2021-04-06 11:12:45,2.50,0
2021-04-06 11:13:00,3.60,0
2021-04-06 11:13:15,3,0
2021-04-06 11:13:30,3.30,0
2021-04-06 11:13:45,2.90,0
2021-04-06 11:14:00,2.80,0
2021-04-06 11:14:15,2.70,0
2021-04-06 11:14:30,3.40,0
2021-04-06 11:14:45,3.40,0

