"Time","P50","P95"
2021-04-06 10:18:15,0,0
2021-04-06 10:18:30,0,0
2021-04-06 10:18:45,18,52
2021-04-06 10:19:00,13,19
2021-04-06 10:19:15,13,19
2021-04-06 10:19:30,12,21
2021-04-06 10:19:45,12,19
2021-04-06 10:20:00,12,18
2021-04-06 10:20:15,11,18
2021-04-06 10:20:30,11,17
2021-04-06 10:20:45,12,19
2021-04-06 10:21:00,11,21
2021-04-06 10:21:15,11,17
2021-04-06 10:21:30,11,21
2021-04-06 10:21:45,11,25
2021-04-06 10:22:00,11,21
2021-04-06 10:22:15,11,22
2021-04-06 10:22:30,11,20
2021-04-06 10:22:45,11,22
2021-04-06 10:23:00,11,19
2021-04-06 10:23:15,11,23
2021-04-06 10:23:30,12,22
2021-04-06 10:23:45,11,23
2021-04-06 10:24:00,12,26
2021-04-06 10:24:15,11,23
2021-04-06 10:24:30,12,24
2021-04-06 10:24:45,12,23
2021-04-06 10:25:00,12,23
2021-04-06 10:25:15,12,23
2021-04-06 10:25:30,12,22
2021-04-06 10:25:45,13,31
2021-04-06 10:26:00,13,27
2021-04-06 10:26:15,13,28
2021-04-06 10:26:30,13,28
2021-04-06 10:26:45,12,26
2021-04-06 10:27:00,13,28
2021-04-06 10:27:15,12,28
2021-04-06 10:27:30,13,28
2021-04-06 10:27:45,12,31
2021-04-06 10:28:00,13,28
2021-04-06 10:28:15,13,28
2021-04-06 10:28:30,13,29
2021-04-06 10:28:45,13,31
2021-04-06 10:29:00,13,29
2021-04-06 10:29:15,13,26
2021-04-06 10:29:30,13,30
2021-04-06 10:29:45,13,28
2021-04-06 10:30:00,13,30
2021-04-06 10:30:15,14,31
2021-04-06 10:30:30,14,29
2021-04-06 10:30:45,13,31
2021-04-06 10:31:00,14,31
2021-04-06 10:31:15,13,31
2021-04-06 10:31:30,14,30
2021-04-06 10:31:45,13,31
2021-04-06 10:32:00,14,31
2021-04-06 10:32:15,13,30
2021-04-06 10:32:30,14,29
2021-04-06 10:32:45,14,31
2021-04-06 10:33:00,14,32
2021-04-06 10:33:15,14,30
2021-04-06 10:33:30,13,31
2021-04-06 10:33:45,13,30
2021-04-06 10:34:00,13,31
2021-04-06 10:34:15,13,30
2021-04-06 10:34:30,14,32
2021-04-06 10:34:45,13,30
2021-04-06 10:35:00,13,30
2021-04-06 10:35:15,12,30
2021-04-06 10:35:30,12,28
2021-04-06 10:35:45,14,33
2021-04-06 10:36:00,13,31
2021-04-06 10:36:15,13,33
2021-04-06 10:36:30,13,33
2021-04-06 10:36:45,12,31
2021-04-06 10:37:00,13,31
2021-04-06 10:37:15,13,32
2021-04-06 10:37:30,13,30
2021-04-06 10:37:45,13,33
2021-04-06 10:38:00,12,30
2021-04-06 10:38:15,12,31
2021-04-06 10:38:30,13,34
2021-04-06 10:38:45,13,30
2021-04-06 10:39:00,13,32
2021-04-06 10:39:15,13,33
2021-04-06 10:39:30,13,31
2021-04-06 10:39:45,13,33
2021-04-06 10:40:00,13,30
2021-04-06 10:40:15,13,32
2021-04-06 10:40:30,12,32
2021-04-06 10:40:45,12,28
2021-04-06 10:41:00,12,29
2021-04-06 10:41:15,12,29
2021-04-06 10:41:30,13,30
2021-04-06 10:41:45,13,30
2021-04-06 10:42:00,13,34
2021-04-06 10:42:15,12,28
2021-04-06 10:42:30,12,31
2021-04-06 10:42:45,12,29
2021-04-06 10:43:00,13,30
2021-04-06 10:43:15,13,33
2021-04-06 10:43:30,13,28
2021-04-06 10:43:45,14,34
2021-04-06 10:44:00,12,29
2021-04-06 10:44:15,13,31
2021-04-06 10:44:30,12,30
2021-04-06 10:44:45,13,32
2021-04-06 10:45:00,12,30
2021-04-06 10:45:15,12,29
2021-04-06 10:45:30,13,31
2021-04-06 10:45:45,13,32
2021-04-06 10:46:00,13,36
2021-04-06 10:46:15,13,29
2021-04-06 10:46:30,14,31
2021-04-06 10:46:45,13,28
2021-04-06 10:47:00,14,30
2021-04-06 10:47:15,13,33
2021-04-06 10:47:30,14,31
2021-04-06 10:47:45,13,33
2021-04-06 10:48:00,13,29
2021-04-06 10:48:15,14,32
2021-04-06 10:48:30,15,32
2021-04-06 10:48:45,14,29
2021-04-06 10:49:00,14,30
2021-04-06 10:49:15,14,28
2021-04-06 10:49:30,13,28
2021-04-06 10:49:45,14,31
2021-04-06 10:50:00,14,32
2021-04-06 10:50:15,13,28
2021-04-06 10:50:30,14,30
2021-04-06 10:50:45,14,28
2021-04-06 10:51:00,14,28
2021-04-06 10:51:15,13,28
2021-04-06 10:51:30,13,32
2021-04-06 10:51:45,13,30
2021-04-06 10:52:00,13,28
2021-04-06 10:52:15,13,29
2021-04-06 10:52:30,12,26
2021-04-06 10:52:45,13,29
2021-04-06 10:53:00,13,27
2021-04-06 10:53:15,12,27
2021-04-06 10:53:30,13,28
2021-04-06 10:53:45,12,28
2021-04-06 10:54:00,12,26
2021-04-06 10:54:15,12,26
2021-04-06 10:54:30,13,25
2021-04-06 10:54:45,12,25
2021-04-06 10:55:00,12,22
2021-04-06 10:55:15,12,26
2021-04-06 10:55:30,12,24
2021-04-06 10:55:45,11,26
2021-04-06 10:56:00,12,25
2021-04-06 10:56:15,11,23
2021-04-06 10:56:30,11,22
2021-04-06 10:56:45,11,24
2021-04-06 10:57:00,11,21
2021-04-06 10:57:15,11,21
2021-04-06 10:57:30,11,20
2021-04-06 10:57:45,11,24
2021-04-06 10:58:00,11,24
2021-04-06 10:58:15,12,24
2021-04-06 10:58:30,11,24
2021-04-06 10:58:45,10,18
2021-04-06 10:59:00,11,18
2021-04-06 10:59:15,11,17
2021-04-06 10:59:30,11,23
2021-04-06 10:59:45,11,19
2021-04-06 11:00:00,11,23
2021-04-06 11:00:15,11,22
2021-04-06 11:00:30,11,24
2021-04-06 11:00:45,11,19
2021-04-06 11:01:00,11,18
2021-04-06 11:01:15,11,19
2021-04-06 11:01:30,11,19
2021-04-06 11:01:45,11,24
2021-04-06 11:02:00,11,27
2021-04-06 11:02:15,12,18
2021-04-06 11:02:30,11,17
2021-04-06 11:02:45,11,24
2021-04-06 11:03:00,12,20
2021-04-06 11:03:15,11,17
2021-04-06 11:03:30,11,17
2021-04-06 11:03:45,12,18
2021-04-06 11:04:00,12,26
2021-04-06 11:04:15,11,15
2021-04-06 11:04:30,11,17
2021-04-06 11:04:45,11,32
2021-04-06 11:05:00,12,15
2021-04-06 11:05:15,11,14
2021-04-06 11:05:30,11,19
2021-04-06 11:05:45,11,26
2021-04-06 11:06:00,11,20
2021-04-06 11:06:15,11,20
2021-04-06 11:06:30,12,15
2021-04-06 11:06:45,11,24
2021-04-06 11:07:00,11,25
2021-04-06 11:07:15,11,16
2021-04-06 11:07:30,13,26
2021-04-06 11:07:45,11,18
2021-04-06 11:08:00,11,16
2021-04-06 11:08:15,11,17
2021-04-06 11:08:30,11,16
2021-04-06 11:08:45,11,19
2021-04-06 11:09:00,12,14
2021-04-06 11:09:15,12,28
2021-04-06 11:09:30,11,23
2021-04-06 11:09:45,11,28
2021-04-06 11:10:00,11,25
2021-04-06 11:10:15,11,21
2021-04-06 11:10:30,11,16
2021-04-06 11:10:45,12,24
2021-04-06 11:11:00,11,17
2021-04-06 11:11:15,12,27
2021-04-06 11:11:30,11,20
2021-04-06 11:11:45,11,23
2021-04-06 11:12:00,12,17
2021-04-06 11:12:15,11,25
2021-04-06 11:12:30,11,21
2021-04-06 11:12:45,11,26
2021-04-06 11:13:00,11,25
2021-04-06 11:13:15,11,27
2021-04-06 11:13:30,11,28
2021-04-06 11:13:45,11,28
2021-04-06 11:14:00,11,21
2021-04-06 11:14:15,11,17
2021-04-06 11:14:30,13,32
2021-04-06 11:14:45,0,0

