"Time","Requests","Fail"
2021-03-10 17:33:20,0,0
2021-03-10 17:33:25,0,0
2021-03-10 17:33:30,0,0
2021-03-10 17:33:35,0,0
2021-03-10 17:33:40,1.8,0
2021-03-10 17:33:45,2.2,0
2021-03-10 17:33:50,3,0
2021-03-10 17:33:55,4.2,0
2021-03-10 17:34:00,6,0
2021-03-10 17:34:05,6.7,0
2021-03-10 17:34:10,7.7,0
2021-03-10 17:34:15,9.5,0
2021-03-10 17:34:20,9.3,0
2021-03-10 17:34:25,12,0
2021-03-10 17:34:30,12,0
2021-03-10 17:34:35,14,0
2021-03-10 17:34:40,14,0
2021-03-10 17:34:45,15,0
2021-03-10 17:34:50,16,0
2021-03-10 17:34:55,16,0
2021-03-10 17:35:00,19,0
2021-03-10 17:35:05,21,0
2021-03-10 17:35:10,21,0
2021-03-10 17:35:15,22,0
2021-03-10 17:35:20,24,0
2021-03-10 17:35:25,25,0
2021-03-10 17:35:30,26,0
2021-03-10 17:35:35,26,0
2021-03-10 17:35:40,28,0
2021-03-10 17:35:45,29,0
2021-03-10 17:35:50,28,0
2021-03-10 17:35:55,30,0
2021-03-10 17:36:00,31,0
2021-03-10 17:36:05,30,0
2021-03-10 17:36:10,32,0
2021-03-10 17:36:15,34,0
2021-03-10 17:36:20,33,0
2021-03-10 17:36:25,33,0
2021-03-10 17:36:30,36,0
2021-03-10 17:36:35,34,0
2021-03-10 17:36:40,37,0
2021-03-10 17:36:45,40,0
2021-03-10 17:36:50,40,0
2021-03-10 17:36:55,41,0
2021-03-10 17:37:00,43,0
2021-03-10 17:37:05,43,0
2021-03-10 17:37:10,45,0
2021-03-10 17:37:15,46,0
2021-03-10 17:37:20,48,0
2021-03-10 17:37:25,44,0
2021-03-10 17:37:30,49,0
2021-03-10 17:37:35,46,0
2021-03-10 17:37:40,46,0
2021-03-10 17:37:45,50,0
2021-03-10 17:37:50,49,0
2021-03-10 17:37:55,48,0
2021-03-10 17:38:00,47,0
2021-03-10 17:38:05,50,0
2021-03-10 17:38:10,52,0
2021-03-10 17:38:15,56,0
2021-03-10 17:38:20,56,0
2021-03-10 17:38:25,50,0
2021-03-10 17:38:30,53,0
2021-03-10 17:38:35,53,0
2021-03-10 17:38:40,53,0
2021-03-10 17:38:45,60,0
2021-03-10 17:38:50,60,0
2021-03-10 17:38:55,51,0
2021-03-10 17:39:00,55,0
2021-03-10 17:39:05,54,0
2021-03-10 17:39:10,58,0
2021-03-10 17:39:15,63,0
2021-03-10 17:39:20,57,0
2021-03-10 17:39:25,60,0
2021-03-10 17:39:30,57,0
2021-03-10 17:39:35,52,0
2021-03-10 17:39:40,57,0
2021-03-10 17:39:45,65,0
2021-03-10 17:39:50,61,0
2021-03-10 17:39:55,61,0
2021-03-10 17:40:00,73,0.20
2021-03-10 17:40:05,75,3.2
2021-03-10 17:40:10,54,3.2
2021-03-10 17:40:15,54,3.2
2021-03-10 17:40:20,54,3.2
2021-03-10 17:40:25,54,3.2
2021-03-10 17:40:30,51,51
2021-03-10 17:40:35,64,55
2021-03-10 17:40:40,99,55
2021-03-10 17:40:45,75,0
2021-03-10 17:40:50,78,0
2021-03-10 17:40:55,72,0
2021-03-10 17:41:00,74,0
2021-03-10 17:41:05,76,0
2021-03-10 17:41:10,74,0
2021-03-10 17:41:15,83,0
2021-03-10 17:41:20,83,0
2021-03-10 17:41:25,72,0
2021-03-10 17:41:30,74,0
2021-03-10 17:41:35,77,0
2021-03-10 17:41:40,67,0
2021-03-10 17:41:45,68,0
2021-03-10 17:41:50,77,0
2021-03-10 17:41:55,69,0
2021-03-10 17:42:00,75,0
2021-03-10 17:42:05,77,0
2021-03-10 17:42:10,76,0
2021-03-10 17:42:15,84,0
2021-03-10 17:42:20,83,0
2021-03-10 17:42:25,77,0
2021-03-10 17:42:30,91,0
2021-03-10 17:42:35,92,0
2021-03-10 17:42:40,97,16
2021-03-10 17:42:45,109,19
2021-03-10 17:42:50,90,4
2021-03-10 17:42:55,91,5
2021-03-10 17:43:00,99,5
2021-03-10 17:43:05,91,0
2021-03-10 17:43:10,85,0
2021-03-10 17:43:15,98,0
2021-03-10 17:43:20,100,0
2021-03-10 17:43:25,89,0
2021-03-10 17:43:30,88,0
2021-03-10 17:43:35,87,0
2021-03-10 17:43:40,90,0
2021-03-10 17:43:45,96,0
2021-03-10 17:43:50,98,0
2021-03-10 17:43:55,89,0
2021-03-10 17:44:00,89,0
2021-03-10 17:44:05,88,0
2021-03-10 17:44:10,89,0
2021-03-10 17:44:15,92,0
2021-03-10 17:44:20,88,0
2021-03-10 17:44:25,84,0
2021-03-10 17:44:30,88,0
2021-03-10 17:44:35,88,0
2021-03-10 17:44:40,89,0
2021-03-10 17:44:45,93,0
2021-03-10 17:44:50,95,0
2021-03-10 17:44:55,92,0
2021-03-10 17:45:00,99,0
2021-03-10 17:45:05,103,0.50
2021-03-10 17:45:10,126,35
2021-03-10 17:45:15,124,43
2021-03-10 17:45:20,108,26
2021-03-10 17:45:25,91,3.1
2021-03-10 17:45:30,109,4.6
2021-03-10 17:45:35,106,4.3
2021-03-10 17:45:40,95,3.6
2021-03-10 17:45:45,83,2.3
2021-03-10 17:45:50,87,1.8
2021-03-10 17:45:55,85,0.80
2021-03-10 17:46:00,82,0
2021-03-10 17:46:05,85,0
2021-03-10 17:46:10,86,0
2021-03-10 17:46:15,99,0
2021-03-10 17:46:20,99,0
2021-03-10 17:46:25,90,0
2021-03-10 17:46:30,86,0
2021-03-10 17:46:35,84,0
2021-03-10 17:46:40,86,0
2021-03-10 17:46:45,96,0
2021-03-10 17:46:50,96,0
2021-03-10 17:46:55,89,0
2021-03-10 17:47:00,89,0
2021-03-10 17:47:05,89,0
2021-03-10 17:47:10,89,0
2021-03-10 17:47:15,94,0
2021-03-10 17:47:20,96,0
2021-03-10 17:47:25,90,0
2021-03-10 17:47:30,87,0
2021-03-10 17:47:35,107,1.6
2021-03-10 17:47:40,117,6.4
2021-03-10 17:47:45,168,38
2021-03-10 17:47:50,190,59
2021-03-10 17:47:55,132,26
2021-03-10 17:48:00,142,19
2021-03-10 17:48:05,147,19
2021-03-10 17:48:10,140,0
2021-03-10 17:48:15,165,0
2021-03-10 17:48:20,158,0
2021-03-10 17:48:25,144,0
2021-03-10 17:48:30,144,0
2021-03-10 17:48:35,150,0
2021-03-10 17:48:40,149,0
2021-03-10 17:48:45,166,0
2021-03-10 17:48:50,165,0
2021-03-10 17:48:55,147,0
2021-03-10 17:49:00,156,0
2021-03-10 17:49:05,156,0
2021-03-10 17:49:10,153,0
2021-03-10 17:49:15,173,0
2021-03-10 17:49:20,172,0
2021-03-10 17:49:25,148,0
2021-03-10 17:49:30,135,0
2021-03-10 17:49:35,125,0
2021-03-10 17:49:40,133,0
2021-03-10 17:49:45,167,0
2021-03-10 17:49:50,172,0
2021-03-10 17:49:55,152,0
2021-03-10 17:50:00,151,0
2021-03-10 17:50:05,164,0
2021-03-10 17:50:10,191,0.50
2021-03-10 17:50:15,190,3.6
2021-03-10 17:50:20,159,17
2021-03-10 17:50:25,128,14
2021-03-10 17:50:30,154,0
2021-03-10 17:50:35,162,0
2021-03-10 17:50:40,166,0
2021-03-10 17:50:45,185,0
2021-03-10 17:50:50,177,0
2021-03-10 17:50:55,165,0
2021-03-10 17:51:00,160,0
2021-03-10 17:51:05,155,0
2021-03-10 17:51:10,167,0
2021-03-10 17:51:15,189,0
2021-03-10 17:51:20,183,0
2021-03-10 17:51:25,167,0
2021-03-10 17:51:30,171,0
2021-03-10 17:51:35,161,0
2021-03-10 17:51:40,142,0
2021-03-10 17:51:45,183,0
2021-03-10 17:51:50,183,0
2021-03-10 17:51:55,167,0
2021-03-10 17:52:00,173,0
2021-03-10 17:52:05,176,0
2021-03-10 17:52:10,172,0
2021-03-10 17:52:15,190,0
2021-03-10 17:52:20,189,0
2021-03-10 17:52:25,173,0
2021-03-10 17:52:30,182,0
2021-03-10 17:52:35,169,0
2021-03-10 17:52:40,169,0
2021-03-10 17:52:45,191,28
2021-03-10 17:52:50,200,31
2021-03-10 17:52:55,166,6.3
2021-03-10 17:53:00,171,6.9
2021-03-10 17:53:05,170,6.3
2021-03-10 17:53:10,164,7.7
2021-03-10 17:53:15,189,9.1
2021-03-10 17:53:20,185,7.1
2021-03-10 17:53:25,157,4.8
2021-03-10 17:53:30,155,2.3
2021-03-10 17:53:35,151,0.20
2021-03-10 17:53:40,150,0
2021-03-10 17:53:45,171,0
2021-03-10 17:53:50,176,0
2021-03-10 17:53:55,157,0
2021-03-10 17:54:00,154,0
2021-03-10 17:54:05,148,0
2021-03-10 17:54:10,152,0
2021-03-10 17:54:15,172,0
2021-03-10 17:54:20,172,0
2021-03-10 17:54:25,153,0
2021-03-10 17:54:30,134,0
2021-03-10 17:54:35,130,0
2021-03-10 17:54:40,147,0
2021-03-10 17:54:45,171,0
2021-03-10 17:54:50,176,0
2021-03-10 17:54:55,158,0
2021-03-10 17:55:00,160,0
2021-03-10 17:55:05,160,0
2021-03-10 17:55:10,187,0
2021-03-10 17:55:15,217,10
2021-03-10 17:55:20,204,23
2021-03-10 17:55:25,196,24
2021-03-10 17:55:30,210,31
2021-03-10 17:55:35,178,50
2021-03-10 17:55:40,177,29
2021-03-10 17:55:45,214,8.6
2021-03-10 17:55:50,208,7.1
2021-03-10 17:55:55,197,2.3
2021-03-10 17:56:00,198,0
2021-03-10 17:56:05,202,0
2021-03-10 17:56:10,198,0
2021-03-10 17:56:15,206,0
2021-03-10 17:56:20,208,0
2021-03-10 17:56:25,199,0
2021-03-10 17:56:30,205,0
2021-03-10 17:56:35,206,0
2021-03-10 17:56:40,205,0
2021-03-10 17:56:45,203,0
2021-03-10 17:56:50,209,0
2021-03-10 17:56:55,205,0
2021-03-10 17:57:00,206,0
2021-03-10 17:57:05,204,0
2021-03-10 17:57:10,204,0
2021-03-10 17:57:15,211,0
2021-03-10 17:57:20,208,0
2021-03-10 17:57:25,192,0
2021-03-10 17:57:30,203,0
2021-03-10 17:57:35,210,0
2021-03-10 17:57:40,207,0
2021-03-10 17:57:45,218,1.9
