"Time","Requests","Fail"
2021-03-08 16:03:10,0,0
2021-03-08 16:03:15,0,0
2021-03-08 16:03:20,0,0
2021-03-08 16:03:25,0,0
2021-03-08 16:03:30,2.1,0
2021-03-08 16:03:35,2.7,0
2021-03-08 16:03:40,3.9,0
2021-03-08 16:03:45,4.5,0
2021-03-08 16:03:50,7.1,0
2021-03-08 16:03:55,8.4,0
2021-03-08 16:04:00,8.8,0
2021-03-08 16:04:05,9,0
2021-03-08 16:04:10,9.6,0
2021-03-08 16:04:15,12,0
2021-03-08 16:04:20,12,0
2021-03-08 16:04:25,14,0
2021-03-08 16:04:30,18,0
2021-03-08 16:04:35,16,0
2021-03-08 16:04:40,17,0
2021-03-08 16:04:45,20,0
2021-03-08 16:04:50,21,0
2021-03-08 16:04:55,21,0
2021-03-08 16:05:00,21,0
2021-03-08 16:05:05,24,0
2021-03-08 16:05:10,26,0
2021-03-08 16:05:15,24,0
2021-03-08 16:05:20,26,0
2021-03-08 16:05:25,27,0
2021-03-08 16:05:30,28,0
2021-03-08 16:05:35,32,0
2021-03-08 16:05:40,31,0
2021-03-08 16:05:45,30,0
2021-03-08 16:05:50,32,0
2021-03-08 16:05:55,35,0
2021-03-08 16:06:00,33,0
2021-03-08 16:06:05,36,0
2021-03-08 16:06:10,36,0
2021-03-08 16:06:15,36,0
2021-03-08 16:06:20,38,0
2021-03-08 16:06:25,41,0
2021-03-08 16:06:30,40,0
2021-03-08 16:06:35,44,0
2021-03-08 16:06:40,47,0
2021-03-08 16:06:45,46,0
2021-03-08 16:06:50,46,0
2021-03-08 16:06:55,44,0
2021-03-08 16:07:00,46,0
2021-03-08 16:07:05,49,0
2021-03-08 16:07:10,49,0
2021-03-08 16:07:15,49,0
2021-03-08 16:07:20,51,0
2021-03-08 16:07:25,51,0
2021-03-08 16:07:30,57,0
2021-03-08 16:07:35,56,0
2021-03-08 16:07:40,56,0
2021-03-08 16:07:45,57,0
2021-03-08 16:07:50,61,0
2021-03-08 16:07:55,60,0
2021-03-08 16:08:00,57,0
2021-03-08 16:08:05,42,0
2021-03-08 16:08:10,57,0
2021-03-08 16:08:15,64,0
2021-03-08 16:08:20,65,0
2021-03-08 16:08:25,67,0
2021-03-08 16:08:30,66,0
2021-03-08 16:08:35,67,0
2021-03-08 16:08:40,66,0
2021-03-08 16:08:45,67,0
2021-03-08 16:08:50,70,0
2021-03-08 16:08:55,70,0
2021-03-08 16:09:00,74,0
2021-03-08 16:09:05,76,0
2021-03-08 16:09:10,72,0
2021-03-08 16:09:15,75,0
2021-03-08 16:09:20,76,0
2021-03-08 16:09:25,78,0
2021-03-08 16:09:30,80,0
2021-03-08 16:09:35,81,0
2021-03-08 16:09:40,81,0
2021-03-08 16:09:45,83,0
2021-03-08 16:09:50,81,0
2021-03-08 16:09:55,82,0
2021-03-08 16:10:00,82,0
2021-03-08 16:10:05,94,0
2021-03-08 16:10:10,88,0
2021-03-08 16:10:15,89,0
2021-03-08 16:10:20,94,0
2021-03-08 16:10:25,92,0
2021-03-08 16:10:30,84,0
2021-03-08 16:10:35,99,0
2021-03-08 16:10:40,95,0
2021-03-08 16:10:45,95,0
2021-03-08 16:10:50,94,0
2021-03-08 16:10:55,95,0
2021-03-08 16:11:00,105,0
2021-03-08 16:11:05,104,0
2021-03-08 16:11:10,104,0
2021-03-08 16:11:15,103,0
2021-03-08 16:11:20,111,0
2021-03-08 16:11:25,112,0
2021-03-08 16:11:30,102,0
2021-03-08 16:11:35,106,0
2021-03-08 16:11:40,111,0
2021-03-08 16:11:45,112,0
2021-03-08 16:11:50,105,0
2021-03-08 16:11:55,107,0
2021-03-08 16:12:00,109,0
2021-03-08 16:12:05,117,0
2021-03-08 16:12:10,112,0
2021-03-08 16:12:15,114,0
2021-03-08 16:12:20,115,0
2021-03-08 16:12:25,118,0
2021-03-08 16:12:30,123,0
2021-03-08 16:12:35,124,0
2021-03-08 16:12:40,115,0
2021-03-08 16:12:45,116,0
2021-03-08 16:12:50,130,0
2021-03-08 16:12:55,127,0
2021-03-08 16:13:00,131,0
2021-03-08 16:13:05,130,0
2021-03-08 16:13:10,132,0
2021-03-08 16:13:15,129,0
2021-03-08 16:13:20,131,0
2021-03-08 16:13:25,130,0
2021-03-08 16:13:30,130,0
2021-03-08 16:13:35,127,0
2021-03-08 16:13:40,132,0
2021-03-08 16:13:45,138,0
2021-03-08 16:13:50,135,0
2021-03-08 16:13:55,142,0
2021-03-08 16:14:00,141,0
2021-03-08 16:14:05,137,0
2021-03-08 16:14:10,141,0
2021-03-08 16:14:15,151,0
2021-03-08 16:14:20,144,0
2021-03-08 16:14:25,143,0
2021-03-08 16:14:30,151,0
2021-03-08 16:14:35,148,0
2021-03-08 16:14:40,142,0
2021-03-08 16:14:45,170,0
2021-03-08 16:14:50,146,0
2021-03-08 16:14:55,155,0
2021-03-08 16:15:00,153,0
2021-03-08 16:15:05,147,0
2021-03-08 16:15:10,152,0
2021-03-08 16:15:15,155,0
2021-03-08 16:15:20,150,0
2021-03-08 16:15:25,146,0
2021-03-08 16:15:30,164,0
2021-03-08 16:15:35,154,0
2021-03-08 16:15:40,158,0
2021-03-08 16:15:45,160,0
2021-03-08 16:15:50,163,0
2021-03-08 16:15:55,145,0
2021-03-08 16:16:00,162,0
2021-03-08 16:16:05,152,0
2021-03-08 16:16:10,162,0
2021-03-08 16:16:15,168,0
2021-03-08 16:16:20,171,0
2021-03-08 16:16:25,162,0
2021-03-08 16:16:30,169,0
2021-03-08 16:16:35,184,0
2021-03-08 16:16:40,170,0
2021-03-08 16:16:45,175,0
2021-03-08 16:16:50,161,0
2021-03-08 16:16:55,176,0
2021-03-08 16:17:00,169,0
2021-03-08 16:17:05,183,0
2021-03-08 16:17:10,185,0
2021-03-08 16:17:15,181,0
2021-03-08 16:17:20,180,0
2021-03-08 16:17:25,161,0
2021-03-08 16:17:30,185,0
2021-03-08 16:17:35,186,0
2021-03-08 16:17:40,186,0
2021-03-08 16:17:45,201,0
2021-03-08 16:17:50,199,0
2021-03-08 16:17:55,192,0
2021-03-08 16:18:00,191,0
2021-03-08 16:18:05,188,0
2021-03-08 16:18:10,192,0
2021-03-08 16:18:15,185,0
2021-03-08 16:18:20,194,0
2021-03-08 16:18:25,196,0
2021-03-08 16:18:30,199,0
