"Time","requests","fail"
2021-04-12 21:22:55,3.50,0
2021-04-12 21:23:00,0,0
2021-04-12 21:23:05,0,0
2021-04-12 21:23:10,0,0
2021-04-12 21:23:15,0,0
2021-04-12 21:23:20,0,0
2021-04-12 21:23:25,1.83,0
2021-04-12 21:23:30,2.60,0
2021-04-12 21:23:35,3.90,0
2021-04-12 21:23:40,5.10,0
2021-04-12 21:23:45,5.60,0
2021-04-12 21:23:50,5.90,0
2021-04-12 21:23:55,8.90,0
2021-04-12 21:24:00,10.8,0
2021-04-12 21:24:05,10.8,0
2021-04-12 21:24:10,11,0
2021-04-12 21:24:15,12.5,0
2021-04-12 21:24:20,14.1,0
2021-04-12 21:24:25,14.3,0
2021-04-12 21:24:30,13.8,0
2021-04-12 21:24:35,16.6,0
2021-04-12 21:24:40,17.2,0
2021-04-12 21:24:45,18.5,0
2021-04-12 21:24:50,20.9,0
2021-04-12 21:24:55,20.2,0
2021-04-12 21:25:00,22.3,0
2021-04-12 21:25:05,21.4,0
2021-04-12 21:25:10,23.9,0
2021-04-12 21:25:15,26.4,0
2021-04-12 21:25:20,26.1,0
2021-04-12 21:25:25,27.8,0
2021-04-12 21:25:30,28.7,0
2021-04-12 21:25:35,28.7,0
2021-04-12 21:25:40,32.5,0
2021-04-12 21:25:45,32.6,0
2021-04-12 21:25:50,32.3,0
2021-04-12 21:25:55,32.5,0
2021-04-12 21:26:00,34.4,0
2021-04-12 21:26:05,34.7,0
2021-04-12 21:26:10,34.7,0
2021-04-12 21:26:15,39.5,0
2021-04-12 21:26:20,39.6,0
2021-04-12 21:26:25,35.6,0
2021-04-12 21:26:30,39.1,0
2021-04-12 21:26:35,40.2,0
2021-04-12 21:26:40,40,0
2021-04-12 21:26:45,44.4,0
2021-04-12 21:26:50,41.3,0
2021-04-12 21:26:55,43.4,0
2021-04-12 21:27:00,43.1,0
2021-04-12 21:27:05,44.4,0
2021-04-12 21:27:10,46.8,0
2021-04-12 21:27:15,46.7,0
2021-04-12 21:27:20,45.7,0
2021-04-12 21:27:25,46.7,0
2021-04-12 21:27:30,47.4,0
2021-04-12 21:27:35,47.1,0
2021-04-12 21:27:40,46.8,0
2021-04-12 21:27:45,52.2,0
2021-04-12 21:27:50,49.4,0
2021-04-12 21:27:55,50.6,0
2021-04-12 21:28:00,51.3,0
2021-04-12 21:28:05,51.2,0
2021-04-12 21:28:10,55.9,0
2021-04-12 21:28:15,56.5,0
2021-04-12 21:28:20,55.6,0
2021-04-12 21:28:25,53.8,0
2021-04-12 21:28:30,52.9,0
2021-04-12 21:28:35,54.4,0
2021-04-12 21:28:40,53.1,0
2021-04-12 21:28:45,55.2,0
2021-04-12 21:28:50,58.8,0
2021-04-12 21:28:55,55.3,0
2021-04-12 21:29:00,65.9,0.100
2021-04-12 21:29:05,66,0.900
2021-04-12 21:29:10,66.8,15.5
2021-04-12 21:29:15,75.8,21.4
2021-04-12 21:29:20,74.7,19.9
2021-04-12 21:29:25,75.4,13.8
2021-04-12 21:29:30,69.2,0.800
2021-04-12 21:29:35,73.7,0
2021-04-12 21:29:40,78.2,0
2021-04-12 21:29:45,76.6,0
2021-04-12 21:29:50,72.4,0
2021-04-12 21:29:55,71.9,0
2021-04-12 21:30:00,74.4,0
2021-04-12 21:30:05,75.5,0
2021-04-12 21:30:10,71,0
2021-04-12 21:30:15,70.6,0
2021-04-12 21:30:20,67.4,0
2021-04-12 21:30:25,69.2,0
2021-04-12 21:30:30,74.9,0
2021-04-12 21:30:35,76.8,0
2021-04-12 21:30:40,78.7,0
2021-04-12 21:30:45,77.1,0
2021-04-12 21:30:50,81.4,0
2021-04-12 21:30:55,76.1,0
2021-04-12 21:31:00,62,0
2021-04-12 21:31:05,71.9,0
2021-04-12 21:31:10,88.7,0
2021-04-12 21:31:15,84.4,0
2021-04-12 21:31:20,88.3,0
2021-04-12 21:31:25,87.7,0
2021-04-12 21:31:30,85.4,0
2021-04-12 21:31:35,84.1,0
2021-04-12 21:31:40,89.4,0
2021-04-12 21:31:45,88.2,0
2021-04-12 21:31:50,85.3,0
2021-04-12 21:31:55,87,0
2021-04-12 21:32:00,81.7,0
2021-04-12 21:32:05,82.4,0
2021-04-12 21:32:10,80.3,0
2021-04-12 21:32:15,86,0
2021-04-12 21:32:20,94.3,0
2021-04-12 21:32:25,98.7,5.70
2021-04-12 21:32:30,105,20.3
2021-04-12 21:32:35,102,20.7
2021-04-12 21:32:40,106,18.9
2021-04-12 21:32:45,108,19.5
2021-04-12 21:32:50,122,18.5
2021-04-12 21:32:55,112,0.100
2021-04-12 21:33:00,112,0
2021-04-12 21:33:05,111,0
2021-04-12 21:33:10,114,0
2021-04-12 21:33:15,113,0
2021-04-12 21:33:20,109,0
2021-04-12 21:33:25,97.6,0
2021-04-12 21:33:30,106,0
2021-04-12 21:33:35,107,0
2021-04-12 21:33:40,109,0
2021-04-12 21:33:45,109,0
2021-04-12 21:33:50,112,0
2021-04-12 21:33:55,110,0
2021-04-12 21:34:00,108,0
2021-04-12 21:34:05,89.5,0
2021-04-12 21:34:10,90.5,0
2021-04-12 21:34:15,111,0
2021-04-12 21:34:20,115,0
2021-04-12 21:34:25,111,0
2021-04-12 21:34:30,109,0
2021-04-12 21:34:35,111,0
2021-04-12 21:34:40,114,0
2021-04-12 21:34:45,120,0
2021-04-12 21:34:50,117,0
2021-04-12 21:34:55,114,0
2021-04-12 21:35:00,113,0
2021-04-12 21:35:05,113,0
2021-04-12 21:35:10,113,0
2021-04-12 21:35:15,116,0
2021-04-12 21:35:20,118,0
2021-04-12 21:35:25,119,0
2021-04-12 21:35:30,118,0
2021-04-12 21:35:35,117,0
2021-04-12 21:35:40,119,0
2021-04-12 21:35:45,139,0
2021-04-12 21:35:50,156,9.50
2021-04-12 21:35:55,153,28.5
2021-04-12 21:36:00,159,38.5
2021-04-12 21:36:05,153,17.3
2021-04-12 21:36:10,156,3.20
2021-04-12 21:36:15,163,1.50
2021-04-12 21:36:20,159,0
2021-04-12 21:36:25,159,0
2021-04-12 21:36:30,162,0
2021-04-12 21:36:35,152,0
2021-04-12 21:36:40,166,0
2021-04-12 21:36:45,173,0
2021-04-12 21:36:50,145,0
2021-04-12 21:36:55,149,0
2021-04-12 21:37:00,151,0
2021-04-12 21:37:05,139,0
2021-04-12 21:37:10,119,0
2021-04-12 21:37:15,129,0
2021-04-12 21:37:20,167,0
2021-04-12 21:37:25,160,0
2021-04-12 21:37:30,165,0
2021-04-12 21:37:35,170,0
2021-04-12 21:37:40,175,0
2021-04-12 21:37:45,179,0
2021-04-12 21:37:50,179,0
2021-04-12 21:37:55,178,0
2021-04-12 21:38:00,176,0
2021-04-12 21:38:05,176,0
2021-04-12 21:38:10,177,0
2021-04-12 21:38:15,181,0
2021-04-12 21:38:20,187,0
2021-04-12 21:38:25,153,0
2021-04-12 21:38:30,135,0
2021-04-12 21:38:35,145,0
2021-04-12 21:38:40,178,0
2021-04-12 21:38:45,177,0
2021-04-12 21:38:50,181,0
2021-04-12 21:38:55,181,0
2021-04-12 21:39:00,178,0
2021-04-12 21:39:05,186,0
2021-04-12 21:39:10,183,0
2021-04-12 21:39:15,184,0.500
2021-04-12 21:39:20,199,0.500
2021-04-12 21:39:25,181,14.6
2021-04-12 21:39:30,172,14.6
2021-04-12 21:39:35,185,0
2021-04-12 21:39:40,186,0
2021-04-12 21:39:45,178,0
2021-04-12 21:39:50,187,0
2021-04-12 21:39:55,182,0
2021-04-12 21:40:00,180,0
2021-04-12 21:40:05,181,0
2021-04-12 21:40:10,170,0
2021-04-12 21:40:15,177,0
2021-04-12 21:40:20,191,0
2021-04-12 21:40:25,181,0
2021-04-12 21:40:30,183,0
2021-04-12 21:40:35,178,0
2021-04-12 21:40:40,182,0
2021-04-12 21:40:45,191,0
2021-04-12 21:40:50,189,0
2021-04-12 21:40:55,184,0
2021-04-12 21:41:00,178,0
2021-04-12 21:41:05,179,0
2021-04-12 21:41:10,188,0
2021-04-12 21:41:15,191,0
2021-04-12 21:41:20,189,0
2021-04-12 21:41:25,188,0
2021-04-12 21:41:30,187,0
2021-04-12 21:41:35,182,0
2021-04-12 21:41:40,186,0
2021-04-12 21:41:45,190,0
2021-04-12 21:41:50,183,0
2021-04-12 21:41:55,166,0
2021-04-12 21:42:00,163,0
2021-04-12 21:42:05,173,0
2021-04-12 21:42:10,188,0
2021-04-12 21:42:15,191,0
2021-04-12 21:42:20,192,0
2021-04-12 21:42:25,199,0
2021-04-12 21:42:30,212,0
2021-04-12 21:42:35,203,24.5
2021-04-12 21:42:40,206,36.3
2021-04-12 21:42:45,221,31.6
2021-04-12 21:42:50,210,0.400
2021-04-12 21:42:55,219,0.400
2021-04-12 21:43:00,207,0
2021-04-12 21:43:05,205,0
2021-04-12 21:43:10,212,0
2021-04-12 21:43:15,213,0
2021-04-12 21:43:20,212,0
2021-04-12 21:43:25,211,0
2021-04-12 21:43:30,212,0
2021-04-12 21:43:35,213,0
2021-04-12 21:43:40,200,0
2021-04-12 21:43:45,203,0
2021-04-12 21:43:50,210,0
2021-04-12 21:43:55,206,0
2021-04-12 21:44:00,199,0
2021-04-12 21:44:05,198,0
2021-04-12 21:44:10,205,0
2021-04-12 21:44:15,208,0
2021-04-12 21:44:20,203,0
2021-04-12 21:44:25,203,0
2021-04-12 21:44:30,200,0
2021-04-12 21:44:35,198,0
2021-04-12 21:44:40,201,0
2021-04-12 21:44:45,204,0
2021-04-12 21:44:50,206,0
2021-04-12 21:44:55,208,0
2021-04-12 21:45:00,206,0
2021-04-12 21:45:05,204,0
2021-04-12 21:45:10,207,0
2021-04-12 21:45:15,200,0
2021-04-12 21:45:20,190,0
2021-04-12 21:45:25,213,0
2021-04-12 21:45:30,205,0
2021-04-12 21:45:35,192,0
2021-04-12 21:45:40,194,0
2021-04-12 21:45:45,202,0
2021-04-12 21:45:50,212,0
2021-04-12 21:45:55,210,3.60
2021-04-12 21:46:00,211,31.2
2021-04-12 21:46:05,212,35.4
2021-04-12 21:46:10,212,47.2
