"Time","Requests","Fail"
2021-03-08 14:59:55,0,0
2021-03-08 15:00:00,0,0
2021-03-08 15:00:05,0,0
2021-03-08 15:00:10,0,0
2021-03-08 15:00:15,0,0
2021-03-08 15:00:20,1.9,0
2021-03-08 15:00:25,2.1,0
2021-03-08 15:00:30,4,0
2021-03-08 15:00:35,5.7,0
2021-03-08 15:00:40,6,0
2021-03-08 15:00:45,7.1,0
2021-03-08 15:00:50,8.2,0
2021-03-08 15:00:55,9.7,0
2021-03-08 15:01:00,11,0
2021-03-08 15:01:05,11,0
2021-03-08 15:01:10,12,0
2021-03-08 15:01:15,13,0
2021-03-08 15:01:20,13,0
2021-03-08 15:01:25,15,0
2021-03-08 15:01:30,17,0
2021-03-08 15:01:35,16,0
2021-03-08 15:01:40,16,0
2021-03-08 15:01:45,19,0
2021-03-08 15:01:50,19,0
2021-03-08 15:01:55,18,0
2021-03-08 15:02:00,16,0
2021-03-08 15:02:05,16,0
2021-03-08 15:02:10,18,0
2021-03-08 15:02:15,22,0
2021-03-08 15:02:20,21,0
2021-03-08 15:02:25,21,0
2021-03-08 15:02:30,23,0
2021-03-08 15:02:35,24,0
2021-03-08 15:02:40,20,0
2021-03-08 15:02:45,24,0
2021-03-08 15:02:50,25,0
2021-03-08 15:02:55,24,0
2021-03-08 15:03:00,24,0
2021-03-08 15:03:05,23,0
2021-03-08 15:03:10,24,0
2021-03-08 15:03:15,28,0
2021-03-08 15:03:20,27,0
2021-03-08 15:03:25,25,0
2021-03-08 15:03:30,25,0
2021-03-08 15:03:35,27,0
2021-03-08 15:03:40,25,0
2021-03-08 15:03:45,27,0
2021-03-08 15:03:50,28,0
2021-03-08 15:03:55,27,0
2021-03-08 15:04:00,27,0
2021-03-08 15:04:05,32,0
2021-03-08 15:04:10,25,0
2021-03-08 15:04:15,33,0
2021-03-08 15:04:20,31,0
2021-03-08 15:04:25,24,0
2021-03-08 15:04:30,27,0
2021-03-08 15:04:35,23,0
2021-03-08 15:04:40,26,0
2021-03-08 15:04:45,30,0
2021-03-08 15:04:50,30,0
2021-03-08 15:04:55,27,0
2021-03-08 15:05:00,31,0
2021-03-08 15:05:05,29,0
2021-03-08 15:05:10,28,0
2021-03-08 15:05:15,42,19
2021-03-08 15:05:20,27,20
2021-03-08 15:05:25,1,1
2021-03-08 15:05:30,1.1,1.1
2021-03-08 15:05:35,6.5,0.90
2021-03-08 15:05:40,26,0.20
2021-03-08 15:05:45,34,0
2021-03-08 15:05:50,36,0
2021-03-08 15:05:55,36,0
2021-03-08 15:06:00,37,0
2021-03-08 15:06:05,34,0
2021-03-08 15:06:10,32,0
2021-03-08 15:06:15,33,0
2021-03-08 15:06:20,34,0
2021-03-08 15:06:25,31,0
2021-03-08 15:06:30,32,0
2021-03-08 15:06:35,31,0
2021-03-08 15:06:40,32,0
2021-03-08 15:06:45,34,0
2021-03-08 15:06:50,34,0
2021-03-08 15:06:55,32,0
2021-03-08 15:07:00,33,0
2021-03-08 15:07:05,33,0
2021-03-08 15:07:10,31,0
2021-03-08 15:07:15,33,0
2021-03-08 15:07:20,33,0
2021-03-08 15:07:25,32,0
2021-03-08 15:07:30,32,0
2021-03-08 15:07:35,31,0
2021-03-08 15:07:40,33,0
2021-03-08 15:07:45,33,0
2021-03-08 15:07:50,33,0
2021-03-08 15:07:55,32,0
2021-03-08 15:08:00,32,0
