"Time","requests","fail"
2021-04-28 12:58:35,0,0
2021-04-28 12:58:40,0,0
2021-04-28 12:58:45,0,0
2021-04-28 12:58:50,0.750,0
2021-04-28 12:58:55,1.63,0
2021-04-28 12:59:00,2.70,0
2021-04-28 12:59:05,2.90,0
2021-04-28 12:59:10,4.10,0
2021-04-28 12:59:15,4.60,0
2021-04-28 12:59:20,7.30,0
2021-04-28 12:59:25,8.20,0
2021-04-28 12:59:30,8.30,0
2021-04-28 12:59:35,9.50,0
2021-04-28 12:59:40,10.6,0
2021-04-28 12:59:45,12.5,0
2021-04-28 12:59:50,13.7,0
2021-04-28 12:59:55,13.5,0
2021-04-28 13:00:00,13.4,0
2021-04-28 13:00:05,16,0
2021-04-28 13:00:10,19.9,0
2021-04-28 13:00:15,21.4,0
2021-04-28 13:00:20,20.8,0
2021-04-28 13:00:25,22.5,0
2021-04-28 13:00:30,24.3,0
2021-04-28 13:00:35,26.8,0
2021-04-28 13:00:40,26.8,0
2021-04-28 13:00:45,26,0
2021-04-28 13:00:50,25.6,0
2021-04-28 13:00:55,25.2,0
2021-04-28 13:01:00,27.9,0
2021-04-28 13:01:05,28.9,0
2021-04-28 13:01:10,30.3,0
2021-04-28 13:01:15,29.5,0
2021-04-28 13:01:20,33.5,0
2021-04-28 13:01:25,36,0
2021-04-28 13:01:30,35.9,0
2021-04-28 13:01:35,36.4,0
2021-04-28 13:01:40,37.4,0
2021-04-28 13:01:45,37.3,0
2021-04-28 13:01:50,35.9,0
2021-04-28 13:01:55,40.7,0
2021-04-28 13:02:00,39.7,0
2021-04-28 13:02:05,42.8,0
2021-04-28 13:02:10,45.5,0
2021-04-28 13:02:15,45.3,0
2021-04-28 13:02:20,45.5,0
2021-04-28 13:02:25,47.7,0
2021-04-28 13:02:30,50.8,0
2021-04-28 13:02:35,50.9,0
2021-04-28 13:02:40,51.4,0
2021-04-28 13:02:45,54.2,0
2021-04-28 13:02:50,53.1,0
2021-04-28 13:02:55,50.8,0
2021-04-28 13:03:00,55.3,0
2021-04-28 13:03:05,58.4,0
2021-04-28 13:03:10,59,0
2021-04-28 13:03:15,58.8,0
2021-04-28 13:03:20,60.8,0
2021-04-28 13:03:25,62.1,0
2021-04-28 13:03:30,63.7,0
2021-04-28 13:03:35,63.3,0
2021-04-28 13:03:40,64,0
2021-04-28 13:03:45,64,0
2021-04-28 13:03:50,65.2,0
2021-04-28 13:03:55,66.6,0
2021-04-28 13:04:00,63.6,0
2021-04-28 13:04:05,66.8,0
2021-04-28 13:04:10,71.8,0
2021-04-28 13:04:15,73.9,0
2021-04-28 13:04:20,74.3,0
2021-04-28 13:04:25,74,0
2021-04-28 13:04:30,75.9,0
2021-04-28 13:04:35,77.6,0
2021-04-28 13:04:40,76,0
2021-04-28 13:04:45,78.8,0
2021-04-28 13:04:50,77,0
2021-04-28 13:04:55,77.5,0
2021-04-28 13:05:00,79.6,0
2021-04-28 13:05:05,83.3,0
2021-04-28 13:05:10,85.7,0
2021-04-28 13:05:15,86.7,0
2021-04-28 13:05:20,85.4,0
2021-04-28 13:05:25,86.9,0
2021-04-28 13:05:30,89.9,0
