"Time","requests","fail"
2021-04-28 14:23:55,0,0
2021-04-28 14:24:00,0,0
2021-04-28 14:24:05,0,0
2021-04-28 14:24:10,0.750,0
2021-04-28 14:24:15,1.38,0
2021-04-28 14:24:20,2.50,0
2021-04-28 14:24:25,2.90,0
2021-04-28 14:24:30,4.10,0
2021-04-28 14:24:35,5.60,0
2021-04-28 14:24:40,7.30,0
2021-04-28 14:24:45,7.70,0
2021-04-28 14:24:50,9.20,0
2021-04-28 14:24:55,9.80,0
2021-04-28 14:25:00,10.1,0
2021-04-28 14:25:05,13.4,0
2021-04-28 14:25:10,14.9,0
2021-04-28 14:25:15,14.3,0
2021-04-28 14:25:20,15.2,0
2021-04-28 14:25:25,16.1,0
2021-04-28 14:25:30,17.9,0
2021-04-28 14:25:35,21.9,0
2021-04-28 14:25:40,21.8,0
2021-04-28 14:25:45,21.7,0
2021-04-28 14:25:50,21,0
2021-04-28 14:25:55,21.7,0
2021-04-28 14:26:00,24.3,0
2021-04-28 14:26:05,24.6,0
2021-04-28 14:26:10,26.6,0
2021-04-28 14:26:15,27,0
2021-04-28 14:26:20,26.3,0
2021-04-28 14:26:25,27.9,0
2021-04-28 14:26:30,27.6,0
2021-04-28 14:26:35,30.5,0
2021-04-28 14:26:40,36.3,0
2021-04-28 14:26:45,34.4,0
2021-04-28 14:26:50,34.9,0
2021-04-28 14:26:55,35.7,0
2021-04-28 14:27:00,36.5,0
2021-04-28 14:27:05,40.5,0
2021-04-28 14:27:10,40.1,0
2021-04-28 14:27:15,38.6,0
2021-04-28 14:27:20,38.8,0
2021-04-28 14:27:25,42.2,0
2021-04-28 14:27:30,42.3,0
2021-04-28 14:27:35,45.2,0
2021-04-28 14:27:40,45.6,0
2021-04-28 14:27:45,43.7,0
2021-04-28 14:27:50,44.3,0
2021-04-28 14:27:55,42.9,0
2021-04-28 14:28:00,48.5,0
2021-04-28 14:28:05,54.4,0
2021-04-28 14:28:10,51.2,0
2021-04-28 14:28:15,49.6,0
2021-04-28 14:28:20,53.2,0
2021-04-28 14:28:25,52.6,0
2021-04-28 14:28:30,56.3,0
2021-04-28 14:28:35,58.6,0
2021-04-28 14:28:40,58.5,0
2021-04-28 14:28:45,59.4,0
2021-04-28 14:28:50,60.1,0
2021-04-28 14:28:55,62,0
2021-04-28 14:29:00,59.3,0
2021-04-28 14:29:05,66.8,0
2021-04-28 14:29:10,63.8,0
2021-04-28 14:29:15,62.1,0
2021-04-28 14:29:20,65.6,0
2021-04-28 14:29:25,69.9,0
2021-04-28 14:29:30,69.9,0
2021-04-28 14:29:35,62.4,0
2021-04-28 14:29:40,67.6,0
2021-04-28 14:29:45,79,0
2021-04-28 14:29:50,72.6,0
2021-04-28 14:29:55,74.5,0
2021-04-28 14:30:00,75.6,0
2021-04-28 14:30:05,77.3,0
2021-04-28 14:30:10,79.1,0
2021-04-28 14:30:15,79.7,0
2021-04-28 14:30:20,82.3,0
2021-04-28 14:30:25,82.8,0
2021-04-28 14:30:30,81.8,0
2021-04-28 14:30:35,80,0
2021-04-28 14:30:40,84.2,0
2021-04-28 14:30:45,88.2,0
2021-04-28 14:30:50,86.1,0
2021-04-28 14:30:55,89.3,0
2021-04-28 14:31:00,91.2,0
2021-04-28 14:31:05,89.9,0
2021-04-28 14:31:10,92.3,0
2021-04-28 14:31:15,94.2,0
2021-04-28 14:31:20,93.8,0
2021-04-28 14:31:25,92.4,0
2021-04-28 14:31:30,94.8,0
2021-04-28 14:31:35,88.7,0
2021-04-28 14:31:40,97.3,0
2021-04-28 14:31:45,103,0
2021-04-28 14:31:50,99.9,0
2021-04-28 14:31:55,99,0
2021-04-28 14:32:00,101,0
2021-04-28 14:32:05,104,0
2021-04-28 14:32:10,105,0
2021-04-28 14:32:15,106,0
2021-04-28 14:32:20,106,0
2021-04-28 14:32:25,108,0
2021-04-28 14:32:30,108,0
2021-04-28 14:32:35,109,0
2021-04-28 14:32:40,113,0
2021-04-28 14:32:45,111,0
2021-04-28 14:32:50,111,0
2021-04-28 14:32:55,114,0
2021-04-28 14:33:00,113,0
2021-04-28 14:33:05,116,0
2021-04-28 14:33:10,119,0
2021-04-28 14:33:15,112,0
2021-04-28 14:33:20,108,0
2021-04-28 14:33:25,123,0
2021-04-28 14:33:30,121,0
2021-04-28 14:33:35,124,0
2021-04-28 14:33:40,121,0
2021-04-28 14:33:45,117,0
2021-04-28 14:33:50,122,0
2021-04-28 14:33:55,126,0
2021-04-28 14:34:00,127,0
2021-04-28 14:34:05,126,0
2021-04-28 14:34:10,134,0
2021-04-28 14:34:15,135,0
2021-04-28 14:34:20,132,0
2021-04-28 14:34:25,134,0
2021-04-28 14:34:30,136,0
2021-04-28 14:34:35,135,0
2021-04-28 14:34:40,135,0
2021-04-28 14:34:45,136,0
2021-04-28 14:34:50,138,0
2021-04-28 14:34:55,140,0
2021-04-28 14:35:00,137,0
2021-04-28 14:35:05,135,0
2021-04-28 14:35:10,141,0
2021-04-28 14:35:15,141,0
2021-04-28 14:35:20,137,0
2021-04-28 14:35:25,138,0
2021-04-28 14:35:30,140,0
2021-04-28 14:35:35,143,0
2021-04-28 14:35:40,143,0
2021-04-28 14:35:45,137,0
2021-04-28 14:35:50,144,0
2021-04-28 14:35:55,154,0
2021-04-28 14:36:00,148,0
2021-04-28 14:36:05,152,0
2021-04-28 14:36:10,157,0
2021-04-28 14:36:15,137,0
2021-04-28 14:36:20,141,0
2021-04-28 14:36:25,163,0
2021-04-28 14:36:30,142,0
2021-04-28 14:36:35,146,0
2021-04-28 14:36:40,160,0
2021-04-28 14:36:45,158,0
2021-04-28 14:36:50,161,0
2021-04-28 14:36:55,161,0
2021-04-28 14:37:00,163,0
2021-04-28 14:37:05,167,0
2021-04-28 14:37:10,162,0
2021-04-28 14:37:15,163,0
2021-04-28 14:37:20,168,0
2021-04-28 14:37:25,142,0
2021-04-28 14:37:30,144,0
2021-04-28 14:37:35,161,0
2021-04-28 14:37:40,165,0
2021-04-28 14:37:45,170,0
2021-04-28 14:37:50,168,0
2021-04-28 14:37:55,167,0
2021-04-28 14:38:00,167,0
2021-04-28 14:38:05,171,0
2021-04-28 14:38:10,168,0
2021-04-28 14:38:15,166,0
2021-04-28 14:38:20,167,0
2021-04-28 14:38:25,168,0
2021-04-28 14:38:30,169,0
2021-04-28 14:38:35,169,0
2021-04-28 14:38:40,170,0
2021-04-28 14:38:45,156,0
2021-04-28 14:38:50,160,0
2021-04-28 14:38:55,172,0
2021-04-28 14:39:00,171,0
2021-04-28 14:39:05,163,0
2021-04-28 14:39:10,158,0
2021-04-28 14:39:15,177,0
2021-04-28 14:39:20,173,0
2021-04-28 14:39:25,173,0
2021-04-28 14:39:30,174,0
2021-04-28 14:39:35,174,0
2021-04-28 14:39:40,175,0
2021-04-28 14:39:45,178,0
2021-04-28 14:39:50,177,0
2021-04-28 14:39:55,174,0
2021-04-28 14:40:00,176,0
2021-04-28 14:40:05,173,0
2021-04-28 14:40:10,172,0
2021-04-28 14:40:15,195,15
2021-04-28 14:40:20,202,15
2021-04-28 14:40:25,199,0
2021-04-28 14:40:30,197,0
2021-04-28 14:40:35,195,0
2021-04-28 14:40:40,199,0
2021-04-28 14:40:45,201,0
2021-04-28 14:40:50,218,0
2021-04-28 14:40:55,211,0
2021-04-28 14:41:00,203,0
2021-04-28 14:41:05,204,0
2021-04-28 14:41:10,196,0
2021-04-28 14:41:15,204,0
2021-04-28 14:41:20,221,0
2021-04-28 14:41:25,205,0
2021-04-28 14:41:30,200,0
2021-04-28 14:41:35,202,0
2021-04-28 14:41:40,198,0
2021-04-28 14:41:45,201,0
2021-04-28 14:41:50,208,0
2021-04-28 14:41:55,204,0
2021-04-28 14:42:00,192,0
2021-04-28 14:42:05,193,0
2021-04-28 14:42:10,181,0
2021-04-28 14:42:15,203,0
2021-04-28 14:42:20,217,0
2021-04-28 14:42:25,202,0
2021-04-28 14:42:30,196,0
2021-04-28 14:42:35,201,0
2021-04-28 14:42:40,202,0
2021-04-28 14:42:45,204,0
2021-04-28 14:42:50,207,0
2021-04-28 14:42:55,175,0
2021-04-28 14:43:00,189,0
2021-04-28 14:43:05,198,0
2021-04-28 14:43:10,198,0
2021-04-28 14:43:15,208,6
2021-04-28 14:43:20,208,6.40
2021-04-28 14:43:25,198,0.400
2021-04-28 14:43:30,198,0
2021-04-28 14:43:35,196,0
2021-04-28 14:43:40,193,0
2021-04-28 14:43:45,194,0
2021-04-28 14:43:50,198,0
2021-04-28 14:43:55,197,0
2021-04-28 14:44:00,195,0
2021-04-28 14:44:05,197,0
2021-04-28 14:44:10,194,0
2021-04-28 14:44:15,194,0
2021-04-28 14:44:20,192,0
2021-04-28 14:44:25,199,0
2021-04-28 14:44:30,201,0
2021-04-28 14:44:35,198,0
2021-04-28 14:44:40,195,0
2021-04-28 14:44:45,192,0
2021-04-28 14:44:50,192,0
2021-04-28 14:44:55,196,0
2021-04-28 14:45:00,197,0
2021-04-28 14:45:05,195,0
2021-04-28 14:45:10,197,0
