"Time","requests","limits","exponential","usage"
2021-04-29 13:25:55,,,0,0.0230
2021-04-29 13:26:00,,,0,0.0230
2021-04-29 13:26:05,,,0,0.0230
2021-04-29 13:26:10,,,0,0.0230
2021-04-29 13:26:15,,,0,0.0230
2021-04-29 13:26:20,,,0,0.0230
2021-04-29 13:26:25,,,0,0.0271
2021-04-29 13:26:30,,,0,0.0271
2021-04-29 13:26:35,,,0,0.0271
2021-04-29 13:26:40,,,0,0.0271
2021-04-29 13:26:45,,,0,0.0271
2021-04-29 13:26:50,,,0,0.0271
2021-04-29 13:26:55,,,0,0.0320
2021-04-29 13:27:00,,,0,0.0320
2021-04-29 13:27:05,,,0,0.0320
2021-04-29 13:27:10,,,0,0.0320
2021-04-29 13:27:15,,,0,0.0320
2021-04-29 13:27:20,,,0,0.0320
2021-04-29 13:27:25,,,0,0.0529
2021-04-29 13:27:30,,,0,0.0529
2021-04-29 13:27:35,,,0,0.0529
2021-04-29 13:27:40,,,0,0.0529
2021-04-29 13:27:45,,,0,0.0529
2021-04-29 13:27:50,,,0,0.0529
2021-04-29 13:27:55,,,0,0.0770
2021-04-29 13:28:00,,,0.111,0.0770
2021-04-29 13:28:05,,,0.111,0.0770
2021-04-29 13:28:10,,,0.111,0.0770
2021-04-29 13:28:15,,,0.111,0.0770
2021-04-29 13:28:20,,,0.111,0.0770
2021-04-29 13:28:25,,,0.111,0.118
2021-04-29 13:28:30,,,0.111,0.118
2021-04-29 13:28:35,,,0.111,0.118
2021-04-29 13:28:40,,,0.111,0.118
2021-04-29 13:28:45,,,0.111,0.118
2021-04-29 13:28:50,,,0.111,0.118
2021-04-29 13:28:55,,,0.111,0.166
2021-04-29 13:29:00,,,0.111,0.166
2021-04-29 13:29:05,,,0.111,0.166
2021-04-29 13:29:10,,,0.111,0.166
2021-04-29 13:29:15,,,0.111,0.166
2021-04-29 13:29:20,,,0.111,0.166
2021-04-29 13:29:25,,,0.111,0.225
2021-04-29 13:29:30,,,0.111,0.225
2021-04-29 13:29:35,,,0.111,0.225
2021-04-29 13:29:40,,,0.111,0.225
2021-04-29 13:29:45,,,0.111,0.225
2021-04-29 13:29:50,,,0.111,0.225
2021-04-29 13:29:55,,,0.111,0.286
2021-04-29 13:30:00,,,0.111,0.286
2021-04-29 13:30:05,,,0.111,0.286
2021-04-29 13:30:10,,,0.111,0.286
2021-04-29 13:30:15,,,0.111,0.286
2021-04-29 13:30:20,,,0.111,0.286
2021-04-29 13:30:25,,,0.111,0.346
2021-04-29 13:30:30,,,0.111,0.346
2021-04-29 13:30:35,,,0.111,0.346
2021-04-29 13:30:40,,,0.111,0.346
2021-04-29 13:30:45,,,0.111,0.346
2021-04-29 13:30:50,,,0.111,0.346
2021-04-29 13:30:55,,,0.111,0.425
2021-04-29 13:31:00,,,0.469,0.425
2021-04-29 13:31:05,,,0.469,0.425
2021-04-29 13:31:10,,,0.469,0.425
2021-04-29 13:31:15,,,0.469,0.425
2021-04-29 13:31:20,,,0.469,0.425
2021-04-29 13:31:25,,,0.469,0.513
2021-04-29 13:31:30,,,0.469,0.513
2021-04-29 13:31:35,,,0.469,0.513
2021-04-29 13:31:40,,,0.469,0.513
2021-04-29 13:31:45,,,0.469,0.513
2021-04-29 13:31:50,,,0.469,0.513
2021-04-29 13:31:55,,,0.469,0.579
2021-04-29 13:32:00,,,0.469,0.579
2021-04-29 13:32:05,,,0.469,0.579
2021-04-29 13:32:10,,,0.469,0.579
2021-04-29 13:32:15,,,0.469,0.579
2021-04-29 13:32:20,,,0.469,0.579
2021-04-29 13:32:25,,,0.469,0.669
2021-04-29 13:32:30,,,0.469,0.669
2021-04-29 13:32:35,,,0.469,0.669
2021-04-29 13:32:40,,,0.469,0.669
2021-04-29 13:32:45,,,0.469,0.669
2021-04-29 13:32:50,,,0.469,0.669
2021-04-29 13:32:55,,,0.469,0.764
2021-04-29 13:33:00,,,0.469,0.764
2021-04-29 13:33:05,,,0.469,0.764
2021-04-29 13:33:10,,,0.469,0.764
2021-04-29 13:33:15,,,0.469,0.764
2021-04-29 13:33:20,,,0.469,0.764
2021-04-29 13:33:25,,,0.469,0.829
2021-04-29 13:33:30,,,0.469,0.829
2021-04-29 13:33:35,,,0.469,0.829
2021-04-29 13:33:40,,,0.469,0.829
2021-04-29 13:33:45,,,0.469,0.829
2021-04-29 13:33:50,,,0.469,0.829
2021-04-29 13:33:55,,,0.469,0.897
2021-04-29 13:34:00,,,1.11,0.897
2021-04-29 13:34:05,,,1.11,0.897
2021-04-29 13:34:10,,,1.11,0.897
2021-04-29 13:34:15,,,1.11,0.897
2021-04-29 13:34:20,,,1.11,0.897
2021-04-29 13:34:25,,,1.11,0.964
2021-04-29 13:34:30,,,1.11,0.964
2021-04-29 13:34:35,,,1.11,0.964
2021-04-29 13:34:40,,,1.11,0.964
2021-04-29 13:34:45,,,1.11,0.964
2021-04-29 13:34:50,,,1.11,0.964
2021-04-29 13:34:55,,,1.11,1.04
2021-04-29 13:35:00,,,1.11,1.04
2021-04-29 13:35:05,,,1.11,1.04
2021-04-29 13:35:10,,,1.11,1.04
2021-04-29 13:35:15,,,1.11,1.04
2021-04-29 13:35:20,,,1.11,1.04
2021-04-29 13:35:25,,,1.11,1.09
2021-04-29 13:35:30,,,1.11,1.09
2021-04-29 13:35:35,,,1.11,1.09
2021-04-29 13:35:40,,,1.11,1.09
2021-04-29 13:35:45,,,1.11,1.09
2021-04-29 13:35:50,,,1.11,1.09
2021-04-29 13:35:55,,,1.11,1.13
2021-04-29 13:36:00,,,1.11,1.13
2021-04-29 13:36:05,,,1.11,1.13
2021-04-29 13:36:10,,,1.11,1.13
2021-04-29 13:36:15,,,1.11,1.13
2021-04-29 13:36:20,,,1.11,1.13
2021-04-29 13:36:25,,,1.11,1.22
2021-04-29 13:36:30,,,1.11,1.22
2021-04-29 13:36:35,,,1.11,1.22
2021-04-29 13:36:40,,,1.11,1.22
2021-04-29 13:36:45,,,1.11,1.22
2021-04-29 13:36:50,,,1.11,1.22
2021-04-29 13:36:55,,,1.11,1.28
2021-04-29 13:37:00,,,1.64,1.28
2021-04-29 13:37:05,,,1.64,1.28
2021-04-29 13:37:10,,,1.64,1.28
2021-04-29 13:37:15,,,1.64,1.28
2021-04-29 13:37:20,,,1.64,1.28
2021-04-29 13:37:25,,,1.64,1.34
2021-04-29 13:37:30,,,1.64,1.34
2021-04-29 13:37:35,,,1.64,1.34
2021-04-29 13:37:40,,,1.64,1.34
2021-04-29 13:37:45,,,1.64,1.34
2021-04-29 13:37:50,,,1.64,1.34
2021-04-29 13:37:55,,,1.64,1.43
2021-04-29 13:38:00,,,1.64,1.43
2021-04-29 13:38:05,,,1.64,1.43
2021-04-29 13:38:10,,,1.64,1.43
2021-04-29 13:38:15,,,1.64,1.43
2021-04-29 13:38:20,,,1.64,1.43
2021-04-29 13:38:25,,,1.64,1.49
2021-04-29 13:38:30,,,1.64,1.49
2021-04-29 13:38:35,,,1.64,1.49
2021-04-29 13:38:40,,,1.64,1.49
2021-04-29 13:38:45,,,1.64,1.49
2021-04-29 13:38:50,,,1.64,1.49
2021-04-29 13:38:55,,,1.64,1.55
2021-04-29 13:39:00,,,1.64,1.55
2021-04-29 13:39:05,,,1.64,1.55
2021-04-29 13:39:10,,,1.64,1.55
2021-04-29 13:39:15,,,1.64,1.55
2021-04-29 13:39:20,,,1.64,1.55
2021-04-29 13:39:25,,,1.64,1.58
2021-04-29 13:39:30,,,1.64,1.58
2021-04-29 13:39:35,,,1.64,1.58
2021-04-29 13:39:40,,,1.64,1.58
2021-04-29 13:39:45,,,1.64,1.58
2021-04-29 13:39:50,,,1.64,1.58
2021-04-29 13:39:55,,,1.64,1.66
2021-04-29 13:40:00,,,2.11,1.66
2021-04-29 13:40:05,,,2.11,1.66
2021-04-29 13:40:10,,,2.11,1.66
2021-04-29 13:40:15,,,2.11,1.66
2021-04-29 13:40:20,,,2.11,1.66
2021-04-29 13:40:25,,,2.11,1.75
2021-04-29 13:40:30,,,2.11,1.75
2021-04-29 13:40:35,,,2.11,1.75
2021-04-29 13:40:40,,,2.11,1.75
2021-04-29 13:40:45,,,2.11,1.75
2021-04-29 13:40:50,,,2.11,1.75
2021-04-29 13:40:55,,,2.11,1.83
2021-04-29 13:41:00,,,2.11,1.83
2021-04-29 13:41:05,,,2.11,1.83
2021-04-29 13:41:10,,,2.11,1.83
2021-04-29 13:41:15,,,2.11,1.83
2021-04-29 13:41:20,,,2.11,1.83
2021-04-29 13:41:25,,,2.11,1.89
2021-04-29 13:41:30,,,2.11,1.89
2021-04-29 13:41:35,,,2.11,1.89
2021-04-29 13:41:40,,,2.11,1.89
2021-04-29 13:41:45,,,2.11,1.89
2021-04-29 13:41:50,,,2.11,1.89
2021-04-29 13:41:55,,,2.11,1.95
2021-04-29 13:42:00,,,2.11,1.95
2021-04-29 13:42:05,,,2.11,1.95
2021-04-29 13:42:10,,,2.11,1.95
2021-04-29 13:42:15,,,2.11,1.95
2021-04-29 13:42:20,,,2.11,1.95
2021-04-29 13:42:25,,,2.11,1.99
2021-04-29 13:42:30,,,2.11,1.99
2021-04-29 13:42:35,,,2.11,1.99
2021-04-29 13:42:40,,,2.11,1.99
2021-04-29 13:42:45,,,2.11,1.99
2021-04-29 13:42:50,,,2.11,1.99
2021-04-29 13:42:55,,,2.11,2.07
2021-04-29 13:43:00,,,2.61,2.07
2021-04-29 13:43:05,,,2.61,2.07
2021-04-29 13:43:10,,,2.61,2.07
2021-04-29 13:43:15,,,2.61,2.07
2021-04-29 13:43:20,,,2.61,2.07
2021-04-29 13:43:25,,,2.61,2.14
2021-04-29 13:43:30,,,2.61,2.14
2021-04-29 13:43:35,,,2.61,2.14
2021-04-29 13:43:40,,,2.61,2.14
2021-04-29 13:43:45,,,2.61,2.14
2021-04-29 13:43:50,,,2.61,2.14
2021-04-29 13:43:55,,,2.61,2.17
2021-04-29 13:44:00,,,2.61,2.17
2021-04-29 13:44:05,,,2.61,2.17
2021-04-29 13:44:10,,,2.61,2.17
2021-04-29 13:44:15,,,2.61,2.17
2021-04-29 13:44:20,,,2.61,2.17
2021-04-29 13:44:25,,,2.61,2.20
2021-04-29 13:44:30,,,2.61,2.20
2021-04-29 13:44:35,,,2.61,2.20
2021-04-29 13:44:40,,,2.61,2.20
2021-04-29 13:44:45,,,2.61,2.20
2021-04-29 13:44:50,,,2.61,2.20
2021-04-29 13:44:55,,,2.61,2.26
2021-04-29 13:45:00,,,2.61,2.26
2021-04-29 13:45:05,,,2.61,2.26
2021-04-29 13:45:10,,,2.61,2.26
2021-04-29 13:45:15,,,2.61,2.26
2021-04-29 13:45:20,,,2.61,2.26
2021-04-29 13:45:25,,,2.61,2.32
2021-04-29 13:45:30,,,2.61,2.32
2021-04-29 13:45:35,,,2.61,2.32
2021-04-29 13:45:40,,,2.61,2.32
2021-04-29 13:45:45,,,2.61,2.32
2021-04-29 13:45:50,,,2.61,2.32
2021-04-29 13:45:55,,,2.61,2.31
2021-04-29 13:46:00,,,2.99,2.31
2021-04-29 13:46:05,,,2.99,2.31
2021-04-29 13:46:10,,,2.99,2.31
2021-04-29 13:46:15,,,2.99,2.31
2021-04-29 13:46:20,,,2.99,2.31
2021-04-29 13:46:25,,,2.99,2.31
2021-04-29 13:46:30,,,2.99,2.31
2021-04-29 13:46:35,,,2.99,2.31
2021-04-29 13:46:40,,,2.99,2.31
2021-04-29 13:46:45,,,2.99,2.31
2021-04-29 13:46:50,,,2.99,2.31
2021-04-29 13:46:55,,,2.99,2.36
2021-04-29 13:47:00,,,2.99,2.36
2021-04-29 13:47:05,,,2.99,2.36
2021-04-29 13:47:10,,,2.99,2.36
2021-04-29 13:47:15,,,2.99,2.36
2021-04-29 13:47:20,,,2.99,2.36
2021-04-29 13:47:25,,,2.99,2.34
2021-04-29 13:47:30,,,2.99,2.34
2021-04-29 13:47:35,,,2.99,2.34
2021-04-29 13:47:40,,,2.99,2.34
2021-04-29 13:47:45,,,2.99,2.34
2021-04-29 13:47:50,,,2.99,2.34
2021-04-29 13:47:55,,,2.99,2.36
2021-04-29 13:48:00,,,2.99,2.36
2021-04-29 13:48:05,,,2.99,2.36
2021-04-29 13:48:10,,,2.99,2.36
2021-04-29 13:48:15,,,2.99,2.36
2021-04-29 13:48:20,,,2.99,2.36
2021-04-29 13:48:25,,,2.99,2.42
2021-04-29 13:48:30,,,2.99,2.42
2021-04-29 13:48:35,,,2.99,2.42
2021-04-29 13:48:40,,,2.99,2.42
2021-04-29 13:48:45,,,2.99,2.42
2021-04-29 13:48:50,,,2.99,2.42
2021-04-29 13:48:55,,,2.99,2.45
2021-04-29 13:49:00,,,3.21,2.45
2021-04-29 13:49:05,,,3.21,2.45
2021-04-29 13:49:10,,,3.21,2.45
2021-04-29 13:49:15,,,3.21,2.45
2021-04-29 13:49:20,,,3.21,2.45
2021-04-29 13:49:25,,,3.21,2.38
2021-04-29 13:49:30,,,3.21,2.38
2021-04-29 13:49:35,,,3.21,2.38
2021-04-29 13:49:40,,,3.21,2.38
2021-04-29 13:49:45,,,3.21,2.38
2021-04-29 13:49:50,,,3.21,2.38
2021-04-29 13:49:55,,,3.21,2.33
2021-04-29 13:50:00,,,3.21,2.33
2021-04-29 13:50:05,,,3.21,2.33
2021-04-29 13:50:10,,,3.21,2.33
2021-04-29 13:50:15,,,3.21,2.33
2021-04-29 13:50:20,,,3.21,2.33
2021-04-29 13:50:25,,,3.21,2.41
2021-04-29 13:50:30,,,3.21,2.41
2021-04-29 13:50:35,,,3.21,2.41
2021-04-29 13:50:40,,,3.21,2.41
2021-04-29 13:50:45,,,3.21,2.41
2021-04-29 13:50:50,,,3.21,2.41
2021-04-29 13:50:55,,,3.21,2.42
2021-04-29 13:51:00,,,3.21,2.42
2021-04-29 13:51:05,,,3.21,2.42
2021-04-29 13:51:10,,,3.21,2.42
2021-04-29 13:51:15,,,3.21,2.42
2021-04-29 13:51:20,,,3.21,2.42
2021-04-29 13:51:25,,,3.21,2.38
2021-04-29 13:51:30,,,3.21,2.38
2021-04-29 13:51:35,,,3.21,2.38
2021-04-29 13:51:40,,,3.21,2.38
2021-04-29 13:51:45,,,3.21,2.38
2021-04-29 13:51:50,,,3.21,2.38
2021-04-29 13:51:55,,,3.21,2.41
2021-04-29 13:52:00,,,3.18,2.41
2021-04-29 13:52:05,,,3.18,2.41
2021-04-29 13:52:10,,,3.18,2.41
2021-04-29 13:52:15,,,3.18,2.41
2021-04-29 13:52:20,3.23,5.48,3.18,2.41
2021-04-29 13:52:25,3.23,5.48,3.18,0.484
2021-04-29 13:52:30,3.23,5.48,3.18,0.484
2021-04-29 13:52:35,3.23,5.48,3.18,0.484
2021-04-29 13:52:40,3.23,5.48,3.18,0.484
2021-04-29 13:52:45,3.23,5.48,3.18,0.484
2021-04-29 13:52:50,3.23,5.48,3.18,0.484
2021-04-29 13:52:55,3.23,5.48,3.18,0.208
2021-04-29 13:53:00,3.23,5.48,3.18,0.208
2021-04-29 13:53:05,3.23,5.48,3.18,0.208
2021-04-29 13:53:10,3.23,5.48,3.18,0.208
2021-04-29 13:53:15,3.23,5.48,3.18,0.208
2021-04-29 13:53:20,3.23,5.48,3.18,0.208
2021-04-29 13:53:25,3.23,5.48,3.18,0.554
2021-04-29 13:53:30,3.23,5.48,3.18,0.554
2021-04-29 13:53:35,3.23,5.48,3.18,0.554
2021-04-29 13:53:40,3.23,5.48,3.18,0.554
2021-04-29 13:53:45,3.23,5.48,3.18,0.554
2021-04-29 13:53:50,3.23,5.48,3.18,0.554
2021-04-29 13:53:55,3.23,5.48,3.18,0.805
2021-04-29 13:54:00,3.23,5.48,3.18,0.805
2021-04-29 13:54:05,3.23,5.48,3.18,0.805
2021-04-29 13:54:10,3.23,5.48,3.18,0.805
2021-04-29 13:54:15,3.23,5.48,3.18,0.805
2021-04-29 13:54:20,3.23,5.48,3.18,0.805
2021-04-29 13:54:25,3.23,5.48,3.18,1.08
2021-04-29 13:54:30,3.23,5.48,3.18,1.08
2021-04-29 13:54:35,3.23,5.48,3.18,1.08
2021-04-29 13:54:40,3.23,5.48,3.18,1.08
2021-04-29 13:54:45,3.23,5.48,3.18,1.08
2021-04-29 13:54:50,3.23,5.48,3.18,1.08
2021-04-29 13:54:55,3.23,5.48,3.18,1.42
2021-04-29 13:55:00,3.23,5.48,2.78,1.42
2021-04-29 13:55:05,3.23,5.48,2.78,1.42
2021-04-29 13:55:10,3.23,5.48,2.78,1.42
2021-04-29 13:55:15,3.23,5.48,2.78,1.42
2021-04-29 13:55:20,3.16,5.37,2.78,1.42
2021-04-29 13:55:25,3.16,5.37,2.78,1.50
2021-04-29 13:55:30,3.16,5.37,2.78,1.50
2021-04-29 13:55:35,3.16,5.37,2.78,1.50
