"Time","requests","fail"
2021-06-29 13:18:30,0,0
2021-06-29 13:18:35,0,0
2021-06-29 13:18:40,0,0
2021-06-29 13:18:45,0,0
2021-06-29 13:18:50,0,0
2021-06-29 13:18:55,0.800,0
2021-06-29 13:19:00,1.44,0
2021-06-29 13:19:05,2.80,0
2021-06-29 13:19:10,3.80,0
2021-06-29 13:19:15,5.30,0
2021-06-29 13:19:20,6,0
2021-06-29 13:19:25,7.10,0
2021-06-29 13:19:30,7.60,0
2021-06-29 13:19:35,8.90,0
2021-06-29 13:19:40,9.10,0
2021-06-29 13:19:45,11.1,0
2021-06-29 13:19:50,14.1,0
2021-06-29 13:19:55,14.4,0
2021-06-29 13:20:00,14.4,0
2021-06-29 13:20:05,14.7,0
2021-06-29 13:20:10,15.6,0
2021-06-29 13:20:15,17.2,0
2021-06-29 13:20:20,19.6,0
2021-06-29 13:20:25,20.1,0
2021-06-29 13:20:30,20.4,0
2021-06-29 13:20:35,21.7,0
2021-06-29 13:20:40,22.5,0
2021-06-29 13:20:45,23.9,0
2021-06-29 13:20:50,25.2,0
2021-06-29 13:20:55,25.1,0
2021-06-29 13:21:00,29.1,0
2021-06-29 13:21:05,31,0
2021-06-29 13:21:10,30.3,0
2021-06-29 13:21:15,32.6,0
2021-06-29 13:21:20,33.9,0
2021-06-29 13:21:25,36.3,0
2021-06-29 13:21:30,36.5,0
2021-06-29 13:21:35,38.7,0
2021-06-29 13:21:40,38.2,0
2021-06-29 13:21:45,37.8,0
2021-06-29 13:21:50,37.8,0
2021-06-29 13:21:55,41.2,0
2021-06-29 13:22:00,44.1,0
2021-06-29 13:22:05,44.4,0
2021-06-29 13:22:10,42.7,0
2021-06-29 13:22:15,42.6,0
2021-06-29 13:22:20,43.5,0
2021-06-29 13:22:25,49.2,0
2021-06-29 13:22:30,51.7,0
2021-06-29 13:22:35,48.4,0
2021-06-29 13:22:40,49.7,0
2021-06-29 13:22:45,56.2,0
2021-06-29 13:22:50,53.5,0
2021-06-29 13:22:55,52.7,0
2021-06-29 13:23:00,57,0
2021-06-29 13:23:05,56.2,0
2021-06-29 13:23:10,57.5,0
2021-06-29 13:23:15,59.2,0
2021-06-29 13:23:20,61.2,0
2021-06-29 13:23:25,60.9,0
2021-06-29 13:23:30,62.6,0
2021-06-29 13:23:35,62.7,0
2021-06-29 13:23:40,63.2,0
2021-06-29 13:23:45,63.5,0
2021-06-29 13:23:50,67.2,0
2021-06-29 13:23:55,66.2,0
2021-06-29 13:24:00,67.3,0
2021-06-29 13:24:05,67.3,0
2021-06-29 13:24:10,70.9,0
2021-06-29 13:24:15,70,0
2021-06-29 13:24:20,71.9,0
2021-06-29 13:24:25,74.2,0
2021-06-29 13:24:30,75.3,0
2021-06-29 13:24:35,75.1,0
2021-06-29 13:24:40,76.8,0
2021-06-29 13:24:45,80.3,0
2021-06-29 13:24:50,75.7,0
2021-06-29 13:24:55,76.4,0
2021-06-29 13:25:00,82.1,0
2021-06-29 13:25:05,81.9,0
2021-06-29 13:25:10,81.5,0
2021-06-29 13:25:15,83.2,0
2021-06-29 13:25:20,87.4,0
2021-06-29 13:25:25,88.2,0
2021-06-29 13:25:30,89.7,0
2021-06-29 13:25:35,87.9,0
2021-06-29 13:25:40,86.7,0
2021-06-29 13:25:45,87.6,0
2021-06-29 13:25:50,89.1,0
2021-06-29 13:25:55,94,0
2021-06-29 13:26:00,94.7,0
2021-06-29 13:26:05,94.7,0
2021-06-29 13:26:10,96.7,0
2021-06-29 13:26:15,93.6,0
2021-06-29 13:26:20,98.1,0
2021-06-29 13:26:25,106,0
2021-06-29 13:26:30,102,0
2021-06-29 13:26:35,103,0
2021-06-29 13:26:40,101,0
2021-06-29 13:26:45,104,0
2021-06-29 13:26:50,108,0
2021-06-29 13:26:55,109,0
2021-06-29 13:27:00,109,0
2021-06-29 13:27:05,106,0
2021-06-29 13:27:10,108,0
2021-06-29 13:27:15,110,0
2021-06-29 13:27:20,112,0
2021-06-29 13:27:25,113,0
2021-06-29 13:27:30,111,0
2021-06-29 13:27:35,111,0
2021-06-29 13:27:40,115,0
2021-06-29 13:27:45,118,0
2021-06-29 13:27:50,118,0
2021-06-29 13:27:55,113,0
2021-06-29 13:28:00,118,0
2021-06-29 13:28:05,121,0
2021-06-29 13:28:10,124,0
2021-06-29 13:28:15,126,0
2021-06-29 13:28:20,127,0
2021-06-29 13:28:25,128,0
2021-06-29 13:28:30,130,0
2021-06-29 13:28:35,127,0
2021-06-29 13:28:40,124,0
2021-06-29 13:28:45,128,0
2021-06-29 13:28:50,135,0
2021-06-29 13:28:55,133,0
2021-06-29 13:29:00,135,0
2021-06-29 13:29:05,133,0
2021-06-29 13:29:10,133,0
2021-06-29 13:29:15,137,0
2021-06-29 13:29:20,142,0
2021-06-29 13:29:25,141,0
2021-06-29 13:29:30,141,0
2021-06-29 13:29:35,136,0
2021-06-29 13:29:40,139,0
2021-06-29 13:29:45,140,0
2021-06-29 13:29:50,141,0
2021-06-29 13:29:55,143,0
2021-06-29 13:30:00,144,0
2021-06-29 13:30:05,145,0
2021-06-29 13:30:10,144,0
2021-06-29 13:30:15,151,0
2021-06-29 13:30:20,147,0
2021-06-29 13:30:25,147,0
2021-06-29 13:30:30,152,0
2021-06-29 13:30:35,153,0
2021-06-29 13:30:40,153,0
2021-06-29 13:30:45,157,49
2021-06-29 13:30:50,155,35
2021-06-29 13:30:55,158,0.500
2021-06-29 13:31:00,162,0.700
2021-06-29 13:31:05,165,0
2021-06-29 13:31:10,165,0
2021-06-29 13:31:15,163,0
2021-06-29 13:31:20,164,0
2021-06-29 13:31:25,162,0
2021-06-29 13:31:30,162,0
2021-06-29 13:31:35,164,0
2021-06-29 13:31:40,170,0
2021-06-29 13:31:45,172,0
2021-06-29 13:31:50,172,0
2021-06-29 13:31:55,173,0
2021-06-29 13:32:00,172,0
2021-06-29 13:32:05,174,0
2021-06-29 13:32:10,173,0
2021-06-29 13:32:15,174,0
2021-06-29 13:32:20,179,0
2021-06-29 13:32:25,178,0
2021-06-29 13:32:30,180,0
2021-06-29 13:32:35,185,0
2021-06-29 13:32:40,182,0
2021-06-29 13:32:45,183,0
2021-06-29 13:32:50,183,0
2021-06-29 13:32:55,187,0
2021-06-29 13:33:00,185,0
2021-06-29 13:33:05,187,0
2021-06-29 13:33:10,190,0
2021-06-29 13:33:15,184,0
2021-06-29 13:33:20,186,0
2021-06-29 13:33:25,188,0
2021-06-29 13:33:30,187,0
2021-06-29 13:33:35,188,0
2021-06-29 13:33:40,192,0
2021-06-29 13:33:45,193,0
2021-06-29 13:33:50,195,0
2021-06-29 13:33:55,195,0
2021-06-29 13:34:00,193,0
2021-06-29 13:34:05,192,0
2021-06-29 13:34:10,192,0
2021-06-29 13:34:15,193,0
2021-06-29 13:34:20,195,0
2021-06-29 13:34:25,196,0
2021-06-29 13:34:30,193,0
2021-06-29 13:34:35,194,0
2021-06-29 13:34:40,195,0
2021-06-29 13:34:45,194,0
2021-06-29 13:34:50,194,0
2021-06-29 13:34:55,195,0
2021-06-29 13:35:00,197,0
2021-06-29 13:35:05,195,0
2021-06-29 13:35:10,194,0
2021-06-29 13:35:15,195,0
2021-06-29 13:35:20,197,0
2021-06-29 13:35:25,197,0
2021-06-29 13:35:30,195,0
2021-06-29 13:35:35,195,0
2021-06-29 13:35:40,194,0
2021-06-29 13:35:45,204,14.5
2021-06-29 13:35:50,217,14.5
2021-06-29 13:35:55,217,1.70
2021-06-29 13:36:00,219,1.70
2021-06-29 13:36:05,215,0
2021-06-29 13:36:10,222,0
2021-06-29 13:36:15,219,0
2021-06-29 13:36:20,212,0
2021-06-29 13:36:25,216,0
2021-06-29 13:36:30,217,0
2021-06-29 13:36:35,217,0
2021-06-29 13:36:40,216,0
2021-06-29 13:36:45,216,0
2021-06-29 13:36:50,212,0
2021-06-29 13:36:55,209,0
2021-06-29 13:37:00,207,0
2021-06-29 13:37:05,214,0
2021-06-29 13:37:10,221,0
2021-06-29 13:37:15,218,0
2021-06-29 13:37:20,220,0
2021-06-29 13:37:25,219,0
2021-06-29 13:37:30,218,0
2021-06-29 13:37:35,220,0
2021-06-29 13:37:40,218,0
2021-06-29 13:37:45,216,0
2021-06-29 13:37:50,215,0
2021-06-29 13:37:55,219,0
2021-06-29 13:38:00,222,0
2021-06-29 13:38:05,220,0
2021-06-29 13:38:10,220,0
2021-06-29 13:38:15,221,89.8
2021-06-29 13:38:20,215,116
2021-06-29 13:38:25,216,49.7
2021-06-29 13:38:30,220,0
2021-06-29 13:38:35,219,0
2021-06-29 13:38:40,217,0
2021-06-29 13:38:45,215,0
2021-06-29 13:38:50,216,0
2021-06-29 13:38:55,219,0
2021-06-29 13:39:00,214,0
2021-06-29 13:39:05,218,0
2021-06-29 13:39:10,227,0
2021-06-29 13:39:15,224,0
2021-06-29 13:39:20,221,0
2021-06-29 13:39:25,217,0
2021-06-29 13:39:30,217,0
2021-06-29 13:39:35,222,0
2021-06-29 13:39:40,225,0
2021-06-29 13:39:45,218,0
2021-06-29 13:39:50,222,0
2021-06-29 13:39:55,224,0
2021-06-29 13:40:00,221,0
2021-06-29 13:40:05,221,0
2021-06-29 13:40:10,221,0
2021-06-29 13:40:15,215,0
2021-06-29 13:40:20,222,0
2021-06-29 13:40:25,220,0
2021-06-29 13:40:30,217,0
2021-06-29 13:40:35,215,0
2021-06-29 13:40:40,219,0
2021-06-29 13:40:45,221,0
2021-06-29 13:40:50,219,0
2021-06-29 13:40:55,216,0
2021-06-29 13:41:00,219,0
2021-06-29 13:41:05,223,0
2021-06-29 13:41:10,218,0
2021-06-29 13:41:15,222,0
2021-06-29 13:41:20,216,0
2021-06-29 13:41:25,220,0
2021-06-29 13:41:30,223,0
2021-06-29 13:41:35,218,0
2021-06-29 13:41:40,221,0
2021-06-29 13:41:45,219,0
2021-06-29 13:41:50,221,0
2021-06-29 13:41:55,220,0
2021-06-29 13:42:00,213,0
2021-06-29 13:42:05,221,0
2021-06-29 13:42:10,224,0
2021-06-29 13:42:15,217,0
2021-06-29 13:42:20,219,0
2021-06-29 13:42:25,223,0
2021-06-29 13:42:30,220,0
2021-06-29 13:42:35,224,0
2021-06-29 13:42:40,223,0
2021-06-29 13:42:45,216,0
2021-06-29 13:42:50,217,0
2021-06-29 13:42:55,219,0
2021-06-29 13:43:00,220,0
2021-06-29 13:43:05,220,0
2021-06-29 13:43:10,217,0
2021-06-29 13:43:15,216,20
2021-06-29 13:43:20,220,20
2021-06-29 13:43:25,219,0.200
2021-06-29 13:43:30,215,0
2021-06-29 13:43:35,216,0
2021-06-29 13:43:40,218,0
2021-06-29 13:43:45,217,0
2021-06-29 13:43:50,212,0
2021-06-29 13:43:55,220,0
2021-06-29 13:44:00,221,0
2021-06-29 13:44:05,212,0
2021-06-29 13:44:10,211,0
2021-06-29 13:44:15,207,0
2021-06-29 13:44:20,215,0
2021-06-29 13:44:25,216,0
2021-06-29 13:44:30,212,0
2021-06-29 13:44:35,213,0
2021-06-29 13:44:40,217,0
2021-06-29 13:44:45,215,0
2021-06-29 13:44:50,222,0
2021-06-29 13:44:55,224,0
2021-06-29 13:45:00,214,0
2021-06-29 13:45:05,212,0
2021-06-29 13:45:10,215,0
2021-06-29 13:45:15,215,0
2021-06-29 13:45:20,209,0
2021-06-29 13:45:25,216,0
2021-06-29 13:45:30,221,0
2021-06-29 13:45:35,221,0
2021-06-29 13:45:40,221,0
2021-06-29 13:45:45,224,0
2021-06-29 13:45:50,224,0
2021-06-29 13:45:55,222,0
2021-06-29 13:46:00,230,0
2021-06-29 13:46:05,233,0.300
2021-06-29 13:46:10,228,0.300
2021-06-29 13:46:15,226,0
2021-06-29 13:46:20,227,0
2021-06-29 13:46:25,225,0
2021-06-29 13:46:30,230,0
2021-06-29 13:46:35,230,0
2021-06-29 13:46:40,233,0
2021-06-29 13:46:45,238,0
2021-06-29 13:46:50,234,0
2021-06-29 13:46:55,239,0
2021-06-29 13:47:00,239,0
2021-06-29 13:47:05,236,0
2021-06-29 13:47:10,235,0
2021-06-29 13:47:15,242,0
2021-06-29 13:47:20,243,0
2021-06-29 13:47:25,242,0
2021-06-29 13:47:30,245,0
2021-06-29 13:47:35,248,0
2021-06-29 13:47:40,245,0
2021-06-29 13:47:45,252,0
2021-06-29 13:47:50,247,0
2021-06-29 13:47:55,248,0
2021-06-29 13:48:00,255,0
2021-06-29 13:48:05,253,0
2021-06-29 13:48:10,251,0
2021-06-29 13:48:15,254,0
2021-06-29 13:48:20,253,0
2021-06-29 13:48:25,255,0
2021-06-29 13:48:30,254,0
2021-06-29 13:48:35,253,0.900
2021-06-29 13:48:40,261,0.900
2021-06-29 13:48:45,258,0
2021-06-29 13:48:50,253,0
2021-06-29 13:48:55,265,0
2021-06-29 13:49:00,271,0
2021-06-29 13:49:05,271,0
2021-06-29 13:49:10,271,0
2021-06-29 13:49:15,265,0
2021-06-29 13:49:20,263,0
2021-06-29 13:49:25,270,0
2021-06-29 13:49:30,279,0
2021-06-29 13:49:35,283,0
2021-06-29 13:49:40,277,0
2021-06-29 13:49:45,275,0
2021-06-29 13:49:50,279,0
2021-06-29 13:49:55,276,0
2021-06-29 13:50:00,280,0
2021-06-29 13:50:05,275,0
2021-06-29 13:50:10,279,0
2021-06-29 13:50:15,288,0
2021-06-29 13:50:20,284,0
2021-06-29 13:50:25,279,0
2021-06-29 13:50:30,287,0
2021-06-29 13:50:35,287,0
2021-06-29 13:50:40,285,0
2021-06-29 13:50:45,282,10.6
2021-06-29 13:50:50,283,28.9
2021-06-29 13:50:55,288,18.3
2021-06-29 13:51:00,291,2.30
2021-06-29 13:51:05,296,1.60
2021-06-29 13:51:10,291,0
2021-06-29 13:51:15,293,0
2021-06-29 13:51:20,299,0
2021-06-29 13:51:25,302,0
2021-06-29 13:51:30,303,0
2021-06-29 13:51:35,305,0
2021-06-29 13:51:40,296,0
2021-06-29 13:51:45,299,0
2021-06-29 13:51:50,304,0
2021-06-29 13:51:55,310,0
2021-06-29 13:52:00,300,0
2021-06-29 13:52:05,296,0
2021-06-29 13:52:10,301,0
2021-06-29 13:52:15,304,0
2021-06-29 13:52:20,308,0
2021-06-29 13:52:25,307,0
2021-06-29 13:52:30,305,0
2021-06-29 13:52:35,303,0
2021-06-29 13:52:40,310,0
2021-06-29 13:52:45,313,0
2021-06-29 13:52:50,314,0
2021-06-29 13:52:55,313,0
2021-06-29 13:53:00,311,0
2021-06-29 13:53:05,317,0
2021-06-29 13:53:10,315,0
2021-06-29 13:53:15,318,0
2021-06-29 13:53:20,319,1.20
2021-06-29 13:53:25,317,1.20
2021-06-29 13:53:30,325,0
2021-06-29 13:53:35,325,0
2021-06-29 13:53:40,324,0
2021-06-29 13:53:45,319,0
2021-06-29 13:53:50,328,0
2021-06-29 13:53:55,339,0
2021-06-29 13:54:00,335,0
2021-06-29 13:54:05,329,0
2021-06-29 13:54:10,335,0
2021-06-29 13:54:15,337,0
2021-06-29 13:54:20,332,0
2021-06-29 13:54:25,336,0
2021-06-29 13:54:30,341,0
2021-06-29 13:54:35,339,0
2021-06-29 13:54:40,339,0
2021-06-29 13:54:45,340,0
2021-06-29 13:54:50,343,0
2021-06-29 13:54:55,340,0
2021-06-29 13:55:00,335,0
2021-06-29 13:55:05,345,0
2021-06-29 13:55:10,344,0
2021-06-29 13:55:15,340,0
2021-06-29 13:55:20,345,0
2021-06-29 13:55:25,351,0
2021-06-29 13:55:30,357,0
2021-06-29 13:55:35,352,0
2021-06-29 13:55:40,354,0
2021-06-29 13:55:45,358,0
2021-06-29 13:55:50,360,75.2
2021-06-29 13:55:55,347,90.2
2021-06-29 13:56:00,340,15
2021-06-29 13:56:05,356,0.600
2021-06-29 13:56:10,360,0
2021-06-29 13:56:15,360,0
2021-06-29 13:56:20,365,0
2021-06-29 13:56:25,363,0
2021-06-29 13:56:30,359,0
2021-06-29 13:56:35,367,0
2021-06-29 13:56:40,371,0
2021-06-29 13:56:45,378,0
2021-06-29 13:56:50,368,0
2021-06-29 13:56:55,366,0
2021-06-29 13:57:00,376,0
2021-06-29 13:57:05,383,0
2021-06-29 13:57:10,381,0
2021-06-29 13:57:15,370,0
2021-06-29 13:57:20,371,0
2021-06-29 13:57:25,383,0
2021-06-29 13:57:30,381,0
2021-06-29 13:57:35,382,0
2021-06-29 13:57:40,380,0
2021-06-29 13:57:45,382,0
2021-06-29 13:57:50,381,0
2021-06-29 13:57:55,374,0
2021-06-29 13:58:00,379,0
2021-06-29 13:58:05,386,0
2021-06-29 13:58:10,387,0
2021-06-29 13:58:15,402,0
2021-06-29 13:58:20,402,0
2021-06-29 13:58:25,392,1.10
2021-06-29 13:58:30,391,1.10
2021-06-29 13:58:35,391,0
2021-06-29 13:58:40,397,0
2021-06-29 13:58:45,396,0
2021-06-29 13:58:50,400,0
2021-06-29 13:58:55,393,0
2021-06-29 13:59:00,391,0
2021-06-29 13:59:05,396,0
2021-06-29 13:59:10,403,0
2021-06-29 13:59:15,402,0
2021-06-29 13:59:20,398,0
2021-06-29 13:59:25,394,0
2021-06-29 13:59:30,391,0
2021-06-29 13:59:35,399,0
2021-06-29 13:59:40,401,0
2021-06-29 13:59:45,409,0
2021-06-29 13:59:50,408,0
2021-06-29 13:59:55,407,0
2021-06-29 14:00:00,400,0
2021-06-29 14:00:05,403,0
2021-06-29 14:00:10,406,0
2021-06-29 14:00:15,406,0
2021-06-29 14:00:20,413,0
2021-06-29 14:00:25,421,0
2021-06-29 14:00:30,420,0
2021-06-29 14:00:35,424,0
2021-06-29 14:00:40,416,0
2021-06-29 14:00:45,419,0
2021-06-29 14:00:50,422,0
2021-06-29 14:00:55,420,44.8
2021-06-29 14:01:00,419,44.2
2021-06-29 14:01:05,420,2.90
2021-06-29 14:01:10,424,3
2021-06-29 14:01:15,431,0.100
2021-06-29 14:01:20,433,0
2021-06-29 14:01:25,427,0
2021-06-29 14:01:30,426,0
2021-06-29 14:01:35,429,0
2021-06-29 14:01:40,430,0
2021-06-29 14:01:45,432,0
2021-06-29 14:01:50,432,0
2021-06-29 14:01:55,432,0
2021-06-29 14:02:00,438,0
2021-06-29 14:02:05,442,0
2021-06-29 14:02:10,441,0
2021-06-29 14:02:15,442,0
2021-06-29 14:02:20,441,0
2021-06-29 14:02:25,438,0
2021-06-29 14:02:30,444,0
2021-06-29 14:02:35,441,0
2021-06-29 14:02:40,431,0
2021-06-29 14:02:45,432,0
2021-06-29 14:02:50,437,0
2021-06-29 14:02:55,437,0
2021-06-29 14:03:00,433,0
2021-06-29 14:03:05,436,0
2021-06-29 14:03:10,435,0
2021-06-29 14:03:15,440,0
2021-06-29 14:03:20,437,0
2021-06-29 14:03:25,432,0
2021-06-29 14:03:30,435,1.20
2021-06-29 14:03:35,434,1.20
2021-06-29 14:03:40,439,0.300
2021-06-29 14:03:45,439,0.300
2021-06-29 14:03:50,441,0
2021-06-29 14:03:55,435,0
2021-06-29 14:04:00,432,0
2021-06-29 14:04:05,438,0
2021-06-29 14:04:10,443,0
2021-06-29 14:04:15,434,0
2021-06-29 14:04:20,438,0
2021-06-29 14:04:25,437,0
2021-06-29 14:04:30,436,0
2021-06-29 14:04:35,438,0
2021-06-29 14:04:40,441,0
2021-06-29 14:04:45,441,0
2021-06-29 14:04:50,451,0
2021-06-29 14:04:55,445,0
2021-06-29 14:05:00,437,0
2021-06-29 14:05:05,447,0
2021-06-29 14:05:10,445,0
2021-06-29 14:05:15,438,0
2021-06-29 14:05:20,437,0
2021-06-29 14:05:25,434,0
2021-06-29 14:05:30,440,0
2021-06-29 14:05:35,444,0
2021-06-29 14:05:40,445,0
2021-06-29 14:05:45,442,0
2021-06-29 14:05:50,441,0
2021-06-29 14:05:55,437,0
2021-06-29 14:06:00,430,1.80
2021-06-29 14:06:05,428,1.80
2021-06-29 14:06:10,437,0
2021-06-29 14:06:15,437,0
2021-06-29 14:06:20,435,0
2021-06-29 14:06:25,431,0
2021-06-29 14:06:30,436,0
2021-06-29 14:06:35,442,0
2021-06-29 14:06:40,438,0
2021-06-29 14:06:45,439,0
2021-06-29 14:06:50,439,0
2021-06-29 14:06:55,446,0
2021-06-29 14:07:00,437,0
2021-06-29 14:07:05,438,0
2021-06-29 14:07:10,441,0
2021-06-29 14:07:15,436,0
2021-06-29 14:07:20,440,0
2021-06-29 14:07:25,441,0
2021-06-29 14:07:30,433,0
2021-06-29 14:07:35,437,0
2021-06-29 14:07:40,440,0
2021-06-29 14:07:45,440,0
2021-06-29 14:07:50,440,0
2021-06-29 14:07:55,442,0
2021-06-29 14:08:00,448,0
2021-06-29 14:08:05,447,0
2021-06-29 14:08:10,441,0
2021-06-29 14:08:15,441,0
2021-06-29 14:08:20,443,0
2021-06-29 14:08:25,447,0
2021-06-29 14:08:30,445,1.50
2021-06-29 14:08:35,446,1.50
2021-06-29 14:08:40,437,0
2021-06-29 14:08:45,434,0
2021-06-29 14:08:50,434,0
2021-06-29 14:08:55,437,0
2021-06-29 14:09:00,431,0
2021-06-29 14:09:05,436,0
2021-06-29 14:09:10,443,0
2021-06-29 14:09:15,435,0
2021-06-29 14:09:20,441,0
2021-06-29 14:09:25,434,0
2021-06-29 14:09:30,440,0
2021-06-29 14:09:35,438,0
2021-06-29 14:09:40,446,0
2021-06-29 14:09:45,440,0
2021-06-29 14:09:50,434,0
2021-06-29 14:09:55,435,0
2021-06-29 14:10:00,439,0
2021-06-29 14:10:05,437,0
2021-06-29 14:10:10,435,0
2021-06-29 14:10:15,431,0
2021-06-29 14:10:20,433,0
2021-06-29 14:10:25,439,0
2021-06-29 14:10:30,439,0
2021-06-29 14:10:35,436,0
2021-06-29 14:10:40,427,0
