"Time","P95"
2021-06-29 13:18:30,0
2021-06-29 13:18:35,0
2021-06-29 13:18:40,0
2021-06-29 13:18:45,0
2021-06-29 13:18:50,22
2021-06-29 13:18:55,22
2021-06-29 13:19:00,22
2021-06-29 13:19:05,22
2021-06-29 13:19:10,17
2021-06-29 13:19:15,15
2021-06-29 13:19:20,12
2021-06-29 13:19:25,16
2021-06-29 13:19:30,10
2021-06-29 13:19:35,9
2021-06-29 13:19:40,9
2021-06-29 13:19:45,9
2021-06-29 13:19:50,15
2021-06-29 13:19:55,9
2021-06-29 13:20:00,9
2021-06-29 13:20:05,10
2021-06-29 13:20:10,14
2021-06-29 13:20:15,15
2021-06-29 13:20:20,15
2021-06-29 13:20:25,14
2021-06-29 13:20:30,11
2021-06-29 13:20:35,8
2021-06-29 13:20:40,8
2021-06-29 13:20:45,10
2021-06-29 13:20:50,10
2021-06-29 13:20:55,9
2021-06-29 13:21:00,15
2021-06-29 13:21:05,11
2021-06-29 13:21:10,9
2021-06-29 13:21:15,9
2021-06-29 13:21:20,9
2021-06-29 13:21:25,9
2021-06-29 13:21:30,9
2021-06-29 13:21:35,15
2021-06-29 13:21:40,14
2021-06-29 13:21:45,9
2021-06-29 13:21:50,9
2021-06-29 13:21:55,9
2021-06-29 13:22:00,8
2021-06-29 13:22:05,13
2021-06-29 13:22:10,9
2021-06-29 13:22:15,8
2021-06-29 13:22:20,8
2021-06-29 13:22:25,8
2021-06-29 13:22:30,10
2021-06-29 13:22:35,14
2021-06-29 13:22:40,11
2021-06-29 13:22:45,12
2021-06-29 13:22:50,13
2021-06-29 13:22:55,15
2021-06-29 13:23:00,15
2021-06-29 13:23:05,15
2021-06-29 13:23:10,15
2021-06-29 13:23:15,14
2021-06-29 13:23:20,9
2021-06-29 13:23:25,11
2021-06-29 13:23:30,11
2021-06-29 13:23:35,11
2021-06-29 13:23:40,14
2021-06-29 13:23:45,14
2021-06-29 13:23:50,11
2021-06-29 13:23:55,11
2021-06-29 13:24:00,9
2021-06-29 13:24:05,9
2021-06-29 13:24:10,9
2021-06-29 13:24:15,9
2021-06-29 13:24:20,12
2021-06-29 13:24:25,14
2021-06-29 13:24:30,10
2021-06-29 13:24:35,8
2021-06-29 13:24:40,9
2021-06-29 13:24:45,12
2021-06-29 13:24:50,13
2021-06-29 13:24:55,13
2021-06-29 13:25:00,9
2021-06-29 13:25:05,10
2021-06-29 13:25:10,13
2021-06-29 13:25:15,14
2021-06-29 13:25:20,14
2021-06-29 13:25:25,10
2021-06-29 13:25:30,10
2021-06-29 13:25:35,8
2021-06-29 13:25:40,9
2021-06-29 13:25:45,14
2021-06-29 13:25:50,10
2021-06-29 13:25:55,11
2021-06-29 13:26:00,11
2021-06-29 13:26:05,10
2021-06-29 13:26:10,11
2021-06-29 13:26:15,9
2021-06-29 13:26:20,9
2021-06-29 13:26:25,12
2021-06-29 13:26:30,15
2021-06-29 13:26:35,10
2021-06-29 13:26:40,10
2021-06-29 13:26:45,14
2021-06-29 13:26:50,14
2021-06-29 13:26:55,14
2021-06-29 13:27:00,10
2021-06-29 13:27:05,9
2021-06-29 13:27:10,13
2021-06-29 13:27:15,14
2021-06-29 13:27:20,10
2021-06-29 13:27:25,12
2021-06-29 13:27:30,10
2021-06-29 13:27:35,10
2021-06-29 13:27:40,9
2021-06-29 13:27:45,13
2021-06-29 13:27:50,14
2021-06-29 13:27:55,10
2021-06-29 13:28:00,11
2021-06-29 13:28:05,11
2021-06-29 13:28:10,9
2021-06-29 13:28:15,10
2021-06-29 13:28:20,14
2021-06-29 13:28:25,13
2021-06-29 13:28:30,12
2021-06-29 13:28:35,11
2021-06-29 13:28:40,11
2021-06-29 13:28:45,13
2021-06-29 13:28:50,15
2021-06-29 13:28:55,15
2021-06-29 13:29:00,12
2021-06-29 13:29:05,12
2021-06-29 13:29:10,12
2021-06-29 13:29:15,14
2021-06-29 13:29:20,14
2021-06-29 13:29:25,12
2021-06-29 13:29:30,10
2021-06-29 13:29:35,10
2021-06-29 13:29:40,10
2021-06-29 13:29:45,10
2021-06-29 13:29:50,11
