"Time","requests","fail"
2021-06-29 14:46:50,0,0
2021-06-29 14:46:55,0,0
2021-06-29 14:47:00,1,0
2021-06-29 14:47:05,1.70,0
2021-06-29 14:47:10,3.20,0
2021-06-29 14:47:15,4.40,0
2021-06-29 14:47:20,5.50,0
2021-06-29 14:47:25,6.50,0
2021-06-29 14:47:30,7,0
2021-06-29 14:47:35,8.30,0
2021-06-29 14:47:40,9.80,0
2021-06-29 14:47:45,11.1,0
2021-06-29 14:47:50,12.6,0
2021-06-29 14:47:55,13.1,0
2021-06-29 14:48:00,13.1,0
2021-06-29 14:48:05,13.8,0
2021-06-29 14:48:10,16.2,0
2021-06-29 14:48:15,18.4,0
2021-06-29 14:48:20,18.3,0
2021-06-29 14:48:25,18.4,0
2021-06-29 14:48:30,19.4,0
2021-06-29 14:48:35,21,0
2021-06-29 14:48:40,24.4,0
2021-06-29 14:48:45,23.2,0
2021-06-29 14:48:50,25.3,0
2021-06-29 14:48:55,28.3,0
2021-06-29 14:49:00,28.1,0
2021-06-29 14:49:05,29.5,0
2021-06-29 14:49:10,29.1,0
2021-06-29 14:49:15,30.2,0
2021-06-29 14:49:20,31.7,0
2021-06-29 14:49:25,32.1,0
2021-06-29 14:49:30,34.3,0
2021-06-29 14:49:35,37.4,0
2021-06-29 14:49:40,37.8,0
2021-06-29 14:49:45,36.1,0
2021-06-29 14:49:50,39.1,0
2021-06-29 14:49:55,38.8,0
2021-06-29 14:50:00,38.4,0
2021-06-29 14:50:05,39.5,0
2021-06-29 14:50:10,40.7,0
2021-06-29 14:50:15,44.6,0
2021-06-29 14:50:20,44.3,0
2021-06-29 14:50:25,45.1,0
2021-06-29 14:50:30,46.7,0
2021-06-29 14:50:35,46,0
2021-06-29 14:50:40,48,0
2021-06-29 14:50:45,50.2,0
2021-06-29 14:50:50,52.5,0
2021-06-29 14:50:55,50.6,0
2021-06-29 14:51:00,52.3,0
2021-06-29 14:51:05,55.9,0
2021-06-29 14:51:10,54.8,0
2021-06-29 14:51:15,56.1,0
2021-06-29 14:51:20,60,0
2021-06-29 14:51:25,61.7,0
2021-06-29 14:51:30,62,0
2021-06-29 14:51:35,58.9,0
2021-06-29 14:51:40,59.9,0
2021-06-29 14:51:45,63.9,0
2021-06-29 14:51:50,65.7,0
2021-06-29 14:51:55,66.7,0
2021-06-29 14:52:00,67.3,0
2021-06-29 14:52:05,66,0
2021-06-29 14:52:10,67.4,0
2021-06-29 14:52:15,68.4,0
2021-06-29 14:52:20,69.5,0
2021-06-29 14:52:25,70.4,0
2021-06-29 14:52:30,76.4,0
2021-06-29 14:52:35,76.3,0
2021-06-29 14:52:40,74.8,0
2021-06-29 14:52:45,80.5,0
2021-06-29 14:52:50,81,0
2021-06-29 14:52:55,77.6,0
2021-06-29 14:53:00,84.1,0
2021-06-29 14:53:05,83,0
2021-06-29 14:53:10,81.2,0
2021-06-29 14:53:15,84,0
2021-06-29 14:53:20,84.4,0
2021-06-29 14:53:25,84.8,0
2021-06-29 14:53:30,84.4,0
2021-06-29 14:53:35,87.3,0
2021-06-29 14:53:40,89.4,0
2021-06-29 14:53:45,85.2,0
2021-06-29 14:53:50,89.8,0
2021-06-29 14:53:55,96,0
2021-06-29 14:54:00,93.8,0
2021-06-29 14:54:05,95.5,0
2021-06-29 14:54:10,96.6,0
2021-06-29 14:54:15,95.6,0
2021-06-29 14:54:20,98.7,0
2021-06-29 14:54:25,95.7,0
2021-06-29 14:54:30,98.2,0
2021-06-29 14:54:35,100,0
2021-06-29 14:54:40,99.9,0
2021-06-29 14:54:45,101,0
2021-06-29 14:54:50,101,0
2021-06-29 14:54:55,107,0
2021-06-29 14:55:00,106,0
2021-06-29 14:55:05,107,0
2021-06-29 14:55:10,110,0
2021-06-29 14:55:15,113,0
2021-06-29 14:55:20,112,0
2021-06-29 14:55:25,111,0
2021-06-29 14:55:30,116,0
2021-06-29 14:55:35,114,0
2021-06-29 14:55:40,115,0
2021-06-29 14:55:45,120,0
2021-06-29 14:55:50,117,0
2021-06-29 14:55:55,117,0
2021-06-29 14:56:00,120,0
2021-06-29 14:56:05,123,0
2021-06-29 14:56:10,122,0
2021-06-29 14:56:15,124,0
2021-06-29 14:56:20,125,50.8
2021-06-29 14:56:25,121,60.7
2021-06-29 14:56:30,120,22.3
2021-06-29 14:56:35,124,0.800
2021-06-29 14:56:40,131,0.800
2021-06-29 14:56:45,133,0
2021-06-29 14:56:50,132,0
2021-06-29 14:56:55,133,0
2021-06-29 14:57:00,133,0
2021-06-29 14:57:05,136,0
2021-06-29 14:57:10,134,0
2021-06-29 14:57:15,132,0
2021-06-29 14:57:20,138,0
2021-06-29 14:57:25,139,0
2021-06-29 14:57:30,136,0
2021-06-29 14:57:35,134,0
2021-06-29 14:57:40,142,0
2021-06-29 14:57:45,144,0
2021-06-29 14:57:50,142,0
