"Time","P95"
2021-06-29 16:17:10,21
2021-06-29 16:17:15,46
2021-06-29 16:17:20,46
2021-06-29 16:17:25,16
2021-06-29 16:17:30,11
2021-06-29 16:17:35,16
2021-06-29 16:17:40,16
2021-06-29 16:17:45,11
2021-06-29 16:17:50,17
2021-06-29 16:17:55,17
2021-06-29 16:18:00,10
2021-06-29 16:18:05,9
2021-06-29 16:18:10,9
2021-06-29 16:18:15,9
2021-06-29 16:18:20,8
2021-06-29 16:18:25,8
2021-06-29 16:18:30,10
2021-06-29 16:18:35,17
2021-06-29 16:18:40,9
2021-06-29 16:18:45,8
2021-06-29 16:18:50,9
2021-06-29 16:18:55,9
2021-06-29 16:19:00,8
2021-06-29 16:19:05,8
2021-06-29 16:19:10,14
2021-06-29 16:19:15,9
2021-06-29 16:19:20,9
2021-06-29 16:19:25,8
2021-06-29 16:19:30,9
2021-06-29 16:19:35,9
2021-06-29 16:19:40,9
2021-06-29 16:19:45,9
2021-06-29 16:19:50,8
2021-06-29 16:19:55,9
2021-06-29 16:20:00,10
2021-06-29 16:20:05,14
2021-06-29 16:20:10,9
2021-06-29 16:20:15,9
2021-06-29 16:20:20,10
2021-06-29 16:20:25,9
2021-06-29 16:20:30,9
2021-06-29 16:20:35,14
2021-06-29 16:20:40,15
2021-06-29 16:20:45,14
2021-06-29 16:20:50,10
2021-06-29 16:20:55,14
2021-06-29 16:21:00,15
2021-06-29 16:21:05,15
2021-06-29 16:21:10,15
2021-06-29 16:21:15,13
2021-06-29 16:21:20,8
2021-06-29 16:21:25,9
2021-06-29 16:21:30,9
2021-06-29 16:21:35,9
2021-06-29 16:21:40,9
2021-06-29 16:21:45,10
2021-06-29 16:21:50,10
2021-06-29 16:21:55,10
2021-06-29 16:22:00,9
2021-06-29 16:22:05,9
2021-06-29 16:22:10,9
2021-06-29 16:22:15,14
2021-06-29 16:22:20,11
2021-06-29 16:22:25,14
2021-06-29 16:22:30,14
2021-06-29 16:22:35,15
2021-06-29 16:22:40,15
2021-06-29 16:22:45,11
2021-06-29 16:22:50,15
2021-06-29 16:22:55,14
2021-06-29 16:23:00,11
2021-06-29 16:23:05,13
2021-06-29 16:23:10,13
2021-06-29 16:23:15,12
2021-06-29 16:23:20,14
2021-06-29 16:23:25,9
2021-06-29 16:23:30,9
2021-06-29 16:23:35,10
2021-06-29 16:23:40,11
2021-06-29 16:23:45,9
2021-06-29 16:23:50,9
2021-06-29 16:23:55,9
2021-06-29 16:24:00,9
2021-06-29 16:24:05,14
2021-06-29 16:24:10,13
2021-06-29 16:24:15,14
2021-06-29 16:24:20,15
2021-06-29 16:24:25,8
2021-06-29 16:24:30,9
2021-06-29 16:24:35,9
2021-06-29 16:24:40,13
2021-06-29 16:24:45,14
2021-06-29 16:24:50,10
2021-06-29 16:24:55,9
2021-06-29 16:25:00,10
2021-06-29 16:25:05,14
2021-06-29 16:25:10,15
2021-06-29 16:25:15,14
2021-06-29 16:25:20,15
2021-06-29 16:25:25,13
2021-06-29 16:25:30,10
2021-06-29 16:25:35,14
2021-06-29 16:25:40,11
2021-06-29 16:25:45,9
2021-06-29 16:25:50,9
2021-06-29 16:25:55,10
2021-06-29 16:26:00,15
2021-06-29 16:26:05,14
2021-06-29 16:26:10,11
2021-06-29 16:26:15,11
2021-06-29 16:26:20,13
2021-06-29 16:26:25,10
2021-06-29 16:26:30,20
2021-06-29 16:26:35,26
2021-06-29 16:26:40,1600
2021-06-29 16:26:45,5000
2021-06-29 16:26:50,5000
2021-06-29 16:26:55,9800
2021-06-29 16:27:00,9700
2021-06-29 16:27:05,5000
2021-06-29 16:27:10,5000
2021-06-29 16:27:15,5000
2021-06-29 16:27:20,5000
2021-06-29 16:27:25,5000
2021-06-29 16:27:30,5000
2021-06-29 16:27:35,5000
2021-06-29 16:27:40,5000
2021-06-29 16:27:45,5000
2021-06-29 16:27:50,5000
2021-06-29 16:27:55,5000
2021-06-29 16:28:00,5000
2021-06-29 16:28:05,5000
2021-06-29 16:28:10,5000
2021-06-29 16:28:15,5000
2021-06-29 16:28:20,5000
2021-06-29 16:28:25,5000
2021-06-29 16:28:30,5000
2021-06-29 16:28:35,5000
2021-06-29 16:28:40,5000
2021-06-29 16:28:45,5000
2021-06-29 16:28:50,5000
2021-06-29 16:28:55,5000
2021-06-29 16:29:00,5000
2021-06-29 16:29:05,5000
2021-06-29 16:29:10,5000
2021-06-29 16:29:15,5000
2021-06-29 16:29:20,5000
2021-06-29 16:29:25,5000
2021-06-29 16:29:30,5000
2021-06-29 16:29:35,5000
2021-06-29 16:29:40,5000
2021-06-29 16:29:45,5000
2021-06-29 16:29:50,5000
2021-06-29 16:29:55,5000
2021-06-29 16:30:00,5000
2021-06-29 16:30:05,5000
2021-06-29 16:30:10,5000
2021-06-29 16:30:15,5000
2021-06-29 16:30:20,5000
2021-06-29 16:30:25,5000
2021-06-29 16:30:30,5000
2021-06-29 16:30:35,5000
2021-06-29 16:30:40,5000
2021-06-29 16:30:45,5000
2021-06-29 16:30:50,5000
2021-06-29 16:30:55,5000
2021-06-29 16:31:00,5000
2021-06-29 16:31:05,5000
2021-06-29 16:31:10,5000
2021-06-29 16:31:15,5000
2021-06-29 16:31:20,5000
2021-06-29 16:31:25,5000
2021-06-29 16:31:30,5000
2021-06-29 16:31:35,5000
2021-06-29 16:31:40,5000
2021-06-29 16:31:45,5000
2021-06-29 16:31:50,5000
2021-06-29 16:31:55,5000
2021-06-29 16:32:00,5000
2021-06-29 16:32:05,1500
2021-06-29 16:32:10,1300
2021-06-29 16:32:15,1500
2021-06-29 16:32:20,1700
2021-06-29 16:32:25,1900
2021-06-29 16:32:30,2000
2021-06-29 16:32:35,1900
2021-06-29 16:32:40,1800
2021-06-29 16:32:45,1800
2021-06-29 16:32:50,1800
2021-06-29 16:32:55,1700
2021-06-29 16:33:00,1800
2021-06-29 16:33:05,1900
2021-06-29 16:33:10,2100
2021-06-29 16:33:15,2100
2021-06-29 16:33:20,2300
2021-06-29 16:33:25,2300
2021-06-29 16:33:30,2200
2021-06-29 16:33:35,2100
2021-06-29 16:33:40,2100
2021-06-29 16:33:45,2200
2021-06-29 16:33:50,2300
2021-06-29 16:33:55,2300
2021-06-29 16:34:00,2200
2021-06-29 16:34:05,2400
2021-06-29 16:34:10,2400
2021-06-29 16:34:15,2300
2021-06-29 16:34:20,2900
2021-06-29 16:34:25,4400
2021-06-29 16:34:30,4900
2021-06-29 16:34:35,5000
2021-06-29 16:34:40,5000
2021-06-29 16:34:45,5000
2021-06-29 16:34:50,5000
2021-06-29 16:34:55,5000
2021-06-29 16:35:00,5000
2021-06-29 16:35:05,5000
2021-06-29 16:35:10,5000
2021-06-29 16:35:15,5000
2021-06-29 16:35:20,5000
2021-06-29 16:35:25,5000
2021-06-29 16:35:30,5000
2021-06-29 16:35:35,5000
2021-06-29 16:35:40,5000
2021-06-29 16:35:45,5000
2021-06-29 16:35:50,5000
