"Time","requests","fail"
2021-04-29 13:25:55,0,0
2021-04-29 13:26:00,0,0
2021-04-29 13:26:05,0,0
2021-04-29 13:26:10,0,0
2021-04-29 13:26:15,0,0
2021-04-29 13:26:20,0,0
2021-04-29 13:26:25,0,0
2021-04-29 13:26:30,0,0
2021-04-29 13:26:35,1,0
2021-04-29 13:26:40,1.44,0
2021-04-29 13:26:45,2,0
2021-04-29 13:26:50,3,0
2021-04-29 13:26:55,4,0
2021-04-29 13:27:00,5.70,0
2021-04-29 13:27:05,6.30,0
2021-04-29 13:27:10,8,0
2021-04-29 13:27:15,9.20,0
2021-04-29 13:27:20,10.8,0
2021-04-29 13:27:25,12,0
2021-04-29 13:27:30,11.6,0
2021-04-29 13:27:35,13.7,0
2021-04-29 13:27:40,14.5,0
2021-04-29 13:27:45,16.2,0
2021-04-29 13:27:50,15.8,0
2021-04-29 13:27:55,16.6,0
2021-04-29 13:28:00,19.8,0
2021-04-29 13:28:05,20.8,0
2021-04-29 13:28:10,21.8,0
2021-04-29 13:28:15,21.7,0
2021-04-29 13:28:20,21.8,0
2021-04-29 13:28:25,24.6,0
2021-04-29 13:28:30,27.7,0
2021-04-29 13:28:35,28.8,0
2021-04-29 13:28:40,26.8,0
2021-04-29 13:28:45,28.4,0
2021-04-29 13:28:50,32,0
2021-04-29 13:28:55,33.6,0
2021-04-29 13:29:00,35,0
2021-04-29 13:29:05,34,0
2021-04-29 13:29:10,33.4,0
2021-04-29 13:29:15,38.2,0
2021-04-29 13:29:20,38.6,0
2021-04-29 13:29:25,37.6,0
2021-04-29 13:29:30,39.7,0
2021-04-29 13:29:35,39.2,0
2021-04-29 13:29:40,39.8,0
2021-04-29 13:29:45,42.9,0
2021-04-29 13:29:50,44.3,0
2021-04-29 13:29:55,45,0
2021-04-29 13:30:00,47.6,0
2021-04-29 13:30:05,46.8,0
2021-04-29 13:30:10,45.4,0
2021-04-29 13:30:15,47.8,0
2021-04-29 13:30:20,49.8,0
2021-04-29 13:30:25,50.9,0
2021-04-29 13:30:30,52,0
2021-04-29 13:30:35,51.9,0
2021-04-29 13:30:40,52.3,0
2021-04-29 13:30:45,57,0
2021-04-29 13:30:50,59.7,0
2021-04-29 13:30:55,55.5,0
2021-04-29 13:31:00,55.7,0
2021-04-29 13:31:05,61.6,0
2021-04-29 13:31:10,65.1,0
2021-04-29 13:31:15,63.7,0
2021-04-29 13:31:20,62.2,0
2021-04-29 13:31:25,64.7,0
2021-04-29 13:31:30,65.4,0
2021-04-29 13:31:35,65,0
2021-04-29 13:31:40,71.7,0
2021-04-29 13:31:45,71.4,0
2021-04-29 13:31:50,68,0
2021-04-29 13:31:55,74.1,0
2021-04-29 13:32:00,71.8,0
2021-04-29 13:32:05,67.2,0
2021-04-29 13:32:10,74.2,0
2021-04-29 13:32:15,76.2,0
2021-04-29 13:32:20,76,0
2021-04-29 13:32:25,77.8,0
2021-04-29 13:32:30,75.5,0
2021-04-29 13:32:35,75.4,0
2021-04-29 13:32:40,81.1,0
2021-04-29 13:32:45,82.6,0
2021-04-29 13:32:50,83.9,0
2021-04-29 13:32:55,83.6,0
2021-04-29 13:33:00,83.2,0
2021-04-29 13:33:05,82.9,0
2021-04-29 13:33:10,87.4,0
2021-04-29 13:33:15,89.3,0
2021-04-29 13:33:20,86.4,0
2021-04-29 13:33:25,91.5,0
2021-04-29 13:33:30,90.9,0
2021-04-29 13:33:35,90.9,0
2021-04-29 13:33:40,95.9,0
2021-04-29 13:33:45,93.2,0
2021-04-29 13:33:50,95.5,0
2021-04-29 13:33:55,98.5,0
2021-04-29 13:34:00,96.6,0
2021-04-29 13:34:05,97.7,0
2021-04-29 13:34:10,98.3,0
2021-04-29 13:34:15,98.1,0
2021-04-29 13:34:20,98.6,0
2021-04-29 13:34:25,101,0
2021-04-29 13:34:30,103,0
2021-04-29 13:34:35,102,0
2021-04-29 13:34:40,104,0
2021-04-29 13:34:45,105,0
2021-04-29 13:34:50,108,0
2021-04-29 13:34:55,111,0
2021-04-29 13:35:00,111,0
2021-04-29 13:35:05,114,0
2021-04-29 13:35:10,115,0
2021-04-29 13:35:15,114,0
2021-04-29 13:35:20,113,0
2021-04-29 13:35:25,112,0
2021-04-29 13:35:30,114,0
2021-04-29 13:35:35,117,0
2021-04-29 13:35:40,119,0
2021-04-29 13:35:45,119,0
2021-04-29 13:35:50,119,0
2021-04-29 13:35:55,124,0
2021-04-29 13:36:00,129,0
2021-04-29 13:36:05,128,0
2021-04-29 13:36:10,123,0
2021-04-29 13:36:15,124,0
2021-04-29 13:36:20,127,0
2021-04-29 13:36:25,128,0
2021-04-29 13:36:30,126,0
2021-04-29 13:36:35,127,0
2021-04-29 13:36:40,135,0
2021-04-29 13:36:45,133,0
2021-04-29 13:36:50,129,0
2021-04-29 13:36:55,132,0
2021-04-29 13:37:00,133,0
2021-04-29 13:37:05,132,0
2021-04-29 13:37:10,134,0
2021-04-29 13:37:15,143,0
2021-04-29 13:37:20,143,0
2021-04-29 13:37:25,145,0
2021-04-29 13:37:30,151,0
2021-04-29 13:37:35,146,0
2021-04-29 13:37:40,146,0
2021-04-29 13:37:45,145,0
2021-04-29 13:37:50,146,0
2021-04-29 13:37:55,152,0
2021-04-29 13:38:00,152,0
2021-04-29 13:38:05,149,0
2021-04-29 13:38:10,151,0
