"Time","requests","fails"
2021-06-01 20:31:10,220,0
2021-06-01 20:31:15,220,0
2021-06-01 20:31:20,220,0
2021-06-01 20:31:25,220,0
2021-06-01 20:31:30,0,0
2021-06-01 20:31:35,0,0
2021-06-01 20:31:40,0,0
2021-06-01 20:31:45,0.800,0
2021-06-01 20:31:50,1.22,0
2021-06-01 20:31:55,2.10,0
2021-06-01 20:32:00,3.40,0
2021-06-01 20:32:05,4.30,0
2021-06-01 20:32:10,5.50,0
2021-06-01 20:32:15,7.70,0
2021-06-01 20:32:20,8.10,0
2021-06-01 20:32:25,9,0
2021-06-01 20:32:30,9.40,0
2021-06-01 20:32:35,12.4,0
2021-06-01 20:32:40,13.6,0
2021-06-01 20:32:45,14.8,0
2021-06-01 20:32:50,13.9,0
2021-06-01 20:32:55,15.4,0
2021-06-01 20:33:00,16.5,0
2021-06-01 20:33:05,17.2,0
2021-06-01 20:33:10,18,0
2021-06-01 20:33:15,19,0
2021-06-01 20:33:20,22.7,0
2021-06-01 20:33:25,20.9,0
2021-06-01 20:33:30,22.3,0
2021-06-01 20:33:35,24.8,0
2021-06-01 20:33:40,23.3,0
2021-06-01 20:33:45,26.3,0
2021-06-01 20:33:50,26.9,0
2021-06-01 20:33:55,31.6,0
2021-06-01 20:34:00,31.4,0
2021-06-01 20:34:05,30.5,0
2021-06-01 20:34:10,34,0
2021-06-01 20:34:15,33.5,0
2021-06-01 20:34:20,29.4,0
2021-06-01 20:34:25,33.1,0
2021-06-01 20:34:30,35.9,0
2021-06-01 20:34:35,38.8,0
2021-06-01 20:34:40,37,0
2021-06-01 20:34:45,37.4,0
2021-06-01 20:34:50,42.9,0
2021-06-01 20:34:55,43.6,0
2021-06-01 20:35:00,44.6,0
2021-06-01 20:35:05,44.9,0
2021-06-01 20:35:10,46.2,0
2021-06-01 20:35:15,48.6,0
2021-06-01 20:35:20,49.4,0
2021-06-01 20:35:25,50.5,0
2021-06-01 20:35:30,53,0
2021-06-01 20:35:35,52.8,0
2021-06-01 20:35:40,50.9,0
2021-06-01 20:35:45,54.4,0
2021-06-01 20:35:50,56.2,0
2021-06-01 20:35:55,54.7,0
2021-06-01 20:36:00,54.9,0
2021-06-01 20:36:05,55.4,0
2021-06-01 20:36:10,60,0
2021-06-01 20:36:15,63.3,0
2021-06-01 20:36:20,61.1,0
2021-06-01 20:36:25,63.5,0
2021-06-01 20:36:30,64.1,0
2021-06-01 20:36:35,66.1,0
2021-06-01 20:36:40,66.9,0
2021-06-01 20:36:45,63.4,0
2021-06-01 20:36:50,66.9,0
2021-06-01 20:36:55,67.8,0
2021-06-01 20:37:00,66.8,0
2021-06-01 20:37:05,73.1,0
2021-06-01 20:37:10,76.4,0
2021-06-01 20:37:15,74.5,0
2021-06-01 20:37:20,75.9,0
2021-06-01 20:37:25,76.7,0
2021-06-01 20:37:30,76.4,0
2021-06-01 20:37:35,76.1,0
2021-06-01 20:37:40,75.6,0
2021-06-01 20:37:45,77.4,0
2021-06-01 20:37:50,79.6,0
2021-06-01 20:37:55,79.7,0
2021-06-01 20:38:00,83.5,0
2021-06-01 20:38:05,85.2,0
2021-06-01 20:38:10,82,0
2021-06-01 20:38:15,81.9,0
2021-06-01 20:38:20,85.4,0
2021-06-01 20:38:25,93.2,0
2021-06-01 20:38:30,93.1,0
2021-06-01 20:38:35,88,0
2021-06-01 20:38:40,90.5,0
2021-06-01 20:38:45,91.6,0
2021-06-01 20:38:50,94.9,0
2021-06-01 20:38:55,99.4,0
2021-06-01 20:39:00,96.4,0
2021-06-01 20:39:05,97.6,0
2021-06-01 20:39:10,98.9,0
2021-06-01 20:39:15,97.2,0
2021-06-01 20:39:20,97.3,0
2021-06-01 20:39:25,98.9,0
2021-06-01 20:39:30,105,0
2021-06-01 20:39:35,105,0
2021-06-01 20:39:40,100,0
2021-06-01 20:39:45,104,0
2021-06-01 20:39:50,107,0
2021-06-01 20:39:55,114,0
2021-06-01 20:40:00,112,0
2021-06-01 20:40:05,108,0
2021-06-01 20:40:10,110,0
2021-06-01 20:40:15,113,0
2021-06-01 20:40:20,111,0
2021-06-01 20:40:25,116,0
2021-06-01 20:40:30,121,0
2021-06-01 20:40:35,118,0
2021-06-01 20:40:40,115,0
2021-06-01 20:40:45,114,0
2021-06-01 20:40:50,116,0
2021-06-01 20:40:55,118,0
2021-06-01 20:41:00,119,0
2021-06-01 20:41:05,120,1.30
2021-06-01 20:41:10,81.8,19.9
2021-06-01 20:41:15,59.3,47.6
