"Time","requests","fail"
2021-07-06 10:16:20,226,0
2021-07-06 10:16:25,226,0
2021-07-06 10:16:30,226,0
2021-07-06 10:16:35,0,0
2021-07-06 10:16:40,1.25,0
2021-07-06 10:16:45,2,0
2021-07-06 10:16:50,2.50,0
2021-07-06 10:16:55,3.60,0
2021-07-06 10:17:00,4.80,0
2021-07-06 10:17:05,5.90,0
2021-07-06 10:17:10,7.30,0
2021-07-06 10:17:15,8.50,0
2021-07-06 10:17:20,9.80,0
2021-07-06 10:17:25,9.90,0
2021-07-06 10:17:30,9.80,0
2021-07-06 10:17:35,10.9,0
2021-07-06 10:17:40,13.9,0
2021-07-06 10:17:45,14.7,0
2021-07-06 10:17:50,15.5,0
2021-07-06 10:17:55,17.2,0
2021-07-06 10:18:00,17.8,0
2021-07-06 10:18:05,19.6,0
2021-07-06 10:18:10,21.2,0
2021-07-06 10:18:15,22.3,0
2021-07-06 10:18:20,23.7,0
2021-07-06 10:18:25,24.4,0
2021-07-06 10:18:30,24,0
2021-07-06 10:18:35,25.6,0
2021-07-06 10:18:40,26.6,0
2021-07-06 10:18:45,27,0
2021-07-06 10:18:50,27.8,0
2021-07-06 10:18:55,30.5,0
2021-07-06 10:19:00,34.1,0
2021-07-06 10:19:05,33.7,0
2021-07-06 10:19:10,34.1,0
2021-07-06 10:19:15,36.9,0
2021-07-06 10:19:20,34.5,0
2021-07-06 10:19:25,34.9,0
2021-07-06 10:19:30,37.4,0
2021-07-06 10:19:35,38.4,0
2021-07-06 10:19:40,39,0
2021-07-06 10:19:45,42.1,0
2021-07-06 10:19:50,43.1,0
2021-07-06 10:19:55,45.3,0
2021-07-06 10:20:00,44.3,0
2021-07-06 10:20:05,45.1,0
2021-07-06 10:20:10,48.7,0
2021-07-06 10:20:15,50.9,0
2021-07-06 10:20:20,50.1,0
2021-07-06 10:20:25,47.2,0
2021-07-06 10:20:30,47.3,0
2021-07-06 10:20:35,51.7,0
2021-07-06 10:20:40,51,0
2021-07-06 10:20:45,51.9,0
2021-07-06 10:20:50,53.8,0
2021-07-06 10:20:55,57.5,0
2021-07-06 10:21:00,58.6,0
2021-07-06 10:21:05,59.6,0
2021-07-06 10:21:10,61.9,0
2021-07-06 10:21:15,60.9,0
2021-07-06 10:21:20,59.4,0
2021-07-06 10:21:25,60.2,0
2021-07-06 10:21:30,63.2,0
2021-07-06 10:21:35,61.6,0
2021-07-06 10:21:40,66,0
2021-07-06 10:21:45,63.2,0
2021-07-06 10:21:50,67.5,0
2021-07-06 10:21:55,69.1,0
2021-07-06 10:22:00,69.8,0
2021-07-06 10:22:05,72.6,0
2021-07-06 10:22:10,76.4,0
2021-07-06 10:22:15,77.8,0
2021-07-06 10:22:20,76.6,0
2021-07-06 10:22:25,75.3,0
2021-07-06 10:22:30,80.1,0
2021-07-06 10:22:35,78.2,0
2021-07-06 10:22:40,75.1,0
2021-07-06 10:22:45,82.5,0
2021-07-06 10:22:50,82.2,0
2021-07-06 10:22:55,77.4,0
2021-07-06 10:23:00,83.8,0
2021-07-06 10:23:05,84.2,0
2021-07-06 10:23:10,84.6,0
2021-07-06 10:23:15,87.4,0
2021-07-06 10:23:20,89.1,0
2021-07-06 10:23:25,89.3,0
2021-07-06 10:23:30,90.7,0
2021-07-06 10:23:35,91.8,0
2021-07-06 10:23:40,90.8,0
2021-07-06 10:23:45,93.2,0
2021-07-06 10:23:50,94.4,0
2021-07-06 10:23:55,101,0
2021-07-06 10:24:00,95.7,0
2021-07-06 10:24:05,96.1,0
2021-07-06 10:24:10,100,0
2021-07-06 10:24:15,103,0
2021-07-06 10:24:20,105,0
2021-07-06 10:24:25,106,0
2021-07-06 10:24:30,106,0
2021-07-06 10:24:35,106,0
2021-07-06 10:24:40,107,0
2021-07-06 10:24:45,107,0
2021-07-06 10:24:50,106,0
2021-07-06 10:24:55,109,0
2021-07-06 10:25:00,110,0
2021-07-06 10:25:05,110,0
2021-07-06 10:25:10,111,0
2021-07-06 10:25:15,114,0
2021-07-06 10:25:20,115,0
2021-07-06 10:25:25,117,0
2021-07-06 10:25:30,120,0
2021-07-06 10:25:35,119,0
2021-07-06 10:25:40,119,0
2021-07-06 10:25:45,124,0
2021-07-06 10:25:50,118,0
2021-07-06 10:25:55,114,0
2021-07-06 10:26:00,120,0
2021-07-06 10:26:05,122,1.10
2021-07-06 10:26:10,122,1.10
2021-07-06 10:26:15,58,57.7
2021-07-06 10:26:20,48.7,48.7
2021-07-06 10:26:25,46.1,46.1
2021-07-06 10:26:30,55.1,55.1
2021-07-06 10:26:35,112,112
2021-07-06 10:26:40,90.8,90.8
2021-07-06 10:26:45,54.5,54.5
2021-07-06 10:26:50,63.1,63.1
2021-07-06 10:26:55,65,65
2021-07-06 10:27:00,109,109
2021-07-06 10:27:05,74.1,74.1
2021-07-06 10:27:10,59.9,59.9
2021-07-06 10:27:15,69.4,69.4
2021-07-06 10:27:20,69.5,69.5
2021-07-06 10:27:25,108,108
2021-07-06 10:27:30,137,137
2021-07-06 10:27:35,95.6,95.6
2021-07-06 10:27:40,67.6,67.6
2021-07-06 10:27:45,62.4,62.4
2021-07-06 10:27:50,72.4,72.4
2021-07-06 10:27:55,106,106
2021-07-06 10:28:00,158,158
2021-07-06 10:28:05,142,142
2021-07-06 10:28:10,140,140
2021-07-06 10:28:15,74.6,74.6
2021-07-06 10:28:20,60.6,60.6
2021-07-06 10:28:25,82,82
2021-07-06 10:28:30,70.3,70.3
2021-07-06 10:28:35,72.8,72.8
2021-07-06 10:28:40,78,78
2021-07-06 10:28:45,130,130
2021-07-06 10:28:50,140,140
2021-07-06 10:28:55,151,151
2021-07-06 10:29:00,154,154
2021-07-06 10:29:05,154,154
2021-07-06 10:29:10,154,154
2021-07-06 10:29:15,86.1,86.1
2021-07-06 10:29:20,61.5,61.5
2021-07-06 10:29:25,92.1,92.1
2021-07-06 10:29:30,76.9,76.9
2021-07-06 10:29:35,79.4,79.4
2021-07-06 10:29:40,82.9,82.9
2021-07-06 10:29:45,81.2,81.2
2021-07-06 10:29:50,83.6,83.6
2021-07-06 10:29:55,84.8,84.8
2021-07-06 10:30:00,83.5,83.5
2021-07-06 10:30:05,83.9,83.9
2021-07-06 10:30:10,83.5,83.5
2021-07-06 10:30:15,84,84
2021-07-06 10:30:20,85.4,85.4
2021-07-06 10:30:25,86.8,86.8
2021-07-06 10:30:30,86.1,86.1
2021-07-06 10:30:35,87.6,87.6
2021-07-06 10:30:40,90.3,90.3
2021-07-06 10:30:45,89.2,89.2
2021-07-06 10:30:50,88.4,88.4
2021-07-06 10:30:55,87.9,87.9
2021-07-06 10:31:00,91,91
2021-07-06 10:31:05,89.7,89.7
2021-07-06 10:31:10,91.6,91.6
2021-07-06 10:31:15,90.4,90.4
2021-07-06 10:31:20,89.9,89.9
2021-07-06 10:31:25,94.1,94.1
2021-07-06 10:31:30,95.1,95.1
2021-07-06 10:31:35,92.2,92.2
2021-07-06 10:31:40,93.6,93.6
2021-07-06 10:31:45,142,142
2021-07-06 10:31:50,113,113
2021-07-06 10:31:55,85.7,85.7
2021-07-06 10:32:00,102,102
2021-07-06 10:32:05,150,150
2021-07-06 10:32:10,113,113
2021-07-06 10:32:15,87,87
2021-07-06 10:32:20,98.4,98.4
2021-07-06 10:32:25,151,151
2021-07-06 10:32:30,117,117
2021-07-06 10:32:35,67.2,67.2
2021-07-06 10:32:40,108,108
2021-07-06 10:32:45,100,100
2021-07-06 10:32:50,148,148
2021-07-06 10:32:55,133,133
2021-07-06 10:33:00,81.9,81.9
2021-07-06 10:33:05,116,116
2021-07-06 10:33:10,103,103
2021-07-06 10:33:15,107,107
2021-07-06 10:33:20,101,101
2021-07-06 10:33:25,105,105
2021-07-06 10:33:30,104,104
2021-07-06 10:33:35,105,105
2021-07-06 10:33:40,104,104
2021-07-06 10:33:45,103,103
2021-07-06 10:33:50,106,106
2021-07-06 10:33:55,108,108
2021-07-06 10:34:00,108,108
2021-07-06 10:34:05,105,105
2021-07-06 10:34:10,104,104
2021-07-06 10:34:15,108,108
2021-07-06 10:34:20,104,104
2021-07-06 10:34:25,104,104
2021-07-06 10:34:30,104,104
2021-07-06 10:34:35,104,104
2021-07-06 10:34:40,107,107
2021-07-06 10:34:45,106,106
2021-07-06 10:34:50,105,105
2021-07-06 10:34:55,104,104
2021-07-06 10:35:00,105,105
2021-07-06 10:35:05,104,104
2021-07-06 10:35:10,104,104
2021-07-06 10:35:15,104,104
2021-07-06 10:35:20,102,102
2021-07-06 10:35:25,170,170
2021-07-06 10:35:30,123,123
2021-07-06 10:35:35,126,126
2021-07-06 10:35:40,109,109
2021-07-06 10:35:45,106,106
2021-07-06 10:35:50,99.2,99.2
2021-07-06 10:35:55,106,106
2021-07-06 10:36:00,105,105
2021-07-06 10:36:05,89.6,89.6
2021-07-06 10:36:10,125,125
2021-07-06 10:36:15,76.1,76.1
2021-07-06 10:36:20,111,107
2021-07-06 10:36:25,127,73.1
2021-07-06 10:36:30,125,18
2021-07-06 10:36:35,109,3.90
2021-07-06 10:36:40,115,4.80
2021-07-06 10:36:45,114,3
2021-07-06 10:36:50,114,20.3
2021-07-06 10:36:55,117,19.9
2021-07-06 10:37:00,115,7
2021-07-06 10:37:05,114,8.30
2021-07-06 10:37:10,114,12.5
2021-07-06 10:37:15,116,13.4
2021-07-06 10:37:20,114,3
2021-07-06 10:37:25,112,5.70
2021-07-06 10:37:30,113,24.6
2021-07-06 10:37:35,114,35.4
2021-07-06 10:37:40,115,30.8
2021-07-06 10:37:45,115,18.8
2021-07-06 10:37:50,113,5.70
2021-07-06 10:37:55,112,4.70
2021-07-06 10:38:00,113,13.8
2021-07-06 10:38:05,115,18
2021-07-06 10:38:10,115,7.50
2021-07-06 10:38:15,115,5.90
2021-07-06 10:38:20,118,6
2021-07-06 10:38:25,116,4.20
2021-07-06 10:38:30,115,3.40
2021-07-06 10:38:35,117,4.40
2021-07-06 10:38:40,116,16.1
2021-07-06 10:38:45,114,18.3
2021-07-06 10:38:50,116,8.10
2021-07-06 10:38:55,115,5.80
2021-07-06 10:39:00,113,9.60
2021-07-06 10:39:05,113,8.50
2021-07-06 10:39:10,113,10.4
2021-07-06 10:39:15,114,9
2021-07-06 10:39:20,111,8.40
2021-07-06 10:39:25,115,21.3
2021-07-06 10:39:30,118,17
2021-07-06 10:39:35,114,6
2021-07-06 10:39:40,114,9.60
2021-07-06 10:39:45,116,13.5
2021-07-06 10:39:50,113,10
2021-07-06 10:39:55,114,8.90
2021-07-06 10:40:00,115,6.30
2021-07-06 10:40:05,114,3.30
2021-07-06 10:40:10,117,4.70
2021-07-06 10:40:15,113,2.80
2021-07-06 10:40:20,115,4.40
2021-07-06 10:40:25,115,4.60
2021-07-06 10:40:30,115,5.40
2021-07-06 10:40:35,116,9.50
2021-07-06 10:40:40,115,9.30
2021-07-06 10:40:45,116,4.50
2021-07-06 10:40:50,117,4.20
2021-07-06 10:40:55,117,4.40
2021-07-06 10:41:00,117,5.60
2021-07-06 10:41:05,119,9.40
2021-07-06 10:41:10,120,12.2
2021-07-06 10:41:15,159,52.8
2021-07-06 10:41:20,196,47.6
2021-07-06 10:41:25,193,0
2021-07-06 10:41:30,195,0
2021-07-06 10:41:35,198,0
2021-07-06 10:41:40,199,0
2021-07-06 10:41:45,199,0
2021-07-06 10:41:50,197,0
2021-07-06 10:41:55,198,0
2021-07-06 10:42:00,201,0
2021-07-06 10:42:05,198,0
2021-07-06 10:42:10,199,0
2021-07-06 10:42:15,197,0
2021-07-06 10:42:20,198,0
2021-07-06 10:42:25,201,0
2021-07-06 10:42:30,200,0
2021-07-06 10:42:35,199,0
2021-07-06 10:42:40,199,0
2021-07-06 10:42:45,200,0
2021-07-06 10:42:50,203,0
2021-07-06 10:42:55,204,0
2021-07-06 10:43:00,200,0
2021-07-06 10:43:05,197,0
2021-07-06 10:43:10,199,0
2021-07-06 10:43:15,207,0
2021-07-06 10:43:20,204,0
2021-07-06 10:43:25,203,0
2021-07-06 10:43:30,202,0
2021-07-06 10:43:35,200,0
2021-07-06 10:43:40,205,0
2021-07-06 10:43:45,220,73.6
2021-07-06 10:43:50,231,189
2021-07-06 10:43:55,200,141
2021-07-06 10:44:00,185,47.8
2021-07-06 10:44:05,198,2.50
2021-07-06 10:44:10,199,0
2021-07-06 10:44:15,199,0
2021-07-06 10:44:20,202,0
2021-07-06 10:44:25,199,0
2021-07-06 10:44:30,196,0
2021-07-06 10:44:35,193,0
2021-07-06 10:44:40,193,0
2021-07-06 10:44:45,199,0
2021-07-06 10:44:50,198,0
2021-07-06 10:44:55,193,0
2021-07-06 10:45:00,194,0
2021-07-06 10:45:05,191,0
2021-07-06 10:45:10,193,0
2021-07-06 10:45:15,199,0
2021-07-06 10:45:20,198,0
2021-07-06 10:45:25,195,0
2021-07-06 10:45:30,192,0
2021-07-06 10:45:35,192,0
2021-07-06 10:45:40,191,0
2021-07-06 10:45:45,192,0
2021-07-06 10:45:50,194,0
2021-07-06 10:45:55,197,0
2021-07-06 10:46:00,193,0
2021-07-06 10:46:05,194,0
2021-07-06 10:46:10,196,0
2021-07-06 10:46:15,198,0
2021-07-06 10:46:20,196,0
2021-07-06 10:46:25,193,0
2021-07-06 10:46:30,194,0
2021-07-06 10:46:35,196,0
2021-07-06 10:46:40,194,0
2021-07-06 10:46:45,192,0
2021-07-06 10:46:50,192,0
2021-07-06 10:46:55,193,0
2021-07-06 10:47:00,194,0
2021-07-06 10:47:05,194,0
2021-07-06 10:47:10,196,0
2021-07-06 10:47:15,196,0
2021-07-06 10:47:20,198,0
2021-07-06 10:47:25,199,0
2021-07-06 10:47:30,196,0
2021-07-06 10:47:35,194,0
2021-07-06 10:47:40,194,0
2021-07-06 10:47:45,195,0
2021-07-06 10:47:50,193,0
2021-07-06 10:47:55,190,0
2021-07-06 10:48:00,191,0
2021-07-06 10:48:05,193,0
2021-07-06 10:48:10,195,0
2021-07-06 10:48:15,189,0
2021-07-06 10:48:20,191,0
2021-07-06 10:48:25,193,0
2021-07-06 10:48:30,193,0
2021-07-06 10:48:35,193,0
2021-07-06 10:48:40,195,0
2021-07-06 10:48:45,197,1.30
2021-07-06 10:48:50,246,43.2
2021-07-06 10:48:55,284,41.9
2021-07-06 10:49:00,286,0
2021-07-06 10:49:05,290,0.100
2021-07-06 10:49:10,290,0.100
2021-07-06 10:49:15,296,0
2021-07-06 10:49:20,293,0
2021-07-06 10:49:25,293,0
