"Time","P95"
2021-07-06 10:16:20,
2021-07-06 10:16:25,
2021-07-06 10:16:30,
2021-07-06 10:16:35,24
2021-07-06 10:16:40,24
2021-07-06 10:16:45,17
2021-07-06 10:16:50,17
2021-07-06 10:16:55,15
2021-07-06 10:17:00,10
2021-07-06 10:17:05,15
2021-07-06 10:17:10,16
2021-07-06 10:17:15,9
2021-07-06 10:17:20,9
2021-07-06 10:17:25,9
2021-07-06 10:17:30,9
2021-07-06 10:17:35,9
2021-07-06 10:17:40,8
2021-07-06 10:17:45,9
2021-07-06 10:17:50,13
2021-07-06 10:17:55,15
2021-07-06 10:18:00,15
2021-07-06 10:18:05,15
2021-07-06 10:18:10,15
2021-07-06 10:18:15,9
2021-07-06 10:18:20,14
2021-07-06 10:18:25,10
2021-07-06 10:18:30,9
2021-07-06 10:18:35,9
2021-07-06 10:18:40,9
2021-07-06 10:18:45,8
2021-07-06 10:18:50,9
2021-07-06 10:18:55,13
2021-07-06 10:19:00,8
2021-07-06 10:19:05,9
2021-07-06 10:19:10,9
2021-07-06 10:19:15,9
2021-07-06 10:19:20,9
2021-07-06 10:19:25,10
2021-07-06 10:19:30,9
2021-07-06 10:19:35,8
2021-07-06 10:19:40,8
2021-07-06 10:19:45,9
2021-07-06 10:19:50,12
2021-07-06 10:19:55,10
2021-07-06 10:20:00,9
2021-07-06 10:20:05,12
2021-07-06 10:20:10,15
2021-07-06 10:20:15,9
2021-07-06 10:20:20,10
2021-07-06 10:20:25,14
2021-07-06 10:20:30,9
2021-07-06 10:20:35,9
2021-07-06 10:20:40,13
2021-07-06 10:20:45,9
2021-07-06 10:20:50,11
2021-07-06 10:20:55,15
2021-07-06 10:21:00,15
2021-07-06 10:21:05,13
2021-07-06 10:21:10,9
2021-07-06 10:21:15,9
2021-07-06 10:21:20,9
2021-07-06 10:21:25,11
2021-07-06 10:21:30,10
2021-07-06 10:21:35,10
2021-07-06 10:21:40,9
2021-07-06 10:21:45,9
2021-07-06 10:21:50,10
2021-07-06 10:21:55,10
2021-07-06 10:22:00,10
2021-07-06 10:22:05,11
2021-07-06 10:22:10,15
2021-07-06 10:22:15,11
2021-07-06 10:22:20,9
2021-07-06 10:22:25,9
2021-07-06 10:22:30,8
2021-07-06 10:22:35,9
2021-07-06 10:22:40,14
2021-07-06 10:22:45,11
2021-07-06 10:22:50,12
2021-07-06 10:22:55,11
2021-07-06 10:23:00,11
2021-07-06 10:23:05,15
2021-07-06 10:23:10,14
2021-07-06 10:23:15,10
2021-07-06 10:23:20,9
2021-07-06 10:23:25,11
2021-07-06 10:23:30,12
2021-07-06 10:23:35,11
2021-07-06 10:23:40,16
2021-07-06 10:23:45,16
2021-07-06 10:23:50,15
2021-07-06 10:23:55,15
2021-07-06 10:24:00,11
2021-07-06 10:24:05,10
2021-07-06 10:24:10,10
2021-07-06 10:24:15,14
2021-07-06 10:24:20,14
2021-07-06 10:24:25,10
2021-07-06 10:24:30,11
2021-07-06 10:24:35,11
2021-07-06 10:24:40,15
2021-07-06 10:24:45,16
2021-07-06 10:24:50,14
2021-07-06 10:24:55,14
2021-07-06 10:25:00,12
2021-07-06 10:25:05,11
2021-07-06 10:25:10,11
2021-07-06 10:25:15,10
2021-07-06 10:25:20,10
2021-07-06 10:25:25,14
2021-07-06 10:25:30,11
2021-07-06 10:25:35,11
2021-07-06 10:25:40,14
2021-07-06 10:25:45,13
2021-07-06 10:25:50,10
2021-07-06 10:25:55,10
2021-07-06 10:26:00,19
2021-07-06 10:26:05,24
2021-07-06 10:26:10,22
2021-07-06 10:26:15,5000
2021-07-06 10:26:20,5000
2021-07-06 10:26:25,9600
2021-07-06 10:26:30,9300
2021-07-06 10:26:35,5000
2021-07-06 10:26:40,5000
2021-07-06 10:26:45,5000
2021-07-06 10:26:50,5000
2021-07-06 10:26:55,5000
2021-07-06 10:27:00,5000
2021-07-06 10:27:05,5000
2021-07-06 10:27:10,5000
2021-07-06 10:27:15,5000
2021-07-06 10:27:20,5000
2021-07-06 10:27:25,5000
2021-07-06 10:27:30,5000
2021-07-06 10:27:35,5000
2021-07-06 10:27:40,5000
2021-07-06 10:27:45,5000
2021-07-06 10:27:50,5000
2021-07-06 10:27:55,5000
2021-07-06 10:28:00,8
2021-07-06 10:28:05,4
2021-07-06 10:28:10,5000
2021-07-06 10:28:15,5000
2021-07-06 10:28:20,5000
2021-07-06 10:28:25,5000
2021-07-06 10:28:30,5000
2021-07-06 10:28:35,5000
2021-07-06 10:28:40,5000
2021-07-06 10:28:45,5000
2021-07-06 10:28:50,5000
2021-07-06 10:28:55,4
2021-07-06 10:29:00,3
2021-07-06 10:29:05,4
2021-07-06 10:29:10,5000
2021-07-06 10:29:15,5000
2021-07-06 10:29:20,5000
2021-07-06 10:29:25,5000
2021-07-06 10:29:30,5000
2021-07-06 10:29:35,5000
2021-07-06 10:29:40,5000
2021-07-06 10:29:45,5000
2021-07-06 10:29:50,5000
2021-07-06 10:29:55,5000
2021-07-06 10:30:00,5000
2021-07-06 10:30:05,5000
2021-07-06 10:30:10,5000
2021-07-06 10:30:15,5000
2021-07-06 10:30:20,5000
2021-07-06 10:30:25,5000
2021-07-06 10:30:30,5000
2021-07-06 10:30:35,5000
2021-07-06 10:30:40,5000
2021-07-06 10:30:45,5000
2021-07-06 10:30:50,5000
2021-07-06 10:30:55,5000
2021-07-06 10:31:00,5000
2021-07-06 10:31:05,5000
2021-07-06 10:31:10,5000
2021-07-06 10:31:15,5000
2021-07-06 10:31:20,5000
2021-07-06 10:31:25,5000
2021-07-06 10:31:30,5000
2021-07-06 10:31:35,5000
2021-07-06 10:31:40,5000
