"Time","requests","fail"
2021-04-30 12:26:00,0,0
2021-04-30 12:26:05,0,0
2021-04-30 12:26:10,0,0
2021-04-30 12:26:15,0,0
2021-04-30 12:26:20,1,0
2021-04-30 12:26:25,2.20,0
2021-04-30 12:26:30,3,0
2021-04-30 12:26:35,5.10,0
2021-04-30 12:26:40,5,0
2021-04-30 12:26:45,5.80,0
2021-04-30 12:26:50,7.50,0
2021-04-30 12:26:55,8.10,0
2021-04-30 12:27:00,8.60,0
2021-04-30 12:27:05,10,0
2021-04-30 12:27:10,9.90,2.60
2021-04-30 12:27:15,7.40,4.90
2021-04-30 12:27:20,4.70,4.70
2021-04-30 12:27:25,6.10,6.10
2021-04-30 12:27:30,9,9
2021-04-30 12:27:35,15.5,15.5
2021-04-30 12:27:40,17.6,17.6
2021-04-30 12:27:45,19.5,19.5
2021-04-30 12:27:50,19.6,19.6
2021-04-30 12:27:55,20,20
2021-04-30 12:28:00,23.2,23.2
2021-04-30 12:28:05,24.8,24.8
2021-04-30 12:28:10,24.1,24.1
2021-04-30 12:28:15,25.1,25.1
2021-04-30 12:28:20,25.7,25.7
2021-04-30 12:28:25,27,27
2021-04-30 12:28:30,27,27
2021-04-30 12:28:35,28.2,28.2
2021-04-30 12:28:40,29.4,29.4
2021-04-30 12:28:45,30.3,30.3
2021-04-30 12:28:50,29.4,29.4
2021-04-30 12:28:55,31,31
2021-04-30 12:29:00,34.4,34.4
2021-04-30 12:29:05,35.9,35.9
2021-04-30 12:29:10,35.1,35.1
2021-04-30 12:29:15,37.9,37.9
2021-04-30 12:29:20,39.1,39.1
2021-04-30 12:29:25,38.1,38.1
2021-04-30 12:29:30,39.5,39.5
2021-04-30 12:29:35,44.1,44.1
2021-04-30 12:29:40,42,42
2021-04-30 12:29:45,44.1,44.1
2021-04-30 12:29:50,45.4,45.4
2021-04-30 12:29:55,44.3,44.3
2021-04-30 12:30:00,43.6,43.6
2021-04-30 12:30:05,44,44
2021-04-30 12:30:10,47.2,47.2
2021-04-30 12:30:15,49.7,49.7
2021-04-30 12:30:20,51.2,51.2
2021-04-30 12:30:25,50.8,50.8
2021-04-30 12:30:30,51.7,51.7
2021-04-30 12:30:35,54.8,54.8
2021-04-30 12:30:40,53,53
2021-04-30 12:30:45,54,54
2021-04-30 12:30:50,54.5,54.5
2021-04-30 12:30:55,54.3,54.3
2021-04-30 12:31:00,55.9,55.9
2021-04-30 12:31:05,55.8,55.8
2021-04-30 12:31:10,55.9,55.9
2021-04-30 12:31:15,57.9,57.9
2021-04-30 12:31:20,57,57
2021-04-30 12:31:25,60.8,60.8
2021-04-30 12:31:30,59.3,59.3
2021-04-30 12:31:35,61.4,61.4
2021-04-30 12:31:40,62.6,62.6
2021-04-30 12:31:45,59.2,59.2
2021-04-30 12:31:50,58.5,58.5
2021-04-30 12:31:55,63.6,63.6
2021-04-30 12:32:00,61.1,61.1
2021-04-30 12:32:05,60.6,60.6
2021-04-30 12:32:10,33.7,33.7
2021-04-30 12:32:15,29.8,29.8
2021-04-30 12:32:20,41.3,41.3
2021-04-30 12:32:25,63.7,63.7
2021-04-30 12:32:30,84,83.1
2021-04-30 12:32:35,73.8,65.2
2021-04-30 12:32:40,66.4,19.8
2021-04-30 12:32:45,62.7,0
2021-04-30 12:32:50,57.3,0
2021-04-30 12:32:55,63.1,0.100
2021-04-30 12:33:00,64,0
2021-04-30 12:33:05,62.5,0
2021-04-30 12:33:10,73.5,0
2021-04-30 12:33:15,69.9,0
2021-04-30 12:33:20,70.2,0
2021-04-30 12:33:25,57.7,0.700
2021-04-30 12:33:30,60.6,0.800
2021-04-30 12:33:35,64.4,1.40
2021-04-30 12:33:40,69.3,3
2021-04-30 12:33:45,71.3,2.10
2021-04-30 12:33:50,73.2,0.600
2021-04-30 12:33:55,68.6,0.600
2021-04-30 12:34:00,71.4,0.400
2021-04-30 12:34:05,70.3,0
2021-04-30 12:34:10,70.2,1
2021-04-30 12:34:15,69.1,1.10
2021-04-30 12:34:20,71.6,2.10
2021-04-30 12:34:25,66.4,3.50
2021-04-30 12:34:30,62.8,1.70
2021-04-30 12:34:35,69,1.20
2021-04-30 12:34:40,73.1,1.10
2021-04-30 12:34:45,73.4,0.500
2021-04-30 12:34:50,71.9,0.500
2021-04-30 12:34:55,60.2,2.60
2021-04-30 12:35:00,65.8,6.80
2021-04-30 12:35:05,65.5,5.50
2021-04-30 12:35:10,68.9,2.70
2021-04-30 12:35:15,77.4,1.90
2021-04-30 12:35:20,77.6,1.30
2021-04-30 12:35:25,69.9,3.30
2021-04-30 12:35:30,65.8,3.60
2021-04-30 12:35:35,66.8,7.20
2021-04-30 12:35:40,78.8,13
2021-04-30 12:35:45,82.3,8.80
2021-04-30 12:35:50,76.9,2.70
2021-04-30 12:35:55,67,1.70
2021-04-30 12:36:00,66.5,3.90
2021-04-30 12:36:05,72.3,7.30
2021-04-30 12:36:10,73,7.50
2021-04-30 12:36:15,77.8,4.90
2021-04-30 12:36:20,75.4,4.30
2021-04-30 12:36:25,68.5,5.80
2021-04-30 12:36:30,66.7,9
2021-04-30 12:36:35,69.3,10.6
2021-04-30 12:36:40,70.2,19.8
2021-04-30 12:36:45,71.7,20.1
2021-04-30 12:36:50,78,14.7
2021-04-30 12:36:55,75.6,8.60
2021-04-30 12:37:00,71,28.9
2021-04-30 12:37:05,71,46.8
2021-04-30 12:37:10,75.2,33.1
2021-04-30 12:37:15,70.1,21.5
2021-04-30 12:37:20,77,23.8
2021-04-30 12:37:25,76.7,18.2
2021-04-30 12:37:30,74.9,17.8
2021-04-30 12:37:35,73.3,23.1
2021-04-30 12:37:40,75.8,34.2
2021-04-30 12:37:45,73.4,38.5
2021-04-30 12:37:50,75.1,38.3
2021-04-30 12:37:55,75.6,37.4
2021-04-30 12:38:00,76.8,38.9
2021-04-30 12:38:05,78.5,46.6
2021-04-30 12:38:10,78.5,58.7
2021-04-30 12:38:15,80.4,48.8
2021-04-30 12:38:20,79.8,40.1
2021-04-30 12:38:25,76.8,48.4
2021-04-30 12:38:30,77.2,61.9
2021-04-30 12:38:35,80,67.6
2021-04-30 12:38:40,78.3,57.5
2021-04-30 12:38:45,80.9,40.9
2021-04-30 12:38:50,83.3,33.9
2021-04-30 12:38:55,79.4,45.7
2021-04-30 12:39:00,77.3,46.2
2021-04-30 12:39:05,79.9,52.4
2021-04-30 12:39:10,84.5,65.1
2021-04-30 12:39:15,84.4,63.1
2021-04-30 12:39:20,84.2,60
2021-04-30 12:39:25,87.9,65.9
2021-04-30 12:39:30,83.2,67.7
2021-04-30 12:39:35,86.2,74.3
2021-04-30 12:39:40,85.9,72.5
2021-04-30 12:39:45,88,64.7
2021-04-30 12:39:50,87.2,62.7
2021-04-30 12:39:55,87.2,70.5
2021-04-30 12:40:00,84.4,70.8
2021-04-30 12:40:05,88.5,75.4
2021-04-30 12:40:10,61.3,53.4
2021-04-30 12:40:15,77.8,76.2
2021-04-30 12:40:20,112,112
2021-04-30 12:40:25,83.3,83.3
2021-04-30 12:40:30,146,60.5
2021-04-30 12:40:35,179,15.6
2021-04-30 12:40:40,166,0
2021-04-30 12:40:45,173,0
2021-04-30 12:40:50,170,0
2021-04-30 12:40:55,172,0
2021-04-30 12:41:00,174,0
2021-04-30 12:41:05,167,0
2021-04-30 12:41:10,169,0
2021-04-30 12:41:15,171,0
2021-04-30 12:41:20,165,0
2021-04-30 12:41:25,165,0
2021-04-30 12:41:30,168,0
2021-04-30 12:41:35,169,0
2021-04-30 12:41:40,169,0
2021-04-30 12:41:45,173,0
2021-04-30 12:41:50,172,0
2021-04-30 12:41:55,170,0
2021-04-30 12:42:00,168,0
2021-04-30 12:42:05,168,0
2021-04-30 12:42:10,166,0
2021-04-30 12:42:15,173,0
2021-04-30 12:42:20,174,0
2021-04-30 12:42:25,173,0
2021-04-30 12:42:30,171,0
2021-04-30 12:42:35,170,0
2021-04-30 12:42:40,171,0
2021-04-30 12:42:45,174,0
2021-04-30 12:42:50,169,0
2021-04-30 12:42:55,169,0
2021-04-30 12:43:00,172,0
2021-04-30 12:43:05,173,0
2021-04-30 12:43:10,169,0
2021-04-30 12:43:15,177,0
2021-04-30 12:43:20,177,0
2021-04-30 12:43:25,175,0
2021-04-30 12:43:30,169,0
2021-04-30 12:43:35,167,0
2021-04-30 12:43:40,165,0
2021-04-30 12:43:45,176,0
2021-04-30 12:43:50,176,0
2021-04-30 12:43:55,171,0
2021-04-30 12:44:00,169,0
2021-04-30 12:44:05,168,0
2021-04-30 12:44:10,166,0
2021-04-30 12:44:15,170,0
2021-04-30 12:44:20,174,0
2021-04-30 12:44:25,166,0
2021-04-30 12:44:30,169,0
2021-04-30 12:44:35,168,0
2021-04-30 12:44:40,175,0
2021-04-30 12:44:45,171,0
2021-04-30 12:44:50,175,0
2021-04-30 12:44:55,174,0
2021-04-30 12:45:00,168,0
2021-04-30 12:45:05,168,0
2021-04-30 12:45:10,165,0
2021-04-30 12:45:15,170,0
