"Time","requests","fails"
2021-06-03 16:04:15,0,0
2021-06-03 16:04:20,0,0
2021-06-03 16:04:25,0,0
2021-06-03 16:04:30,0,0
2021-06-03 16:04:35,0,0
2021-06-03 16:04:40,0,0
2021-06-03 16:04:45,0,0
2021-06-03 16:04:50,0.800,0
2021-06-03 16:04:55,1.50,0.800
2021-06-03 16:05:00,1.80,1.50
2021-06-03 16:05:05,1.60,1.60
2021-06-03 16:05:10,2.40,2.40
2021-06-03 16:05:15,4.50,4.50
2021-06-03 16:05:20,6.80,6.80
2021-06-03 16:05:25,7.80,7.80
2021-06-03 16:05:30,8.40,7
2021-06-03 16:05:35,9.30,3.30
2021-06-03 16:05:40,11.3,0
2021-06-03 16:05:45,12.7,0
2021-06-03 16:05:50,13.1,0
2021-06-03 16:05:55,13.5,0
2021-06-03 16:06:00,14.4,0
2021-06-03 16:06:05,15.4,0
2021-06-03 16:06:10,15.1,0
2021-06-03 16:06:15,14.4,0
2021-06-03 16:06:20,15.9,0
2021-06-03 16:06:25,19.1,0
2021-06-03 16:06:30,17.1,0
2021-06-03 16:06:35,18,0
2021-06-03 16:06:40,18.7,0
2021-06-03 16:06:45,18.4,0
2021-06-03 16:06:50,20.2,0
2021-06-03 16:06:55,19.9,0
2021-06-03 16:07:00,21.9,0
2021-06-03 16:07:05,21.1,0
2021-06-03 16:07:10,20.4,0
2021-06-03 16:07:15,20.9,0
2021-06-03 16:07:20,19.6,0
2021-06-03 16:07:25,22.8,0.100
2021-06-03 16:07:30,19,0.100
2021-06-03 16:07:35,21.6,0.100
2021-06-03 16:07:40,22.3,0.100
2021-06-03 16:07:45,19.8,0.900
2021-06-03 16:07:50,24.2,1.80
2021-06-03 16:07:55,25.2,0.900
2021-06-03 16:08:00,22.2,0.800
2021-06-03 16:08:05,22.3,1.70
2021-06-03 16:08:10,22.9,3.20
2021-06-03 16:08:15,22.5,3.50
2021-06-03 16:08:20,25.3,2.70
2021-06-03 16:08:25,24.8,1.90
2021-06-03 16:08:30,24.4,4.70
2021-06-03 16:08:35,24.9,7.80
2021-06-03 16:08:40,25.2,7.90
2021-06-03 16:08:45,25.7,6
2021-06-03 16:08:50,25.3,2.10
2021-06-03 16:08:55,26.4,4.60
2021-06-03 16:09:00,26.7,9.40
2021-06-03 16:09:05,26.8,11.9
2021-06-03 16:09:10,27.6,12.7
2021-06-03 16:09:15,26.5,10.8
2021-06-03 16:09:20,17.1,6.50
2021-06-03 16:09:25,29.4,29.4
2021-06-03 16:09:30,24.8,24.8
2021-06-03 16:09:35,34.5,34.5
2021-06-03 16:09:40,43.6,26
2021-06-03 16:09:45,47.8,7.60
2021-06-03 16:09:50,54.2,0.300
2021-06-03 16:09:55,52.5,0
2021-06-03 16:10:00,55,0
2021-06-03 16:10:05,50.9,0
2021-06-03 16:10:10,51.9,0
2021-06-03 16:10:15,56.6,0
2021-06-03 16:10:20,57,0
2021-06-03 16:10:25,51.5,0
2021-06-03 16:10:30,48.5,0
2021-06-03 16:10:35,51.1,0
2021-06-03 16:10:40,50.9,0
2021-06-03 16:10:45,51.3,0
2021-06-03 16:10:50,53,0
2021-06-03 16:10:55,51,0
2021-06-03 16:11:00,54.5,0
2021-06-03 16:11:05,53.5,0
2021-06-03 16:11:10,54,0
2021-06-03 16:11:15,58,0
2021-06-03 16:11:20,54.8,0
2021-06-03 16:11:25,55.6,0
2021-06-03 16:11:30,57.7,0
2021-06-03 16:11:35,57.8,0
2021-06-03 16:11:40,51.8,0
2021-06-03 16:11:45,58.8,0
2021-06-03 16:11:50,63.5,0
2021-06-03 16:11:55,53.7,0
2021-06-03 16:12:00,53.3,0.100
2021-06-03 16:12:05,55.8,0.500
2021-06-03 16:12:10,56,0.800
2021-06-03 16:12:15,58.7,0.600
2021-06-03 16:12:20,60.6,0.200
2021-06-03 16:12:25,54.8,0.500
2021-06-03 16:12:30,57.1,0.900
2021-06-03 16:12:35,55.9,0.600
2021-06-03 16:12:40,57.9,0.400
2021-06-03 16:12:45,57.8,0.500
2021-06-03 16:12:50,58.5,0.600
2021-06-03 16:12:55,58.3,0.900
2021-06-03 16:13:00,56.7,1.30
2021-06-03 16:13:05,57.1,1.40
2021-06-03 16:13:10,53.9,1.40
2021-06-03 16:13:15,58.3,2.60
2021-06-03 16:13:20,66,2
2021-06-03 16:13:25,62.3,2.80
2021-06-03 16:13:30,60.4,4.60
2021-06-03 16:13:35,57.5,8.30
2021-06-03 16:13:40,51.1,9
2021-06-03 16:13:45,60.5,6.50
2021-06-03 16:13:50,65.7,5.50
2021-06-03 16:13:55,61.7,4.30
2021-06-03 16:14:00,57,7.70
