"Time","P50","P95"
2021-06-03 16:04:15,0,0
2021-06-03 16:04:20,0,0
2021-06-03 16:04:25,0,0
2021-06-03 16:04:30,0,0
2021-06-03 16:04:35,0,0
2021-06-03 16:04:40,0,0
2021-06-03 16:04:45,16,16
2021-06-03 16:04:50,11,130
2021-06-03 16:04:55,1,130
2021-06-03 16:05:00,2,5000
2021-06-03 16:05:05,5000,5000
2021-06-03 16:05:10,5000,5000
2021-06-03 16:05:15,5,5000
2021-06-03 16:05:20,3,3000
2021-06-03 16:05:25,3,2500
2021-06-03 16:05:30,5,1200
2021-06-03 16:05:35,200,690
2021-06-03 16:05:40,450,990
2021-06-03 16:05:45,380,910
2021-06-03 16:05:50,390,770
2021-06-03 16:05:55,490,880
2021-06-03 16:06:00,730,1600
2021-06-03 16:06:05,790,1500
2021-06-03 16:06:10,550,1100
2021-06-03 16:06:15,760,2100
2021-06-03 16:06:20,1400,2400
2021-06-03 16:06:25,1200,2000
2021-06-03 16:06:30,1200,2100
2021-06-03 16:06:35,1600,2800
2021-06-03 16:06:40,1400,2600
2021-06-03 16:06:45,1400,2200
2021-06-03 16:06:50,1500,2300
2021-06-03 16:06:55,1800,3000
2021-06-03 16:07:00,1900,3100
2021-06-03 16:07:05,1600,2600
2021-06-03 16:07:10,2000,3200
2021-06-03 16:07:15,2300,3500
2021-06-03 16:07:20,2700,4200
2021-06-03 16:07:25,2700,4200
2021-06-03 16:07:30,3000,4600
2021-06-03 16:07:35,3400,4900
2021-06-03 16:07:40,3300,5000
2021-06-03 16:07:45,3500,5300
2021-06-03 16:07:50,3400,5300
2021-06-03 16:07:55,3100,5000
2021-06-03 16:08:00,3600,5600
2021-06-03 16:08:05,4000,5700
2021-06-03 16:08:10,4100,5700
2021-06-03 16:08:15,4100,5600
2021-06-03 16:08:20,3900,5600
2021-06-03 16:08:25,3900,5100
2021-06-03 16:08:30,5000,6500
2021-06-03 16:08:35,5000,6800
2021-06-03 16:08:40,4600,6500
2021-06-03 16:08:45,4400,6100
2021-06-03 16:08:50,4400,6200
2021-06-03 16:08:55,4800,6800
2021-06-03 16:09:00,5000,7000
2021-06-03 16:09:05,5000,7100
2021-06-03 16:09:10,5000,7800
2021-06-03 16:09:15,5000,7900
2021-06-03 16:09:20,5500,9700
2021-06-03 16:09:25,5000,9500
2021-06-03 16:09:30,5000,5000
2021-06-03 16:09:35,5000,5000
2021-06-03 16:09:40,2400,5200
2021-06-03 16:09:45,1700,5200
2021-06-03 16:09:50,1300,2200
2021-06-03 16:09:55,1200,2100
2021-06-03 16:10:00,1400,2200
2021-06-03 16:10:05,1600,2600
2021-06-03 16:10:10,1600,2500
2021-06-03 16:10:15,1300,2100
2021-06-03 16:10:20,1300,2200
2021-06-03 16:10:25,1900,2900
2021-06-03 16:10:30,2500,3900
2021-06-03 16:10:35,2700,4000
2021-06-03 16:10:40,2400,3700
2021-06-03 16:10:45,2300,3400
2021-06-03 16:10:50,2200,3200
2021-06-03 16:10:55,2400,3800
2021-06-03 16:11:00,2300,3700
2021-06-03 16:11:05,2600,3900
2021-06-03 16:11:10,2700,4000
2021-06-03 16:11:15,2100,3900
2021-06-03 16:11:20,1900,3600
2021-06-03 16:11:25,2800,4300
2021-06-03 16:11:30,2400,4100
2021-06-03 16:11:35,2200,3200
2021-06-03 16:11:40,2600,4100
2021-06-03 16:11:45,2800,4200
2021-06-03 16:11:50,2500,3900
2021-06-03 16:11:55,2700,4500
2021-06-03 16:12:00,3000,4900
2021-06-03 16:12:05,3400,5100
2021-06-03 16:12:10,3400,5000
2021-06-03 16:12:15,3100,4800
2021-06-03 16:12:20,2900,4600
2021-06-03 16:12:25,3200,5500
2021-06-03 16:12:30,3400,5400
2021-06-03 16:12:35,3400,4900
2021-06-03 16:12:40,3400,5000
2021-06-03 16:12:45,3500,5400
2021-06-03 16:12:50,3500,5400
2021-06-03 16:12:55,3700,5700
2021-06-03 16:13:00,3800,5800
2021-06-03 16:13:05,3800,5400
2021-06-03 16:13:10,4100,5900
2021-06-03 16:13:15,4000,5900
2021-06-03 16:13:20,3600,5200
2021-06-03 16:13:25,4200,5800
2021-06-03 16:13:30,4000,5600
2021-06-03 16:13:35,4300,5700
2021-06-03 16:13:40,4400,6200
2021-06-03 16:13:45,4300,6400
2021-06-03 16:13:50,4000,6100
2021-06-03 16:13:55,4100,6200
2021-06-03 16:14:00,4600,6500
2021-06-03 16:14:05,4800,6400
2021-06-03 16:14:10,4900,6400
2021-06-03 16:14:15,4900,6500
2021-06-03 16:14:20,4600,6800
2021-06-03 16:14:25,4900,7000
2021-06-03 16:14:30,5000,7200
